        83x24_6_800_51_1280                                 (83x24_6_800_51_1280.dat)

         PROP RPM =       400

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3621      0.5547      11.244    1771.919      87.541  
         4.5        0.14      0.0933      0.3699      0.5641      11.435    1802.012      89.452  
         8.9        0.28      0.1864      0.3799      0.5798      11.754    1852.461      91.834  
        13.4        0.43      0.2772      0.3918      0.6034      12.233    1927.692      94.735  
        17.9        0.57      0.3651      0.4054      0.6321      12.811    2018.855      98.017  
        22.4        0.71      0.4515      0.4174      0.6576      13.330    2100.282     100.894  
        26.8        0.85      0.5309      0.4244      0.6828      13.839    2180.824     102.648  
        31.3        1.00      0.6010      0.4252      0.7046      14.282    2249.860     102.783  
        35.8        1.14      0.6613      0.4178      0.7192      14.577    2296.769     101.007  
        40.3        1.28      0.7124      0.4027      0.7237      14.671    2311.815      97.342  
        44.7        1.42      0.7576      0.3805      0.7147      14.483    2282.607      91.992  
        49.2        1.57      0.7953      0.3522      0.6931      14.054    2213.572      85.135  
        53.7        1.71      0.8269      0.3194      0.6597      13.371    2106.478      77.222  
        58.2        1.85      0.8531      0.2836      0.6150      12.467    1963.981      68.589  
        62.6        1.99      0.8734      0.2460      0.5612      11.376    1792.276      59.484  
        67.1        2.13      0.8893      0.2074      0.4978      10.090    1589.594      50.132  
        71.6        2.28      0.8997      0.1677      0.4245       8.604    1355.934      40.556  
        76.1        2.42      0.9014      0.1270      0.3409       6.910    1088.642      30.709  
        80.5        2.56      0.8845      0.0853      0.2471       5.007     788.955      20.624  
        85.0        2.70      0.8063      0.0425      0.1425       2.889     455.105      10.274  



         PROP RPM =       480

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3622      0.5536      19.391    2546.360     126.118  
         4.5        0.12      0.0779      0.3686      0.5611      19.659    2580.878     128.343  
         8.9        0.24      0.1559      0.3765      0.5728      20.062    2633.982     131.086  
        13.4        0.36      0.2328      0.3858      0.5894      20.652    2710.983     134.323  
        17.9        0.47      0.3072      0.3965      0.6121      21.443    2815.422     138.033  
        22.4        0.59      0.3830      0.4085      0.6327      22.167    2910.125     142.282  
        26.8        0.71      0.4525      0.4178      0.6568      23.012    3020.760     145.429  
        31.3        0.83      0.5164      0.4236      0.6809      23.843    3131.394     147.475  
        35.8        0.95      0.5785      0.4259      0.6985      24.460    3212.821     148.284  
        40.3        1.07      0.6335      0.4232      0.7130      24.970    3279.201     147.362  
        44.7        1.19      0.6816      0.4147      0.7218      25.278    3319.915     144.440  
        49.2        1.30      0.7231      0.4008      0.7230      25.318    3325.225     139.516  
        53.7        1.42      0.7588      0.3815      0.7153      25.050    3289.822     132.795  
        58.2        1.54      0.7914      0.3585      0.6983      24.460    3211.936     124.814  
        62.6        1.66      0.8182      0.3317      0.6730      23.575    3095.106     115.484  
        67.1        1.78      0.8427      0.3029      0.6395      22.395    2941.103     105.480  
        71.6        1.90      0.8615      0.2720      0.5991      20.987    2755.237      94.712  
        76.1        2.02      0.8777      0.2404      0.5522      19.338    2540.164      83.719  
        80.5        2.13      0.8909      0.2081      0.4986      17.460    2293.228      72.456  
        85.0        2.25      0.9005      0.1751      0.4381      15.341    2014.430      60.968  
        89.5        2.37      0.9049      0.1413      0.3704      12.976    1703.769      49.211  
        94.0        2.49      0.9004      0.1069      0.2956      10.354    1359.475      37.206  
        98.4        2.61      0.8761      0.0717      0.2133       7.474     981.548      24.954  
       102.9        2.73      0.7868      0.0357      0.1237       4.334     569.014      12.427  



         PROP RPM =       560

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3623      0.5529      30.750    3460.642     171.687  
         4.5        0.10      0.0669      0.3677      0.5590      31.085    3499.585     174.272  
         8.9        0.20      0.1339      0.3742      0.5680      31.594    3556.230     177.329  
        13.4        0.30      0.2005      0.3818      0.5807      32.305    3635.001     180.904  
        17.9        0.41      0.2656      0.3903      0.5975      33.230    3740.325     184.995  
        22.4        0.51      0.3304      0.4008      0.6161      34.276    3857.155     189.829  
        26.8        0.61      0.3934      0.4101      0.6360      35.376    3981.066     194.392  
        31.3        0.71      0.4533      0.4182      0.6564      36.503    4108.516     198.147  
        35.8        0.81      0.5091      0.4236      0.6765      37.629    4235.082     200.732  
        40.3        0.91      0.5604      0.4259      0.6954      38.675    4353.682     201.878  
        44.7        1.02      0.6111      0.4256      0.7079      39.372    4431.569     201.699  
        49.2        1.12      0.6527      0.4201      0.7200      40.043    4507.685     199.181  
        53.7        1.22      0.6931      0.4116      0.7245      40.298    4535.122     195.089  
        58.2        1.32      0.7286      0.3988      0.7236      40.244    4529.812     189.064  
        62.6        1.42      0.7596      0.3824      0.7164      39.855    4484.673     181.219  
        67.1        1.52      0.7867      0.3625      0.7027      39.077    4398.821     171.799  
        71.6        1.63      0.8109      0.3403      0.6825      37.964    4272.255     161.233  
        76.1        1.73      0.8339      0.3167      0.6562      36.503    4107.631     150.060  
        80.5        1.83      0.8519      0.2907      0.6243      34.732    3908.489     137.763  
        85.0        1.93      0.8673      0.2639      0.5877      32.694    3679.255     125.084  
        89.5        2.03      0.8808      0.2367      0.5462      30.388    3419.928     112.157  
        94.0        2.13      0.8921      0.2089      0.4998      27.799    3128.739      98.983  
        98.4        2.24      0.9009      0.1806      0.4482      24.930    2805.686      85.562  
       102.9        2.34      0.9063      0.1517      0.3913      21.765    2449.886      71.894  
       107.4        2.44      0.9064      0.1223      0.3292      18.318    2061.339      57.978  
       111.8        2.54      0.8971      0.0924      0.2617      14.550    1638.273      43.793  



         PROP RPM =       640

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3624      0.5522      45.849    4514.766     224.292  
         4.5        0.09      0.0586      0.3671      0.5574      46.279    4557.249     227.282  
         8.9        0.18      0.1173      0.3726      0.5649      46.895    4618.319     230.654  
        13.4        0.27      0.1759      0.3789      0.5748      47.727    4699.746     234.476  
        17.9        0.36      0.2336      0.3861      0.5879      48.813    4806.840     238.972  
        22.4        0.44      0.2900      0.3942      0.6042      50.168    4940.486     243.918  
        26.8        0.53      0.3462      0.4031      0.6211      51.576    5078.558     249.313  
        31.3        0.62      0.4012      0.4116      0.6385      53.011    5220.170     254.709  
        35.8        0.71      0.4539      0.4186      0.6562      54.486    5365.322     258.980  
        40.3        0.80      0.5035      0.4236      0.6736      55.934    5507.819     262.352  
        44.7        0.89      0.5497      0.4267      0.6901      57.302    5642.351     263.926  
        49.2        0.98      0.5923      0.4267      0.7048      58.509    5762.721     264.151  
        53.7        1.07      0.6349      0.4248      0.7143      59.300    5839.722     263.027  
        58.2        1.16      0.6699      0.4186      0.7225      59.997    5907.873     259.205  
        62.6        1.25      0.7044      0.4104      0.7255      60.225    5930.885     254.034  
        67.1        1.33      0.7325      0.3980      0.7247      60.172    5925.574     246.391  
        71.6        1.42      0.7601      0.3834      0.7179      59.608    5869.815     237.398  
        76.1        1.51      0.7844      0.3664      0.7062      58.629    5774.227     226.832  
        80.5        1.60      0.8063      0.3473      0.6895      57.248    5637.925     214.962  
        85.0        1.69      0.8260      0.3267      0.6685      55.491    5465.336     202.238  
        89.5        1.78      0.8440      0.3049      0.6425      53.346    5253.803     188.705  
        94.0        1.87      0.8584      0.2817      0.6128      50.878    5011.292     174.339  
        98.4        1.96      0.8715      0.2581      0.5795      48.116    4737.804     159.749  
       102.9        2.05      0.8830      0.2341      0.5423      45.031    4434.224     144.889  
       107.4        2.13      0.8930      0.2097      0.5013      41.612    4098.780     129.805  
       111.8        2.22      0.9010      0.1849      0.4562      37.884    3730.589     114.450  



         PROP RPM =       720

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3625      0.5517      65.214    5708.731     283.934  
         4.5        0.08      0.0521      0.3666      0.5562      65.750    5755.640     287.081  
         8.9        0.16      0.1044      0.3714      0.5624      66.488    5819.365     290.903  
        13.4        0.24      0.1566      0.3768      0.5706      67.453    5904.333     295.174  
        17.9        0.32      0.2084      0.3829      0.5810      68.700    6013.197     299.895  
        22.4        0.40      0.2592      0.3895      0.5941      70.229    6147.728     305.291  
        26.8        0.47      0.3087      0.3969      0.6098      72.093    6310.582     310.911  
        31.3        0.55      0.3584      0.4050      0.6252      73.917    6469.895     317.205  
        35.8        0.63      0.4072      0.4124      0.6406      75.727    6629.209     323.051  
        40.3        0.71      0.4543      0.4190      0.6562      77.578    6790.292     328.221  
        44.7        0.79      0.4991      0.4240      0.6716      79.402    6949.606     332.043  
        49.2        0.87      0.5412      0.4271      0.6864      81.132    7101.839     334.516  
        53.7        0.95      0.5803      0.4279      0.6998      82.728    7241.680     335.415  
        58.2        1.03      0.6165      0.4267      0.7113      84.095    7361.165     334.291  
        62.6        1.11      0.6496      0.4228      0.7205      85.168    7454.983     331.368  
        67.1        1.19      0.6800      0.4166      0.7267      85.906    7519.594     326.423  
        71.6        1.26      0.7106      0.4085      0.7274      85.986    7527.559     320.128  
        76.1        1.34      0.7355      0.3973      0.7262      85.839    7514.283     311.360  
        80.5        1.42      0.7604      0.3846      0.7197      85.088    7447.903     301.244  
        85.0        1.50      0.7825      0.3697      0.7096      83.881    7343.464     289.554  
        89.5        1.58      0.8012      0.3526      0.6959      82.258    7200.082     276.290  
        94.0        1.66      0.8193      0.3346      0.6781      80.153    7015.986     262.127  
        98.4        1.74      0.8367      0.3159      0.6567      77.632    6795.603     247.515  
       102.9        1.82      0.8509      0.2957      0.6318      74.695    6538.931     231.553  
       107.4        1.90      0.8633      0.2749      0.6042      71.423    6252.167     215.345  
       111.8        1.98      0.8746      0.2538      0.5735      67.802    5934.425     198.799  



         PROP RPM =       800

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3625      0.5512      89.392    7042.539     350.477  
         4.5        0.07      0.0469      0.3662      0.5552      90.036    7092.988     354.074  
         8.9        0.14      0.0940      0.3704      0.5605      90.894    7161.139     358.121  
        13.4        0.21      0.1411      0.3751      0.5674      92.021    7248.761     362.842  
        17.9        0.28      0.1879      0.3804      0.5762      93.429    7360.280     368.012  
        22.4        0.36      0.2342      0.3862      0.5868      95.145    7496.582     373.633  
        26.8        0.43      0.2795      0.3926      0.5996      97.224    7659.436     379.702  
        31.3        0.50      0.3236      0.3992      0.6147      99.665    7851.497     386.222  
        35.8        0.57      0.3680      0.4066      0.6287     101.944    8031.167     393.191  
        40.3        0.64      0.4120      0.4135      0.6424     104.170    8207.297     399.710  
        44.7        0.71      0.4547      0.4194      0.6564     106.437    8385.197     405.555  
        49.2        0.78      0.4955      0.4244      0.6703     108.690    8563.097     410.501  
        53.7        0.85      0.5299      0.4263      0.6871     111.425    8778.170     412.525  
        58.2        0.92      0.5662      0.4279      0.6992     113.383    8930.403     413.873  
        62.6        1.00      0.6002      0.4279      0.7100     115.140    9072.015     413.649  
        67.1        1.07      0.6317      0.4256      0.7191     116.602    9187.074     411.625  
        71.6        1.14      0.6644      0.4225      0.7237     117.353    9249.030     408.478  
        76.1        1.21      0.6910      0.4159      0.7281     118.077    9302.134     402.183  
        80.5        1.28      0.7154      0.4077      0.7296     118.318    9319.836     394.090  
        85.0        1.35      0.7378      0.3973      0.7280     118.050    9302.134     384.199  
        89.5        1.42      0.7605      0.3858      0.7219     117.058    9222.477     373.183  
        94.0        1.49      0.7791      0.3720      0.7134     115.690    9116.268     359.694  
        98.4        1.57      0.7980      0.3575      0.7011     113.692    8956.955     345.756  
       102.9        1.64      0.8137      0.3412      0.6862     111.278    8766.664     330.020  
       107.4        1.71      0.8297      0.3246      0.6681     108.341    8535.659     313.833  
       111.8        1.78      0.8444      0.3072      0.6470     104.921    8266.597     296.973  



         PROP RPM =       880

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3625      0.5508     118.895    8515.303     424.215  
         4.5        0.06      0.0427      0.3659      0.5544     119.659    8570.177     428.261  
         8.9        0.13      0.0855      0.3697      0.5590     120.665    8641.868     432.533  
        13.4        0.19      0.1284      0.3739      0.5650     121.939    8733.031     437.478  
        17.9        0.26      0.1711      0.3785      0.5723     123.521    8847.206     442.874  
        22.4        0.32      0.2134      0.3836      0.5813     125.452    8983.507     448.944  
        26.8        0.39      0.2551      0.3891      0.5919     127.746    9151.671     455.238  
        31.3        0.45      0.2960      0.3949      0.6043     130.428    9337.537     462.207  
        35.8        0.52      0.3356      0.4011      0.6187     133.525    9567.656     469.626  
