        90x23_4_600_36_810                                 (90x23_4_600_36_810.dat)

         PROP RPM =       300

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3119      0.4114       5.274    1108.113      58.653  
         4.5        0.17      0.1322      0.3200      0.4237       5.431    1140.861      60.159  
         8.9        0.35      0.2618      0.3310      0.4424       5.671    1191.310      62.227  
        13.4        0.52      0.3875      0.3416      0.4627       5.931    1246.185      64.228  
        17.9        0.70      0.5014      0.3470      0.4844       6.209    1304.600      65.240  
        22.4        0.87      0.6029      0.3453      0.5010       6.423    1349.739      64.925  
        26.8        1.05      0.6825      0.3324      0.5114       6.555    1377.176      62.497  
        31.3        1.22      0.7513      0.3100      0.5054       6.480    1361.245      58.293  
        35.8        1.40      0.8046      0.2780      0.4838       6.201    1302.830      52.268  
        40.3        1.57      0.8471      0.2397      0.4456       5.713    1200.161      45.074  
        44.7        1.75      0.8768      0.1974      0.3939       5.050    1061.204      37.116  
        49.2        1.92      0.8980      0.1536      0.3292       4.220     886.845      28.888  
        53.7        2.10      0.9065      0.1083      0.2508       3.216     675.577      20.361  
        58.2        2.27      0.8835      0.0615      0.1583       2.029     426.252      11.557  
        62.6        2.45      0.6280      0.0131      0.0510       0.654     137.452       2.459  



         PROP RPM =       360

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3120      0.4106       9.095    1592.249      84.461  
         4.5        0.15      0.1106      0.3186      0.4202       9.308    1629.422      86.259  
         8.9        0.29      0.2189      0.3271      0.4358       9.653    1689.607      88.552  
        13.4        0.44      0.3265      0.3369      0.4514       9.999    1750.678      91.205  
        17.9        0.58      0.4295      0.3449      0.4684      10.375    1816.173      93.386  
        22.4        0.73      0.5186      0.3474      0.4884      10.819    1894.060      94.060  
        26.8        0.87      0.6042      0.3458      0.5007      11.092    1941.854      93.610  
        31.3        1.02      0.6728      0.3360      0.5097      11.290    1976.372      90.958  
        35.8        1.17      0.7324      0.3194      0.5087      11.270    1972.831      86.484  
        40.3        1.31      0.7807      0.2956      0.4968      11.004    1926.807      80.010  
        44.7        1.46      0.8207      0.2663      0.4732      10.481    1834.760      72.096  
        49.2        1.60      0.8538      0.2332      0.4381       9.706    1699.343      63.149  
        53.7        1.75      0.8781      0.1978      0.3941       8.731    1528.524      53.550  
        58.2        1.90      0.8968      0.1614      0.3412       7.557    1323.187      43.703  
        62.6        2.04      0.9080      0.1239      0.2786       6.171    1080.676      33.542  
        67.1        2.19      0.9055      0.0854      0.2063       4.569     800.019      23.110  
        71.6        2.33      0.8625      0.0458      0.1240       2.745     480.507      12.400  
        76.1        2.48      0.4065      0.0051      0.0312       0.691     120.990       1.385  



         PROP RPM =       420

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3121      0.4098      14.416    2164.007     114.990  
         4.5        0.12      0.0950      0.3176      0.4178      14.698    2205.606     117.036  
         8.9        0.25      0.1887      0.3246      0.4299      15.127    2269.331     119.598  
        13.4        0.37      0.2808      0.3328      0.4444      15.636    2345.448     122.656  
        17.9        0.50      0.3728      0.3412      0.4576      16.092    2415.369     125.736  
        22.4        0.62      0.4557      0.3460      0.4745      16.696    2504.761     127.512  
        26.8        0.75      0.5349      0.3484      0.4884      17.178    2578.222     128.411  
        31.3        0.87      0.6011      0.3454      0.5028      17.688    2653.454     127.264  
        35.8        1.00      0.6657      0.3386      0.5086      17.889    2684.431     124.791  
        40.3        1.12      0.7172      0.3254      0.5103      17.956    2693.282     119.891  
        44.7        1.25      0.7628      0.3073      0.5036      17.715    2657.879     113.259  
        49.2        1.37      0.7992      0.2840      0.4885      17.192    2579.107     104.671  
        53.7        1.50      0.8326      0.2580      0.4646      16.347    2452.542      95.072  
        58.2        1.62      0.8585      0.2287      0.4329      15.221    2284.378      84.281  
        62.6        1.75      0.8791      0.1982      0.3946      13.880    2082.581      73.063  
        67.1        1.87      0.8958      0.1670      0.3497      12.298    1845.381      61.553  
        71.6        2.00      0.9074      0.1351      0.2977      10.473    1571.892      49.795  
        76.1        2.12      0.9114      0.1024      0.2387       8.395    1259.461      37.723  
        80.5        2.25      0.8994      0.0688      0.1722       6.057     908.972      25.358  
        85.0        2.37      0.8344      0.0345      0.0983       3.456     518.654      12.724  



         PROP RPM =       480

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3121      0.4094      21.497    2822.503     150.217  
         4.5        0.11      0.0833      0.3169      0.4161      21.845    2868.527     152.533  
         8.9        0.22      0.1658      0.3228      0.4259      22.355    2935.792     155.365  
        13.4        0.33      0.2477      0.3301      0.4374      22.958    3015.449     158.895  
        17.9        0.44      0.3276      0.3373      0.4503      23.642    3104.842     162.335  
        22.4        0.55      0.4039      0.3432      0.4646      24.393    3203.085     165.167  
        26.8        0.66      0.4748      0.3470      0.4795      25.171    3305.754     167.011  
        31.3        0.77      0.5438      0.3485      0.4906      25.761    3381.870     167.752  
        35.8        0.87      0.6018      0.3458      0.5028      26.405    3465.952     166.449  
        40.3        0.98      0.6566      0.3397      0.5092      26.740    3510.206     163.504  
        44.7        1.09      0.7042      0.3294      0.5115      26.861    3526.137     158.535  
        49.2        1.20      0.7452      0.3148      0.5081      26.686    3503.125     151.499  
        53.7        1.31      0.7823      0.2967      0.4976      26.136    3431.434     142.776  
        58.2        1.42      0.8124      0.2749      0.4812      25.265    3317.260     132.345  
        62.6        1.53      0.8412      0.2516      0.4579      24.044    3157.061     121.082  
        67.1        1.64      0.8620      0.2255      0.4291      22.529    2957.919     108.515  
        71.6        1.75      0.8799      0.1987      0.3951      20.746    2724.260      95.656  
        76.1        1.86      0.8949      0.1714      0.3562      18.707    2455.197      82.505  
        80.5        1.97      0.9062      0.1436      0.3118      16.374    2149.846      69.084  
        85.0        2.08      0.9127      0.1151      0.2620      13.759    1806.437      55.393  
        89.5        2.19      0.9107      0.0860      0.2065      10.845    1424.085      41.387  
        94.0        2.30      0.8896      0.0563      0.1454       7.634    1002.790      27.112  
        98.4        2.41      0.7981      0.0260      0.0784       4.117     540.604      12.520  



         PROP RPM =       540

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3122      0.4089      30.575    3567.736     190.166  
         4.5        0.10      0.0742      0.3164      0.4147      31.004    3619.070     192.729  
         8.9        0.19      0.1478      0.3214      0.4229      31.621    3689.876     195.809  
        13.4        0.29      0.2200      0.3273      0.4340      32.439    3786.349     199.406  
        17.9        0.39      0.2914      0.3339      0.4455      33.311    3887.248     203.430  
        22.4        0.49      0.3610      0.3400      0.4577      34.223    3994.342     207.117  
        26.8        0.58      0.4274      0.3448      0.4706      35.188    4105.861     210.039  
        31.3        0.68      0.4936      0.3484      0.4803      35.913    4191.713     212.265  
        35.8        0.78      0.5507      0.3487      0.4924      36.811    4297.037     212.400  
        40.3        0.87      0.6023      0.3463      0.5030      37.602    4389.085     210.938  
        44.7        0.97      0.6522      0.3413      0.5086      38.018    4437.764     207.881  
        49.2        1.07      0.6962      0.3329      0.5114      38.232    4462.546     202.823  
        53.7        1.17      0.7345      0.3211      0.5099      38.125    4450.155     195.606  
        58.2        1.26      0.7678      0.3059      0.5036      37.642    4394.395     186.367  
        62.6        1.36      0.7970      0.2880      0.4918      36.771    4291.727     175.463  
        67.1        1.46      0.8227      0.2680      0.4750      35.510    4143.919     163.234  
        71.6        1.56      0.8465      0.2464      0.4527      33.847    3950.088     150.082  
        76.1        1.65      0.8646      0.2230      0.4263      31.863    3719.969     135.852  
        80.5        1.75      0.8805      0.1992      0.3958      29.596    3454.446     121.352  
        85.0        1.85      0.8941      0.1750      0.3614      27.022    3153.521     106.559  
        89.5        1.94      0.9050      0.1502      0.3227      24.125    2815.422      91.497  
        94.0        2.04      0.9124      0.1250      0.2797      20.907    2440.151      76.143  
        98.4        2.14      0.9146      0.0993      0.2322      17.366    2026.821      60.496  
       102.9        2.24      0.9073      0.0732      0.1803      13.477    1572.778      44.557  
       107.4        2.33      0.8767      0.0465      0.1237       9.253    1079.791      28.326  
       111.8        2.43      0.7514      0.0193      0.0626       4.679     546.003      11.787  



         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
