surface_area,density,mass,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,Component,Component_param_DIAMETER,Component_param_LENGTH,Component_param_WALL_THICKNESS,Component_param_PORT_THICKNESS,Component_param_TOP_CONN_DISP,Component_param_RIGHT_CONN_DISP,Component_param_BOTTOM_CONN_DISP,Component_param_LEFT_CONN_DISP,Component_param_FRONT_ANGLE
1867078.8092925975,1.6e-06,7.755483152905108,77512.02515009136,0.0,0.0,0.0,4593571.442274577,0.0,0.0,0.0,4593571.012601238,77512.02515009136,0.0,0.0,0.0,1215282.0109522,0.0,0.0,0.0,1215281.5812788603,PORTED_CYL,200.0,1320.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0
1914696.1139883997,1.6e-06,10.422998356657986,108131.68518851305,0.0,0.0,0.0,6123656.296088211,0.0,0.0,0.0,6123656.065654409,108131.68518851305,0.0,0.0,0.0,1583377.5384769333,0.0,0.0,0.0,1583377.308043131,PORTED_CYL,200.0,1320.0,3.0,120.0,0.0,0.0,0.0,0.0,0.0
1970220.3488795632,1.6e-06,14.270692399669572,154394.1895742034,0.0,0.0,0.0,8322733.862887837,0.0,0.0,0.0,8322733.558603988,154394.1895742034,0.0,0.0,0.0,2106421.3056367245,0.0,0.0,0.0,2106421.0013528755,PORTED_CYL,200.0,1320.0,3.0,140.0,0.0,0.0,0.0,0.0,0.0
1977646.5199968114,1.6e-06,18.256516549241432,207112.13646847027,0.0,0.0,0.0,10604097.353670599,0.0,0.0,0.0,10604097.986890355,207112.13646847027,0.0,0.0,0.0,2651558.630659319,0.0,0.0,0.0,2651559.2638790742,PORTED_CYL,200.0,1320.0,3.0,160.0,0.0,0.0,0.0,0.0,0.0
1980153.979253784,1.6e-06,20.697506184876833,244933.86655822594,0.0,-8.538808496979067,0.0,12015817.365729222,0.0,-8.538808496979069,0.0,12015816.49786077,244933.86655822594,0.0,-8.538808496979067,0.0,2999983.8245510166,0.0,-8.538808496979069,0.0,2999982.956682564,PORTED_CYL,200.0,1320.0,3.0,180.0,0.0,0.0,0.0,0.0,0.0
2048974.523594485,1.6e-06,7.868407397419588,93967.01444085682,0.0,0.0,0.0,4688251.27897677,0.0,0.0,0.0,4688251.240262503,93967.01444085682,0.0,0.0,0.0,1260772.1696400226,0.0,0.0,0.0,1260772.1309257546,PORTED_CYL,220.0,1320.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0
2092592.3894067358,1.6e-06,10.252695542326508,126364.09761026545,0.0,0.0,0.0,6058450.2543132715,0.0,0.0,0.0,6058449.656709237,126364.09761026545,0.0,0.0,0.0,1592374.774882976,0.0,0.0,0.0,1592374.1772789417,PORTED_CYL,220.0,1320.0,3.0,120.0,0.0,0.0,0.0,0.0,0.0
2143293.760049655,1.6e-06,13.65885993716006,174541.40208933153,0.0,0.0,0.0,8009017.123076252,0.0,0.0,0.0,8009016.872382858,174541.40208933153,0.0,0.0,0.0,2059217.771267554,0.0,0.0,0.0,2059217.52057416,PORTED_CYL,220.0,1320.0,3.0,140.0,0.0,0.0,0.0,0.0,0.0
2188740.4776586876,1.6e-06,18.271336184173133,242837.3790761682,0.0,0.0,0.0,10642228.568553038,0.0,0.0,0.0,10642227.280273557,242837.3790761682,0.0,0.0,0.0,2683194.5605824306,0.0,0.0,0.0,2683193.272302949,PORTED_CYL,220.0,1320.0,3.0,160.0,0.0,0.0,0.0,0.0,0.0
2192192.286286532,1.6e-06,22.255738520027414,309040.2355987621,0.0,0.0,0.0,12927407.803843038,0.0,0.0,0.0,12927407.737041775,309040.2355987621,0.0,0.0,0.0,3232807.831367837,0.0,0.0,0.0,3232807.7645665733,PORTED_CYL,220.0,1320.0,3.0,180.0,0.0,0.0,0.0,0.0,0.0
2234910.544244808,1.6e-06,8.050932216702634,113297.06521041988,0.0,0.0,0.0,4825947.424427958,0.0,0.0,0.0,4825947.452093149,113297.06521041988,0.0,0.0,0.0,1318960.5512328944,0.0,0.0,0.0,1318960.578898085,PORTED_CYL,240.0,1320.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0
2275200.353522047,1.6e-06,10.209821063246306,147610.85396069218,0.0,0.0,0.0,6069149.652444749,0.0,0.0,0.0,6069149.584029611,147610.85396069218,0.0,0.0,0.0,1621750.4011714188,0.0,0.0,0.0,1621750.3327562811,PORTED_CYL,240.0,1320.0,3.0,120.0,0.0,0.0,0.0,0.0,0.0
2321952.9103597365,1.6e-06,13.27434361558277,198046.54756755388,0.0,0.0,0.0,7827770.870998485,0.0,0.0,0.0,7827771.701483659,198046.54756755388,0.0,0.0,0.0,2045465.0524303084,0.0,0.0,0.0,2045465.8829154829,PORTED_CYL,240.0,1320.0,3.0,140.0,0.0,0.0,0.0,0.0,0.0
2375200.8854708537,1.6e-06,17.45161961745758,269466.55447358923,0.0,0.0,0.0,10216769.164899211,0.0,0.0,0.0,10216768.798779821,269466.55447358923,0.0,0.0,0.0,2614843.6866981285,0.0,0.0,0.0,2614843.320578737,PORTED_CYL,240.0,1320.0,3.0,160.0,0.0,0.0,0.0,0.0,0.0
