        62x12_2_1600_51_890                                 (62x12_2_1600_51_890.dat)

         PROP RPM =       800

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2301      0.2275       8.576     675.666      69.286  
         4.5        0.10      0.0958      0.2325      0.2312       8.722     687.172      70.028  
         8.9        0.19      0.1919      0.2351      0.2334       8.804     693.544      70.815  
        13.4        0.29      0.2840      0.2368      0.2383       8.986     707.971      71.309  
        17.9        0.38      0.3713      0.2375      0.2438       9.193     724.257      71.534  
        22.4        0.48      0.4522      0.2370      0.2496       9.414     741.604      71.354  
        26.8        0.57      0.5298      0.2353      0.2539       9.575     754.261      70.860  
        31.3        0.67      0.5953      0.2310      0.2586       9.756     768.599      69.556  
        35.8        0.76      0.6565      0.2248      0.2609       9.842     775.414      67.690  
        40.3        0.86      0.7093      0.2161      0.2612       9.850     776.033      65.060  
        44.7        0.95      0.7543      0.2047      0.2584       9.747     767.891      61.620  
        49.2        1.05      0.7926      0.1908      0.2522       9.511     749.216      57.439  
        53.7        1.14      0.8277      0.1750      0.2417       9.114     717.973      52.695  
        58.2        1.24      0.8562      0.1569      0.2270       8.560     674.338      47.255  
        62.6        1.33      0.8778      0.1377      0.2092       7.892     621.676      41.477  
        67.1        1.43      0.8957      0.1181      0.1884       7.105     559.721      35.565  
        71.6        1.52      0.9096      0.0980      0.1641       6.193     487.853      29.517  
        76.1        1.62      0.9179      0.0774      0.1366       5.151     405.807      23.313  
        80.5        1.71      0.9171      0.0564      0.1054       3.975     313.139      16.978  
        85.0        1.81      0.8942      0.0349      0.0706       2.662     209.674      10.499  
        89.5        1.90      0.7668      0.0129      0.0320       1.206      94.969       3.876  



         PROP RPM =       960

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2301      0.2270      14.791     970.927      99.770  
         4.5        0.08      0.0802      0.2322      0.2299      14.979     983.318     100.692  
         8.9        0.16      0.1596      0.2343      0.2329      15.180     996.594     101.569  
        13.4        0.24      0.2377      0.2360      0.2365      15.408    1011.640     102.356  
        17.9        0.32      0.3132      0.2373      0.2406      15.677    1029.342     102.895  
        22.4        0.40      0.3853      0.2379      0.2450      15.972    1048.813     103.142  
        26.8        0.48      0.4529      0.2375      0.2497      16.280    1068.285     102.963  
        31.3        0.56      0.5154      0.2359      0.2544      16.575    1087.757     102.288  
        35.8        0.64      0.5725      0.2331      0.2585      16.843    1106.343     101.052  
        40.3        0.71      0.6277      0.2289      0.2604      16.977    1114.309      99.231  
        44.7        0.79      0.6735      0.2227      0.2624      17.098    1123.160      96.555  
        49.2        0.87      0.7170      0.2150      0.2618      17.058    1119.619      93.206  
        53.7        0.95      0.7550      0.2054      0.2591      16.883    1108.998      89.069  
        58.2        1.03      0.7880      0.1940      0.2541      16.562    1086.872      84.124  
        62.6        1.11      0.8171      0.1811      0.2463      16.052    1054.124      78.526  
        67.1        1.19      0.8447      0.1670      0.2354      15.341    1007.215      72.411  
        71.6        1.27      0.8645      0.1512      0.2221      14.470     950.570      65.554  
        76.1        1.35      0.8819      0.1351      0.2066      13.464     884.190      58.563  
        80.5        1.43      0.8968      0.1186      0.1890      12.316     808.604      51.436  
        85.0        1.51      0.9089      0.1019      0.1690      11.014     723.017      44.152  
        89.5        1.59      0.9176      0.0847      0.1466       9.555     627.252      36.734  
        94.0        1.67      0.9215      0.0673      0.1217       7.935     520.955      29.180  
        98.4        1.75      0.9166      0.0495      0.0944       6.150     403.771      21.480  
       102.9        1.83      0.8910      0.0314      0.0644       4.197     275.524      13.630  
       107.4        1.90      0.7782      0.0130      0.0318       2.071     135.947       5.629  



         PROP RPM =       1120

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2301      0.2266      23.441    1319.646     135.830  
         4.5        0.07      0.0690      0.2320      0.2289      23.696    1332.922     136.954  
