        69x13_6_1200_41_890                                 (69x13_6_1200_41_890.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2918      0.2758       7.490     786.743      75.806  
         4.5        0.11      0.1204      0.2951      0.2796       7.594     797.718      76.660  
         8.9        0.23      0.2366      0.2967      0.2863       7.775     816.658      77.087  
        13.4        0.34      0.3494      0.2966      0.2905       7.893     829.049      77.065  
        17.9        0.46      0.4496      0.2933      0.2977       8.088     849.583      76.188  
        22.4        0.57      0.5426      0.2870      0.3018       8.198     861.089      74.569  
        26.8        0.68      0.6233      0.2769      0.3042       8.263     867.993      71.939  
        31.3        0.80      0.6916      0.2626      0.3033       8.239     865.426      68.230  
        35.8        0.91      0.7507      0.2442      0.2970       8.068     847.370      63.441  
        40.3        1.03      0.7984      0.2216      0.2850       7.743     813.384      57.574  
        44.7        1.14      0.8387      0.1958      0.2664       7.236     760.102      50.874  
        49.2        1.26      0.8676      0.1669      0.2416       6.562     689.208      43.388  
        53.7        1.37      0.8896      0.1372      0.2111       5.737     602.559      35.655  
        58.2        1.48      0.9034      0.1065      0.1750       4.753     499.182      27.674  
        62.6        1.60      0.9039      0.0750      0.1326       3.601     378.281      19.489  
        67.1        1.71      0.8705      0.0426      0.0838       2.277     239.147      11.074  
        71.6        1.83      0.6023      0.0094      0.0285       0.774      81.330       2.444  



         PROP RPM =       720

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2919      0.2747      12.897    1128.470     109.212  
         4.5        0.10      0.1012      0.2950      0.2773      13.015    1139.091     110.381  
         8.9        0.19      0.2001      0.2968      0.2822      13.247    1159.448     111.056  
        13.4        0.29      0.2949      0.2973      0.2876      13.504    1181.575     111.235  
        17.9        0.38      0.3839      0.2961      0.2934      13.772    1205.472     110.808  
        22.4        0.48      0.4700      0.2934      0.2969      13.933    1219.633     109.797  
        26.8        0.57      0.5441      0.2877      0.3016      14.161    1239.104     107.616  
        31.3        0.67      0.6135      0.2798      0.3036      14.255    1247.070     104.671  
        35.8        0.76      0.6707      0.2685      0.3045      14.295    1251.495     100.467  
        40.3        0.86      0.7229      0.2546      0.3014      14.148    1238.219      95.252  
        44.7        0.95      0.7692      0.2378      0.2941      13.799    1208.127      88.979  
        49.2        1.05      0.8065      0.2181      0.2829      13.279    1162.103      81.606  
        53.7        1.14      0.8402      0.1964      0.2668      12.524    1096.607      73.490  
        58.2        1.24      0.8648      0.1724      0.2464      11.569    1012.525      64.498  
        62.6        1.33      0.8849      0.1477      0.2223      10.434     913.397      55.281  
        67.1        1.43      0.9000      0.1224      0.1941       9.110     797.452      45.816  
        71.6        1.52      0.9085      0.0965      0.1617       7.587     664.248      36.104  
        76.1        1.62      0.9063      0.0700      0.1249       5.862     513.078      26.190  
        80.5        1.71      0.8780      0.0429      0.0836       3.925     343.586      16.049  
        85.0        1.81      0.7268      0.0152      0.0378       1.773     155.154       5.683  



         PROP RPM =       840

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2920      0.2740      20.424    1532.064     148.689  
         4.5        0.08      0.0862      0.2945      0.2783      20.746    1556.846     149.970  
         8.9        0.16      0.1712      0.2964      0.2824      21.041    1578.973     150.959  
        13.4        0.24      0.2538      0.2975      0.2866      21.362    1602.870     151.499  
        17.9        0.33      0.3331      0.2974      0.2911      21.698    1628.537     151.476  
        22.4        0.41      0.4119      0.2965      0.2933      21.859    1640.928     150.982  
        26.8        0.49      0.4815      0.2933      0.2978      22.207    1665.710     149.363  
        31.3        0.57      0.5451      0.2884      0.3018      22.502    1687.837     146.845  
        35.8        0.65      0.6025      0.2815      0.3046      22.717    1703.769     143.383  
        40.3        0.73      0.6571      0.2729      0.3046      22.703    1703.769     138.977  
        44.7        0.82      0.7050      0.2621      0.3031      22.583    1694.918     133.447  
        49.2        0.90      0.7443      0.2485      0.2993      22.315    1673.676     126.545  
        53.7        0.98      0.7805      0.2331      0.2921      21.778    1633.848     118.699  
        58.2        1.06      0.8132      0.2160      0.2815      20.987    1574.548     109.999  
        62.6        1.14      0.8413      0.1972      0.2674      19.941    1495.776     100.400  
        67.1        1.22      0.8627      0.1765      0.2502      18.654    1399.303      89.901  
        71.6        1.30      0.8809      0.1555      0.2301      17.152    1286.898      79.178  
        76.1        1.39      0.8957      0.1339      0.2071      15.435    1158.563      68.185  
        80.5        1.47      0.9065      0.1119      0.1811      13.504    1012.525      56.989  
        85.0        1.55      0.9119      0.0894      0.1518      11.320     849.318      45.546  
        89.5        1.63      0.9082      0.0665      0.1194       8.899     667.612      33.879  
        94.0        1.71      0.8840      0.0431      0.0836       6.229     467.319      21.977  
        98.4        1.79      0.7831      0.0194      0.0443       3.304     247.909       9.860  



         PROP RPM =       960

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2920      0.2734      30.414    1996.728     194.235  
         4.5        0.07      0.0758      0.2944      0.2770      30.817    2023.281     195.786  
         8.9        0.14      0.1509      0.2963      0.2802      31.179    2046.292     197.090  
        13.4        0.21      0.2246      0.2977      0.2836      31.554    2071.075     198.012  
        17.9        0.29      0.2962      0.2983      0.2874      31.970    2098.512     198.394  
        22.4        0.36      0.3647      0.2979      0.2913      32.399    2126.834     198.124  
        26.8        0.43      0.4295      0.2963      0.2951      32.842    2156.042     197.090  
        31.3        0.50      0.4900      0.2934      0.2989      33.257    2183.479     195.179  
        35.8        0.57      0.5459      0.2891      0.3022      33.633    2207.376     192.324  
        40.3        0.64      0.5969      0.2834      0.3048      33.901    2225.963     188.480  
        44.7        0.71      0.6432      0.2760      0.3060      34.048    2235.698     183.557  
        49.2        0.78      0.6878      0.2672      0.3048      33.901    2225.963     177.689  
        53.7        0.86      0.7247      0.2563      0.3026      33.673    2210.916     170.450  
        58.2        0.93      0.7597      0.2439      0.2977      33.123    2174.628     162.245  
        62.6        1.00      0.7902      0.2299      0.2905      32.319    2122.409     152.915  
        67.1        1.07      0.8171      0.2145      0.2808      31.246    2051.603     142.664  
        71.6        1.14      0.8420      0.1980      0.2684      29.851    1959.555     131.671  
        76.1        1.21      0.8610      0.1799      0.2534      28.188    1850.691     119.666  
        80.5        1.28      0.8776      0.1615      0.2362      26.284    1725.895     107.414  
        85.0        1.36      0.8916      0.1427      0.2169      24.125    1584.284      94.892  
