chord,span,max_load,angle,speed,lift2x,drag2x,lift,drag,flight_load,available_volume,weight,profile
500,1000,2000,0,50,15.62,9.98,7.81,4.99,9.268021,3750000,1.3149396,NACA 0006
500,1000,2000,0,50,0,11.33,0,5.665,5.665,5625000,1.1375139,NACA 0009
500,1000,2000,0,50,0,12.71,0,6.355,6.355,7500000,1.0263456,NACA 0012
500,1000,2000,0,50,0,14.24,0,7.12,7.12,9375000,0.9476549,NACA 0015
500,1000,2000,0,50,0,16.54,0,8.27,8.27,11250000,0.88786006,NACA 0018
500,1000,2000,0,50,14.39,18.4,7.195,9.2,11.679384,13125000,0.84025747,NACA 0021
1000,1000,2000,0,50,31.24,20.01,15.62,10.005,18.549513,15000000,1.3516452,NACA 0006
500,1000,2000,0,50,0,21.9,0,10.95,10.95,15625000,0.78948474,NACA 0025
1000,1000,2000,0,50,0,22.66,0,11.33,11.33,22500000,1.1692668,NACA 0009
1000,1000,2000,0,50,0,25.42,0,12.71,12.71,30000000,1.0549953,NACA 0012
1000,1000,2000,0,50,0,28.48,0,14.24,14.24,37500000,0.97410804,NACA 0015
1000,1000,2000,0,50,0,33.08,0,16.54,16.54,45000000,0.912644,NACA 0018
1500,1000,2000,0,50,0,33.99,0,16.995,16.995,50625000,1.1882504,NACA 0009
1000,1000,2000,0,50,28.79,36.84,14.395,18.42,23.377605,52500000,0.86371267,NACA 0021
1500,1000,2000,0,50,0,38.13,0,19.065,19.065,67500000,1.0721236,NACA 0012
1500,1000,2000,0,50,0,42.72,0,21.36,21.36,84375000,0.9899232,NACA 0015
2000,1000,2000,0,50,0,45.33,0,22.665,22.665,90000000,1.2019061,NACA 0009
1500,1000,2000,0,50,0,49.61,0,24.805,24.805,101250000,0.92746127,NACA 0018
2000,1000,2000,0,50,0,50.84,0,25.42,25.42,120000000,1.0844448,NACA 0012
2500,1000,2000,0,50,0,56.66,0,28.33,28.33,140625000,1.2126063,NACA 0009
2000,1000,2000,0,50,0,56.96,0,28.48,28.48,150000000,1.0012996,NACA 0015
2500,1000,2000,0,50,0,63.55,0,31.775,31.775,187500000,1.0940992,NACA 0012
