ADAPTER_DIAMETER,ADAPTER_LENGTH,CAN_DIAMETER,CAN_LENGTH,CORPUS,COST,ESC_BEC_Class,INTERNAL_RESISTANCE,IO_IDLE_CURRENT_10V,KM,KT,KV,LENGTH,MAX_CURRENT,MAX_POWER,MODEL,MODEL_NAME,Max_Cells,Min_Cells,PROP_PITCH_REC,PROP_SIZE_REC,Poles,SHAFT_DIAMETER,TOTAL_LENGTH,WEIGHT
10,20,108.6,18,Both,842.95,1,23,1,0.59937685031677,0.0909,105,65.2,142,7355,kde_direct_KDE10218XF_105,kde_direct_KDE10218XF_105,14,6,"10,30","22,38",,10,74.7,1.18
10,20,150.2,18,Both,1325.95,1,13,3.1,1.08755194394072,0.124,105,65.2,150,9135,kde_direct_KDE13218XF_105,kde_direct_KDE13218XF_105,14,6,"10,30","22,40",,10,74.7,2.12
"6,8",20,48.2,15,Both,153.95,1,52,0.7,0.0898984469789705,0.0205,468,36,62,1375,kde_direct_KDE4215XF_465,kde_direct_KDE4215XF_465,6,4,"4,18","16,22",,4,48.2,0.25
"6,8",20,60,15,Both,205.95,1,78,0.5,0.155396927666557,0.0434,220,41,44,1955,kde_direct_KDE5215XF_220,kde_direct_KDE5215XF_220,12,6,"4,20","18,26",,4,53.3,0.361
"6,8",20,60,15,Both,201.95,1,44,0.7,0.137775344145988,0.0289,330,41,62,1835,kde_direct_KDE5215XF_330,kde_direct_KDE5215XF_330,8,4,"4,20","16,24",,4,53.3,0.36
"6,8",20,60,15,Both,201.95,1,31,1.4,0.124951603534354,0.022,435,41,72,1595,kde_direct_KDE5215XF_435,kde_direct_KDE5215XF_435,8,4,"4,20","16,24",,4,53.3,0.36
5,0,46,40,Both,207.95,1,7,3.4,0.103984889012092,0.0087,1100,56,112,3335,kde_direct_KDE600XF_1100_G3,kde_direct_KDE600XF_1100_G3,8,4,nan,nan,,6,96.5,0.375
6,0,46,46,Both,229.95,1,17,1.2,0.138053697992527,0.018,530,62,88,3905,kde_direct_KDE600XF_530_G3,kde_direct_KDE600XF_530_G3,12,6,nan,nan,,6,102.5,0.425
"6,10",20,70,13,Both,264.95,1,72,0.6,0.192301846064982,0.0516,185,39,50,2755,kde_direct_KDE6213XF_185,kde_direct_KDE6213XF_185,12,6,"6,24","18,28",,4,53.3,0.415
"6,10",20,77.2,15,Both,350.95,1,48,1.9,0.21452466835619,0.047,205,44.5,57,3000,kde_direct_KDE6815XF_205,kde_direct_KDE6815XF_205,12,6,"6,26","18,28",,4,56.8,0.63
