CORPUS,DIAMETER,HUB_THICKNESS,MODEL,MODEL_NAME,PITCH,Performance_File,SHAFT_DIAMETER,WEIGHT
UAV,266.7,12.7,apc_propellers_10_5x6,apc_propellers_10_5x6,152.4,PER3_105x6.dat,6.35,0.034881071
UAV,254,14.224,apc_propellers_10x10,apc_propellers_10x10,254,PER3_10x10.dat,6.35,0.036015046
UAV,254,10.16,apc_propellers_10x10E,apc_propellers_10x10E,254,PER3_10x10E.dat,6.35,0.020003319
UAV,254,11.684,apc_propellers_10x3,apc_propellers_10x3,76.2,PER3_10x3.dat,6.35,0.026081425
UAV,254,7.874,apc_propellers_10x3_8SF,apc_propellers_10x3_8SF,96.52,PER3_10x38SF.dat,6.35,0.011929417
UAV,254,11.938,apc_propellers_10x4,apc_propellers_10x4,101.6,PER3_10x4.dat,6.35,0.030073017
UAV,254,8.89,apc_propellers_10x4_5MR,apc_propellers_10x4_5MR,114.3,PER3_10x45MR.dat,6.35,0.015013829
UAV,254,5.334,apc_propellers_10x4_6SF,apc_propellers_10x4_6SF,116.84,PER3_10x46SF.dat,6.35,0.007983184
UAV,254,7.366,apc_propellers_10x4_7SF,apc_propellers_10x4_7SF,119.38,PER3_10x47SF.dat,6.35,0.011929417
UAV,254,12.192,apc_propellers_10x5,apc_propellers_10x5,127,PER3_10x5.dat,6.35,0.028077221
UAV,254,9.652,apc_propellers_10x5E,apc_propellers_10x5E,127,PER3_10x5E.dat,6.35,0.020003319
UAV,254,8.89,apc_propellers_10x5_5MR,apc_propellers_10x5_5MR,139.7,PER3_10x55MR.dat,6.35,0.015013829
UAV,254,12.7,apc_propellers_10x6,apc_propellers_10x6,152.4,PER3_10x6.dat,6.35,0.028939042
UAV,254,9.906,apc_propellers_10x6E,apc_propellers_10x6E,152.4,PER3_10x6E.dat,6.35,0.020003319
UAV,254,12.954,apc_propellers_10x7,apc_propellers_10x7,177.8,PER3_10x7.dat,6.35,0.030889479
UAV,254,10.16,apc_propellers_10x7E,apc_propellers_10x7E,177.8,PER3_10x7E.dat,6.35,0.020003319
UAV,254,7.62,apc_propellers_10x7SF,apc_propellers_10x7SF,177.8,PER3_10x7SF.dat,6.35,0.011929417
UAV,254,12.7,apc_propellers_10x8,apc_propellers_10x8,203.2,PER3_10x8.dat,6.35,0.028939042
UAV,254,10.16,apc_propellers_10x8E,apc_propellers_10x8E,203.2,PER3_10x8E.dat,6.35,0.020003319
UAV,254,12.954,apc_propellers_10x9,apc_propellers_10x9,228.6,PER3_10x9.dat,6.35,0.032885275
UAV,292.1,12.446,apc_propellers_11_5x4,apc_propellers_11_5x4,101.6,PER3_115x4.dat,6.35,0.041095254
UAV,292.1,13.97,apc_propellers_11_5x6,apc_propellers_11_5x6,152.4,PER3_115x6.dat,6.35,0.045086846
UAV,279.4,14.732,apc_propellers_11x10,apc_propellers_11x10,254,PER3_11x10.dat,7.9375,0.041957075
UAV,279.4,10.668,apc_propellers_11x10E,apc_propellers_11x10E,254,PER3_11x10E.dat,6.35,0.022997013
UAV,279.4,14.732,apc_propellers_11x11,apc_propellers_11x11,279.4,PER3_11x11.dat,7.9375,0.041957075
UAV,279.4,15.24,apc_propellers_11x12,apc_propellers_11x12,304.8,PER3_11x12.dat,7.9375,0.041957075
UAV,279.4,11.176,apc_propellers_11x12E,apc_propellers_11x12E,304.8,PER3_11x12E.dat,6.35,0.025990707
UAV,279.4,15.748,apc_propellers_11x12W,apc_propellers_11x12W,304.8,PER3_11x12W.dat,7.9375,0.04309105
UAV,279.4,13.716,apc_propellers_11x13,apc_propellers_11x13,330.2,PER3_11x13.dat,7.9375,0.041095254
UAV,279.4,14.478,apc_propellers_11x14,apc_propellers_11x14,355.6,PER3_11x14.dat,7.9375,0.039144817
UAV,279.4,13.208,apc_propellers_11x3,apc_propellers_11x3,76.2,PER3_11x3.dat,6.35,0.039144817
UAV,279.4,7.874,apc_propellers_11x3_8SF,apc_propellers_11x3_8SF,96.52,PER3_11x38SF.dat,6.35,0.015013829
UAV,279.4,13.208,apc_propellers_11x4,apc_propellers_11x4,101.6,PER3_11x4.dat,6.35,0.039144817
UAV,279.4,8.89,apc_propellers_11x4_5MR,apc_propellers_11x4_5MR,114.3,PER3_11x45MR.dat,6.35,0.017009625
UAV,279.4,5.588,apc_propellers_11x4_6SF,apc_propellers_11x4_6SF,116.84,PER3_11x46SF.dat,6.35,0.00997898
UAV,279.4,7.366,apc_propellers_11x4_7SF,apc_propellers_11x4_7SF,119.38,PER3_11x47SF.dat,6.35,0.015013829
UAV,279.4,13.208,apc_propellers_11x5,apc_propellers_11x5,127,PER3_11x5.dat,6.35,0.039144817
UAV,279.4,10.414,apc_propellers_11x5_5E,apc_propellers_11x5_5E,139.7,PER3_11x55E.dat,6.35,0.022997013
UAV,279.4,8.89,apc_propellers_11x5_5MR,apc_propellers_11x5_5MR,139.7,PER3_11x55MR.dat,6.35,0.017009625
UAV,279.4,13.462,apc_propellers_11x6,apc_propellers_11x6,152.4,PER3_11x6.dat,6.35,0.039961279
UAV,279.4,13.462,apc_propellers_11x7,apc_propellers_11x7,177.8,PER3_11x7.dat,6.35,0.039961279
UAV,279.4,10.414,apc_propellers_11x7E,apc_propellers_11x7E,177.8,PER3_11x7E.dat,6.35,0.022997013
UAV,279.4,13.97,apc_propellers_11x8,apc_propellers_11x8,203.2,PER3_11x8.dat,6.35,0.041095254
UAV,279.4,10.414,apc_propellers_11x8E,apc_propellers_11x8E,203.2,PER3_11x8E.dat,6.35,0.022997013
