surface_area,density,mass,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,Component,Component_param_DIAMETER,Component_param_LENGTH,Component_param_WALL_THICKNESS,Component_param_PORT_THICKNESS,Component_param_TOP_CONN_DISP,Component_param_RIGHT_CONN_DISP,Component_param_BOTTOM_CONN_DISP,Component_param_LEFT_CONN_DISP,Component_param_FRONT_ANGLE
1654904.8979358063,1.6e-06,6.835878519572923,68126.09565588951,0.0,0.0,0.0,3139281.568331481,0.0,0.0,0.0,3139281.250560861,68126.09565588951,0.0,0.0,0.0,839691.4449677293,0.0,0.0,0.0,839691.1271971093,PORTED_CYL,200.0,1160.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0
1696618.1269173727,1.6e-06,9.164232081076426,94850.29007814462,0.0,0.0,0.0,4170633.81271296,0.0,0.0,0.0,4170634.2401492856,94850.29007814462,0.0,0.0,0.0,1087785.22507683,0.0,0.0,0.0,1087785.652513156,PORTED_CYL,200.0,1160.0,3.0,120.0,0.0,0.0,0.0,0.0,0.0
1745237.4871402169,1.6e-06,12.51856477450504,135173.20043353576,0.0,0.0,0.0,5650594.82994059,0.0,0.0,0.0,5650594.700029682,135173.20043353576,0.0,0.0,0.0,1439375.266661663,0.0,0.0,0.0,1439375.1367507556,PORTED_CYL,200.0,1160.0,3.0,140.0,0.0,0.0,0.0,0.0,0.0
1752132.8850327132,1.6e-06,15.99345349039613,181109.06067272477,0.0,0.0,0.0,7186586.364259741,0.0,0.0,0.0,7186588.0950875385,181109.06067272477,0.0,0.0,0.0,1806382.4865471811,0.0,0.0,0.0,1806384.217374979,PORTED_CYL,200.0,1160.0,3.0,160.0,0.0,0.0,0.0,0.0,0.0
1754638.871897357,1.6e-06,18.127063158571442,214116.94537089267,0.0,-6.5004980008609925,0.0,8141042.149786227,0.0,-6.5004980008609925,0.0,8141041.593271563,214116.94537089267,0.0,-6.5004980008609925,0.0,2043096.9870370226,0.0,-6.5004980008609925,0.0,2043096.4305223576,PORTED_CYL,200.0,1160.0,3.0,180.0,0.0,0.0,0.0,0.0,0.0
1817874.5323658204,1.6e-06,6.943959651221773,82653.14483829305,0.0,0.0,0.0,3211102.805496693,0.0,0.0,0.0,3211102.7724798177,82653.14483829305,0.0,0.0,0.0,875154.2221503885,0.0,0.0,0.0,875154.1891335134,PORTED_CYL,220.0,1160.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0
1856082.4211569615,1.6e-06,9.025178737258667,110929.74945071607,0.0,0.0,0.0,4135242.9199610013,0.0,0.0,0.0,4135243.218378564,110929.74945071607,0.0,0.0,0.0,1099171.8439295893,0.0,0.0,0.0,1099172.1423471519,PORTED_CYL,220.0,1160.0,3.0,120.0,0.0,0.0,0.0,0.0,0.0
1900473.2826214586,1.6e-06,11.994447886321485,152922.073546868,0.0,0.0,0.0,5448616.979984722,0.0,0.0,0.0,5448616.7356979465,152922.073546868,0.0,0.0,0.0,1413684.741038262,0.0,0.0,0.0,1413684.4967514866,PORTED_CYL,220.0,1160.0,3.0,140.0,0.0,0.0,0.0,0.0,0.0
1940371.7029086857,1.6e-06,16.010219157501986,212370.43624579016,0.0,0.0,0.0,7218883.623838659,0.0,0.0,0.0,7218882.637159636,212370.43624579016,0.0,0.0,0.0,1833035.1755992905,0.0,0.0,0.0,1833034.188920267,PORTED_CYL,220.0,1160.0,3.0,160.0,0.0,0.0,0.0,0.0,0.0
1943824.3166791198,1.6e-06,19.482760939680055,270020.5015527342,0.0,0.0,0.0,8758128.828740932,0.0,0.0,0.0,8758129.01344207,270020.5015527342,0.0,0.0,0.0,2204128.1955150575,0.0,0.0,0.0,2204128.3802161957,PORTED_CYL,220.0,1160.0,3.0,180.0,0.0,0.0,0.0,0.0,0.0
