weight,propeller_diameter,voltage,thrust,power,current,max_voltage,max_thrust,max_power,max_current,thrust_per_weight,power_per_weight,motor_name,propeller_name
35.128,685.8,200,8.93,1799.8,9,1922.97,0,126315.79,65.69,0.25421315,51.23548,MAGiDRIVE150,27x3_2_4600_41_140
35.137,685.8,200,11.44,1846.47,9.23,1768.26,0,126315.79,71.44,0.3255827,52.550587,MAGiDRIVE150,27x4_2_4800_51_200
35.185,685.8,200,12.34,1855.69,9.28,1741.26,0,126315.79,72.54,0.35071763,52.74094,MAGiDRIVE150,27x4_3_4800_51_210
35.193,863.6,200,15.79,1855.71,9.28,1667.68,0,126315.79,75.74,0.44866878,52.72952,MAGiDRIVE150,34x3_2_4600_41_250
35.202,863.6,200,21.45,1933.68,9.67,1514.43,0,126315.79,83.41,0.60934037,54.93097,MAGiDRIVE150,34x4_2_4800_51_370
35.288,863.6,200,26,2009.19,10.05,1413.77,0,126315.79,89.35,0.73679435,56.93692,MAGiDRIVE150,34x4_3_4400_51_370
35.291,863.6,200,27.56,2059.84,10.3,1370.48,0,126315.79,92.17,0.78093565,58.36729,MAGiDRIVE150,34x5_3_4200_51_360
35.3,1041.4,200,35.53,2092.46,10.46,1279.73,1573.97,126315.79,98.7,1.0065156,59.276485,MAGiDRIVE150,41x4_2_4600_51_580
35.306,1041.4,200,41.4,2208.92,11.04,1214.69,1529.02,126315.79,103.99,1.1726053,62.565002,MAGiDRIVE150,41x5_2_4200_51_560
35.432,1219.2,200,53.13,2282.44,11.41,1120.66,1563.82,126315.79,112.72,1.4994919,64.41747,MAGiDRIVE150,48x4_2_4000_46_670
35.44,1219.2,200,63.64,2488.2,12.44,1055.99,1620.96,126315.79,119.62,1.795711,70.2088,MAGiDRIVE150,48x5_2_4000_51_810
35.585,1041.4,200,66.92,2828.54,14.14,994.77,1477.49,126315.79,126.98,1.8805677,79.48686,MAGiDRIVE150,41x6_4_3200_51_530
35.452,1219.2,200,82.24,2892.14,14.46,952.77,1784.28,126315.79,132.58,2.3197563,81.57903,MAGiDRIVE150,48x6_2_3400_51_760
35.617,1397,200,100.84,2999.22,15,910.28,1807.42,126315.79,138.77,2.8312323,84.20754,MAGiDRIVE150,55x5_2_3600_51_1080
35.622,1397,200,110.96,3298.66,16.49,876.41,1798.68,126315.79,144.13,3.114929,92.60176,MAGiDRIVE150,55x6_2_3400_51_1070
35.831,1574.8,200,131.35,3382.14,16.91,845.1,1910.98,126315.79,149.47,3.6658201,94.39145,MAGiDRIVE150,62x5_2_3200_46_1150
35.84,1574.8,200,154.11,3924.84,19.62,796.6,1922.47,126315.79,158.57,4.2999444,109.51005,MAGiDRIVE150,62x6_2_3200_51_1390
36.104,1752.6,200,199.92,4799.25,24,736.18,2324.28,126315.79,171.58,5.5373363,132.92848,MAGiDRIVE150,69x6_2_3000_51_1700
36.113,1752.6,200,222.94,5560.14,27.8,701.78,1942.84,126315.79,179.99,6.1734,153.96506,MAGiDRIVE150,69x7_2_2800_51_1730
36.418,1930.4,200,247.18,5596.91,27.98,694.28,2345,126315.79,181.94,6.787303,153.68527,MAGiDRIVE150,76x6_2_2400_41_1420
36.428,1930.4,200,277.74,6534.72,32.67,657.17,2238.22,126315.79,192.21,7.624355,179.38728,MAGiDRIVE150,76x7_2_2600_51_2000
36.793,2108.2,200,315.07,7075.87,35.38,640.84,2335.59,126315.79,197.11,8.5633135,192.31566,MAGiDRIVE150,83x7_2_2200_41_1710
