        83x32_2_600_51_720                                 (83x32_2_600_51_720.dat)

         PROP RPM =       300

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3040      0.6416       5.486    1152.367      41.342  
         4.5        0.19      0.0920      0.3139      0.6475       5.537    1162.988      42.691  
         8.9        0.38      0.1870      0.3280      0.6655       5.691    1195.736      44.602  
        13.4        0.57      0.2816      0.3458      0.6990       5.978    1255.921      47.030  
        17.9        0.76      0.3759      0.3668      0.7407       6.334    1331.152      49.885  
        22.4        0.95      0.4611      0.3849      0.7919       6.772    1423.200      52.358  
        26.8        1.14      0.5402      0.3992      0.8414       7.195    1511.707      54.291  
        31.3        1.33      0.6087      0.4062      0.8865       7.581    1593.134      55.258  
        35.8        1.52      0.6700      0.4058      0.9193       7.861    1651.549      55.191  
        40.3        1.71      0.7187      0.3946      0.9378       8.021    1685.182      53.684  
        44.7        1.90      0.7643      0.3770      0.9357       8.002    1680.757      51.256  
        49.2        2.09      0.8047      0.3523      0.9138       7.814    1641.813      47.929  
        53.7        2.28      0.8315      0.3196      0.8751       7.484    1571.892      43.456  
        58.2        2.47      0.8546      0.2855      0.8240       7.046    1479.845      38.825  
        62.6        2.66      0.8740      0.2499      0.7597       6.496    1364.785      33.991  
        67.1        2.85      0.8892      0.2130      0.6816       5.829    1224.943      28.955  
        71.6        3.04      0.8988      0.1745      0.5893       5.040    1058.549      23.740  
        76.1        3.23      0.8991      0.1345      0.4823       4.125     866.488      18.284  
        80.5        3.42      0.8804      0.0928      0.3602       3.079     646.990      12.625  
        85.0        3.60      0.8045      0.0496      0.2223       1.902     399.523       6.749  
        89.5        3.79      0.2655      0.0048      0.0687       0.588     123.468       0.654  



         PROP RPM =       360

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3040      0.6410       9.472    1658.630      59.552  
         4.5        0.16      0.0765      0.3121      0.6452       9.535    1669.251      61.126  
         8.9        0.32      0.1553      0.3229      0.6574       9.714    1700.228      63.239  
        13.4        0.47      0.2350      0.3366      0.6796      10.042    1757.758      65.914  
        17.9        0.63      0.3143      0.3532      0.7107      10.502    1838.300      69.174  
        22.4        0.79      0.3907      0.3701      0.7487      11.063    1936.543      72.478  
        26.8        0.95      0.4617      0.3852      0.7914      11.695    2047.178      75.446  
        31.3        1.11      0.5298      0.3980      0.8319      12.293    2152.501      77.986  
        35.8        1.26      0.5866      0.4050      0.8735      12.907    2259.595      79.335  
        40.3        1.42      0.6398      0.4073      0.9057      13.382    2342.792      79.740  
        44.7        1.58      0.6858      0.4031      0.9289      13.732    2402.978      78.908  
        49.2        1.74      0.7285      0.3934      0.9388      13.880    2428.645      76.997  
        53.7        1.90      0.7651      0.3776      0.9365      13.839    2422.449      73.940  
        58.2        2.06      0.7979      0.3572      0.9202      13.598    2380.851      69.961  
        62.6        2.21      0.8237      0.3313      0.8903      13.157    2302.964      64.880  
        67.1        2.37      0.8443      0.3034      0.8521      12.592    2204.721      59.417  
        71.6        2.53      0.8624      0.2744      0.8051      11.896    2082.581      53.752  
        76.1        2.69      0.8779      0.2445      0.7486      11.062    1936.543      47.884  
        80.5        2.85      0.8905      0.2136      0.6826      10.086    1765.724      41.814  
        85.0        3.00      0.8992      0.1816      0.6066       8.963    1569.237      35.565  
        89.5        3.16      0.9025      0.1485      0.5204       7.689    1346.198      29.090  
        94.0        3.32      0.8962      0.1144      0.4237       6.261    1095.722      22.395  
        98.4        3.48      0.8700      0.0791      0.3163       4.673     818.251      15.492  
       102.9        3.64      0.7850      0.0427      0.1980       2.925     512.104       8.367  
       107.4        3.79      0.2889      0.0052      0.0684       1.011     177.015       1.021  



         PROP RPM =       420

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3041      0.6405      15.033    2255.170      81.066  
         4.5        0.14      0.0654      0.3108      0.6436      15.100    2266.676      82.865  
         8.9        0.27      0.1328      0.3196      0.6524      15.314    2297.654      85.203  
        13.4        0.41      0.2011      0.3305      0.6682      15.677    2352.528      88.103  
        17.9        0.54      0.2690      0.3434      0.6920      16.240    2436.610      91.520  
        22.4        0.68      0.3363      0.3579      0.7212      16.924    2539.279      95.409  
