        90x34_4_400_36_460                                 (90x34_4_400_36_460.dat)

         PROP RPM =       200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3488      0.7071       2.686     846.308      29.135  
         4.5        0.26      0.1328      0.3651      0.7214       2.740     863.567      30.507  
         8.9        0.52      0.2678      0.3891      0.7626       2.897     912.512      32.507  
        13.4        0.79      0.3993      0.4194      0.8269       3.141     989.513      35.048  
        17.9        1.05      0.5163      0.4426      0.9001       3.418    1077.136      36.981  
        22.4        1.31      0.6164      0.4515      0.9609       3.650    1149.712      37.723  
        26.8        1.57      0.6981      0.4403      0.9933       3.772    1188.655      36.801  
        31.3        1.84      0.7608      0.4085      0.9865       3.747    1180.690      34.148  
        35.8        2.10      0.8126      0.3627      0.9372       3.560    1122.275      30.304  
        40.3        2.36      0.8472      0.3070      0.8561       3.252    1024.916      25.651  
        44.7        2.62      0.8735      0.2489      0.7477       2.840     894.810      20.795  
        49.2        2.89      0.8889      0.1881      0.6109       2.320     731.160      15.716  
        53.7        3.15      0.8831      0.1245      0.4441       1.687     531.576      10.406  
        58.2        3.41      0.8035      0.0581      0.2468       0.938     295.438       4.856  



         PROP RPM =       240

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3489      0.7060       4.635    1216.978      41.994  
         4.5        0.22      0.1105      0.3620      0.7163       4.702    1234.679      43.568  
         8.9        0.44      0.2237      0.3805      0.7442       4.884    1282.473      45.794  
        13.4        0.66      0.3335      0.4039      0.7946       5.215    1369.210      48.581  
        17.9        0.87      0.4389      0.4279      0.8532       5.600    1470.109      51.504  
        22.4        1.09      0.5378      0.4469      0.9089       5.966    1566.582      53.797  
        26.8        1.31      0.6177      0.4519      0.9601       6.301    1655.090      54.381  
        31.3        1.53      0.6863      0.4438      0.9902       6.499    1706.424      53.415  
        35.8        1.75      0.7414      0.4209      0.9937       6.523    1712.619      50.672  
        40.3        1.97      0.7883      0.3874      0.9674       6.350    1667.481      46.625  
        44.7        2.19      0.8263      0.3450      0.9133       5.994    1574.548      41.522  
        49.2        2.41      0.8536      0.2981      0.8403       5.514    1447.982      35.880  
        53.7        2.62      0.8752      0.2494      0.7480       4.909    1289.554      30.012  
        58.2        2.84      0.8897      0.1989      0.6357       4.173    1095.722      23.942  
        62.6        3.06      0.8923      0.1466      0.5030       3.302     866.931      17.636  
        67.1        3.28      0.8670      0.0922      0.3491       2.290     601.674      11.101  
