chord,span,max_load,angle,speed,lift2x,drag2x,lift,drag,flight_load,available_volume,weight,profile
500.0,1000.0,1000.0,0.0,50.0,15.62,9.98,7.81,4.99,9.268021,3750000.0,0.8406322,NACA 0006
500.0,1000.0,1000.0,0.863,50.0,150.37,12.35,75.185,6.175,75.438156,3750000.0,0.8406322,NACA 0006
500.0,1000.0,1000.0,1.725,50.0,285.12,18.56,142.56,9.28,142.86172,3750000.0,0.8406322,NACA 0006
500.0,1000.0,1000.0,2.588,50.0,419.87,28.63,209.935,14.315,210.42249,3750000.0,0.8406322,NACA 0006
500.0,2000.0,1000.0,1.725,50.0,570.24,28.68,285.12,14.34,285.48038,7500000.0,1.8938034,NACA 0006
500.0,3000.0,1000.0,1.725,50.0,855.36,38.8,427.68,19.4,428.11978,11250000.0,3.0455663,NACA 0006
500.0,3000.0,1000.0,2.588,50.0,1259.61,49.24,629.805,24.62,630.286,11250000.0,3.0455663,NACA 0006
500.0,4000.0,1000.0,1.725,50.0,1140.48,48.91,570.24,24.455,570.76416,15000000.0,4.266422,NACA 0006
500.0,4000.0,1000.0,2.588,50.0,1679.48,59.54,839.74,29.77,840.2675,15000000.0,4.266422,NACA 0006
500.0,4000.0,2000.0,3.451,50.0,2218.48,74.24,1109.24,37.12,1109.861,15000000.0,6.6736526,NACA 0006
500.0,5000.0,1000.0,1.725,50.0,1425.59,59.03,712.795,29.515,713.4058,18750000.0,5.5413694,NACA 0006
500.0,5000.0,2000.0,2.588,50.0,2099.34,69.85,1049.67,34.925,1050.2509,18750000.0,8.667961,NACA 0006
500.0,5000.0,2000.0,3.451,50.0,2773.09,84.81,1386.545,42.405,1387.1932,18750000.0,8.667961,NACA 0006
500.0,5000.0,2000.0,4.314,50.0,3446.84,103.9,1723.42,51.95,1724.2028,18750000.0,8.667961,NACA 0006
500.0,6000.0,2000.0,2.588,50.0,2519.21,80.15,1259.605,40.075,1260.2423,22500000.0,10.732398,NACA 0006
500.0,6000.0,2000.0,3.451,50.0,3327.71,95.37,1663.855,47.685,1664.5382,22500000.0,10.732398,NACA 0006
500.0,6000.0,3000.0,4.314,50.0,4136.21,114.8,2068.105,57.4,2068.9014,22500000.0,13.942956,NACA 0006
