surface_area,density,mass,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,Component,Component_param_THICKNESS,Component_param_CHORD_1,Component_param_SPAN,Component_param_TAPER_OFFSET,Component_param_CHORD_2,Component_param_LOAD
1803865.2140515677,2.3538599748570276e-10,0.023042520190690308,7721.589903277155,0.0,-2572.3863909947427,0.0,9250.555516904722,0.0,-2572.3863909947427,0.0,1610.4685946772136,1960.9598556045792,0.0,0.0,0.0,2341.2365775980707,0.0,0.0,0.0,461.7797030431383,naca_wing,30.0,500.0,1000.0,1.0,500.0,9.268021
1803865.2140515677,2.7330619226829325e-09,0.0891824427915452,29885.196762765987,0.0,-9956.016106490188,0.0,35802.817198341065,0.0,-9956.016106490188,0.0,6233.064878485327,7589.586064879683,0.0,0.0,0.0,9061.38718400566,0.0,0.0,0.0,1787.2455620362273,naca_wing,30.0,500.0,1000.0,1.0,500.0,75.438156
1803865.2140515677,2.819857728892866e-09,0.09201467354256485,30834.282374489136,0.0,-10272.196445263344,0.0,36939.83292327801,0.0,-10272.196445263344,0.0,6431.012786945403,7830.613988847931,0.0,0.0,0.0,9349.156150924675,0.0,0.0,0.0,1844.004400233272,naca_wing,30.0,500.0,1000.0,1.0,500.0,79.18212
1987421.7662175922,2.7907357515642524e-09,0.09106439537450335,30717.16850367729,0.0,-10166.243781876517,0.0,36558.41846291174,0.0,-10166.243781876517,0.0,6565.993404869284,7951.069660051466,0.0,0.0,0.0,9252.564550029496,0.0,0.0,0.0,2026.2383356128682,naca_wing,45.0,500.0,1000.0,1.0,500.0,97.53704
2183544.3576120147,1.8931230912385624e-09,0.09266055638982279,31542.35736633131,0.0,-10344.06077742477,0.0,37198.95643843744,0.0,-10344.06077742477,0.0,6967.615447890887,8377.218268875618,0.0,0.0,0.0,9414.825289308306,0.0,0.0,0.0,2348.623396217443,naca_wing,60.0,500.0,1000.0,1.0,500.0,117.50543
1803865.2140515677,2.0634982907534145e-09,0.1346724195701908,45128.969687231816,0.0,-15034.358068379088,0.0,54065.03644220586,0.0,-15034.358068379088,0.0,9412.412379033603,11460.864794684123,0.0,0.0,0.0,13683.398867922147,0.0,0.0,0.0,2698.8796972975792,naca_wing,30.0,500.0,1000.0,1.0,500.0,142.86172
1803865.2140515677,4.14237993720597e-09,0.13516984694150816,45295.6584928048,0.0,-15089.889120967775,0.0,54264.73159169121,0.0,-15089.889120967775,0.0,9447.178157820385,11503.196757427762,0.0,0.0,0.0,13733.94000434249,0.0,0.0,0.0,2708.8483058487054,naca_wing,30.0,500.0,1000.0,1.0,500.0,143.68008
1803865.2140515677,4.40631520073461e-09,0.14378230879060078,48181.709927542455,0.0,-16051.354250225564,0.0,57722.25515304382,0.0,-16051.354250225564,0.0,10049.113155209388,12236.132729892272,0.0,0.0,0.0,14609.00968150438,0.0,0.0,0.0,2881.4448813201325,naca_wing,30.0,500.0,1000.0,1.0,500.0,158.1094
1987421.7662175922,3.87024202471198e-09,0.12628972475657757,42599.11614937218,0.0,-14098.72786989287,0.0,50699.86558665038,0.0,-14098.72786989287,0.0,9105.836550545131,11026.6849602278,0.0,0.0,0.0,12831.621244617138,0.0,0.0,0.0,2810.0233976562617,naca_wing,45.0,500.0,1000.0,1.0,500.0,161.88298
2183544.3576120147,2.352100177384188e-09,0.11512558910177864,39189.62517536275,0.0,-12851.920354283839,0.0,46217.63499810885,0.0,-12851.920354283839,0.0,8656.874773106741,10408.227899918105,0.0,0.0,0.0,11697.396928656797,0.0,0.0,0.0,2918.033979099339,naca_wing,60.0,500.0,1000.0,1.0,500.0,164.48332
1803865.2140515677,2.280771914525417e-09,0.14885259347839178,49880.77143331498,0.0,-16617.38310563749,0.0,59757.7508194368,0.0,-16617.38310563749,0.0,10403.481262004374,12667.623063717041,0.0,0.0,0.0,15124.17624625748,0.0,0.0,0.0,2983.055058422993,naca_wing,30.0,500.0,1000.0,1.0,500.0,166.8308
3876951.3266496956,9.829670207372709e-09,0.3207516059746711,428945.0024626555,0.0,-71616.02372626725,0.0,449519.30542627233,0.0,-71616.02372626725,0.0,23127.0353200841,108193.39648798431,0.0,0.0,0.0,112777.5851113279,0.0,0.0,0.0,7136.9209798108195,naca_wing,45.0,500.0,2000.0,1.0,500.0,194.92906
1803865.2140515677,1.7663739297057083e-09,0.17291315830582835,57943.509922906975,0.0,-19303.420440509857,0.0,69417.00635495811,0.0,-19303.420440509857,0.0,12085.102182984936,14715.220346449913,0.0,0.0,0.0,17568.851307209516,0.0,0.0,0.0,3465.2367116934056,naca_wing,30.0,500.0,1000.0,1.0,500.0,210.42249
3542467.5828755787,1.453579894855236e-08,0.4743171193450725,633261.4810422375,0.0,-105902.09746191323,0.0,664734.3007277345,0.0,-105902.09746191323,0.0,33150.516027920516,158944.361697165,0.0,0.0,0.0,166772.12665151848,0.0,0.0,0.0,9505.461296777017,naca_wing,30.0,500.0,2000.0,1.0,500.0,285.48038
