surface_area,density,mass,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,Component,Component_param_THICKNESS,Component_param_CHORD_1,Component_param_SPAN,Component_param_TAPER_OFFSET,Component_param_CHORD_2,Component_param_LOAD
1803865.2140515677,5.676372613804096e-09,0.023042520190690308,7721.589903277155,0.0,-2572.3863909947427,0.0,9250.555516904722,0.0,-2572.3863909947427,0.0,1610.4685946772136,1960.9598556045792,0.0,0.0,0.0,2341.2365775980707,0.0,0.0,0.0,461.7797030431383,naca_wing,30.0,500.0,1000.0,1.0,500.0,9.268021
1803865.2140515677,2.7330619226829325e-09,0.0891824427915452,29885.196762765987,0.0,-9956.016106490188,0.0,35802.817198341065,0.0,-9956.016106490188,0.0,6233.064878485327,7589.586064879683,0.0,0.0,0.0,9061.38718400566,0.0,0.0,0.0,1787.2455620362273,naca_wing,30.0,500.0,1000.0,1.0,500.0,75.438156
1803865.2140515677,4.127135907492347e-09,0.1346724195701908,45128.969687231816,0.0,-15034.358068379088,0.0,54065.03644220586,0.0,-15034.358068379088,0.0,9412.412379033603,11460.864794684123,0.0,0.0,0.0,13683.398867922147,0.0,0.0,0.0,2698.8796972975792,naca_wing,30.0,500.0,1000.0,1.0,500.0,142.86172
1803865.2140515677,5.2990516306120725e-09,0.17291315830582835,57943.509922906975,0.0,-19303.420440509857,0.0,69417.00635495811,0.0,-19303.420440509857,0.0,12085.102182984936,14715.220346449913,0.0,0.0,0.0,17568.851307209516,0.0,0.0,0.0,3465.2367116934056,naca_wing,30.0,500.0,1000.0,1.0,500.0,210.42249
3542467.5828755787,1.453579894855236e-08,0.4743171193450725,633261.4810422375,0.0,-105902.09746191323,0.0,664734.3007277345,0.0,-105902.09746191323,0.0,33150.516027920516,158944.361697165,0.0,0.0,0.0,166772.12665151848,0.0,0.0,0.0,9505.461296777017,naca_wing,30.0,500.0,2000.0,1.0,500.0,285.48038
5281070.058543467,1.5182248587511723e-08,0.9908184600689883,2974205.4926773906,0.0,-331832.8926163949,0.0,3039949.7069420572,0.0,-331832.8926163949,0.0,69248.84319203635,744863.9575221669,0.0,0.0,0.0,761215.5296610065,0.0,0.0,0.0,19856.20106620931,naca_wing,30.0,500.0,3000.0,1.0,500.0,428.11978
5281070.058543467,1.2991595830948223e-08,1.2717795979435667,3817585.1764161023,0.0,-425928.98675580317,0.0,3901972.1289753146,0.0,-425928.98675580317,0.0,88885.37053164415,956081.0810430774,0.0,0.0,0.0,977069.3818050865,0.0,0.0,0.0,25486.71873444102,naca_wing,30.0,500.0,3000.0,1.0,500.0,630.286
7019671.164632909,1.7070710880032346e-08,1.6710943060513788,8915436.022245517,0.0,-746211.6689162097,0.0,9026317.449907094,0.0,-746211.6689162097,0.0,116792.30217589991,2231058.7980400007,0.0,0.0,0.0,2258636.7501271744,0.0,0.0,0.0,33488.82660149462,naca_wing,30.0,500.0,4000.0,1.0,500.0,570.76416
7019671.164632909,1.6433387255221784e-08,2.144921013447141,11443343.442024782,0.0,-957794.5920477743,0.0,11585664.496755866,0.0,-957794.5920477743,0.0,149907.9149745208,2863659.388236222,0.0,0.0,0.0,2899056.8692314075,0.0,0.0,0.0,42984.34123862358,naca_wing,30.0,500.0,4000.0,1.0,500.0,840.2675
7019671.164632909,1.966664975257574e-08,2.5669333816131394,13694816.776208114,0.0,-1146240.302389839,0.0,13865139.442639772,0.0,-1146240.302389839,0.0,179402.23845245328,3427083.2497555586,0.0,0.0,0.0,3469445.171253792,0.0,0.0,0.0,51441.49351903042,naca_wing,30.0,500.0,4000.0,1.0,500.0,1109.861
