surface_area,density,mass,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,Component,Component_param_THICKNESS,Component_param_CHORD_1,Component_param_SPAN,Component_param_TAPER_OFFSET,Component_param_CHORD_2,Component_param_LOAD
1597096.946075949,2.1135774436988814e-09,2.590609136129621,864151.3636023736,0.0,-289188.3641329103,0.0,1039992.6943023861,0.0,-289188.3641329103,0.0,177073.38484342987,216499.079569968,0.0,0.0,0.0,263212.617453173,0.0,0.0,0.0,47945.59202662229,naca_wing,11.0,500.0,1000.0,0.0,500.0,8000.0
3060698.792243992,3.541660204009692e-07,4.237156989216814,1412692.878621532,0.0,-952248.3028093703,0.0,2579833.108547492,0.0,-952248.3028093703,0.0,1167738.3134279305,353403.86138251994,0.0,0.0,0.0,664519.9451141898,0.0,0.0,0.0,311714.1672336409,naca_wing,3.0,1000.0,1000.0,0.0,1000.0,8000.0
6357785.431822743,2.582800916276888e-07,3.3995330190062067,1137023.5570889015,0.0,-1527134.553182277,0.0,4876401.587063824,0.0,-1527134.553182277,0.0,3747058.0479399264,287140.302337349,0.0,0.0,0.0,1282447.3902333053,0.0,0.0,0.0,1002987.1058609603,naca_wing,6.0,2000.0,1000.0,0.0,2000.0,8000.0
10059259.879389118,2.8399815786083107e-08,2.9885773816446712,1013284.9206482676,0.0,-2013723.2376123194,0.0,8399963.777407657,0.0,-2013723.2376123194,0.0,7420858.725071236,266140.5752371008,0.0,0.0,0.0,2225379.2022665003,0.0,0.0,0.0,1993418.4953412456,naca_wing,9.0,3000.0,1000.0,0.0,3000.0,8000.0
3170264.5741936425,1.6432993185268165e-08,5.836208246451306,7782944.0961882025,0.0,-1302949.0930862066,0.0,8179063.431962609,0.0,-1302949.0930862066,0.0,398895.0316312238,1946735.8497368922,0.0,0.0,0.0,2051968.3172768715,0.0,0.0,0.0,108008.1633967956,naca_wing,11.0,500.0,2000.0,0.0,500.0,8000.0
6095071.64989307,3.9894995985725745e-07,9.54560462908004,12728210.553699452,0.0,-4290532.381395483,0.0,15357603.192470739,0.0,-4290532.381395483,0.0,2630740.0183199504,3182605.924619408,0.0,0.0,0.0,3883501.749294454,0.0,0.0,0.0,702243.204223711,naca_wing,3.0,1000.0,2000.0,0.0,1000.0,8000.0
12505101.812465748,2.909283004210658e-07,7.658578194180666,10220158.595304616,0.0,-6880804.016727036,0.0,18644468.634452518,0.0,-6880804.016727036,0.0,8441611.720637728,2561583.2832327774,0.0,0.0,0.0,4803872.17472141,0.0,0.0,0.0,2259590.5729784556,naca_wing,6.0,2000.0,2000.0,0.0,2000.0,8000.0
19408204.57355248,3.1989683434646856e-08,6.732764011621928,9015544.584444797,0.0,-9073187.36541917,0.0,25656578.562097028,0.0,-9073187.36541917,0.0,16718035.350754555,2282780.737123971,0.0,0.0,0.0,6696632.8513535485,0.0,0.0,0.0,4490853.487331902,naca_wing,9.0,3000.0,2000.0,0.0,3000.0,8000.0
4743433.851177447,1.3213502795165877e-08,9.385641288067593,28158989.274016548,0.0,-3143091.039314849,0.0,28796030.934172366,0.0,-3143091.039314849,0.0,641505.457109039,7041296.375864438,0.0,0.0,0.0,7210530.244275838,0.0,0.0,0.0,173697.66536462196,naca_wing,11.0,500.0,3000.0,0.0,500.0,8000.0
9129445.041681083,4.277137143107773e-07,15.35099796700002,46054291.36898641,0.0,-10349814.173736962,0.0,50282770.060066484,0.0,-10349814.173736962,0.0,4230645.530649473,11514545.943236332,0.0,0.0,0.0,12641708.972880542,0.0,0.0,0.0,1129329.869213608,naca_wing,3.0,1000.0,3000.0,0.0,1000.0,8000.0
18652414.40645444,3.1190750847994417e-07,12.316330170518347,36963194.011381365,0.0,-16598329.387875734,0.0,50510997.614326686,0.0,-16598329.387875734,0.0,13575627.602251539,9251451.12771505,0.0,0.0,0.0,12857457.145969115,0.0,0.0,0.0,3633830.01756028,naca_wing,6.0,2000.0,3000.0,0.0,2000.0,8000.0
28757159.534435354,3.4296537137116066e-08,10.827459408892354,32544449.61131889,0.0,-21887009.12090682,0.0,59306334.97146964,0.0,-21887009.12090682,0.0,26885716.718558878,8182651.72827108,0.0,0.0,0.0,15280923.937760029,0.0,0.0,0.0,7222103.567897068,naca_wing,9.0,3000.0,3000.0,0.0,3000.0,8000.0
