surface_area,density,mass,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,Component,Component_param_THICKNESS,Component_param_CHORD_1,Component_param_SPAN,Component_param_TAPER_OFFSET,Component_param_CHORD_2,Component_param_LOAD
219265377.91310313,2.9090379628939337e-10,17.336229483679553,603505275.8106935,0.0,-111130716.43240012,0.0,606103944.277726,0.0,-111130716.43240012,0.0,76860173.60620221,178724312.88683498,0.0,0.0,0.0,152249088.6592172,0.0,0.0,0.0,47786280.91155182,naca_wing,180.0,2900.0,9900.0,1.0,2900.0,9999.679
340157679.8596063,2.9090379628939337e-10,3.6304340151053656,158709812.89509588,0.0,-10434772.099807862,0.0,29184909.259188384,0.0,-10434772.099807862,0.0,151082096.97878513,144905087.55265772,0.0,0.0,0.0,7492705.819652669,0.0,0.0,0.0,143194618.88168755,naca_wing,672.0,3300.0,3900.0,1.0,3300.0,9905.226
182392189.36075342,2.9090379628939337e-10,1.7791526340800168,55956650.243612565,0.0,-2502560.854930124,0.0,6978439.9992595175,0.0,-2502560.854930124,0.0,57704384.715194516,53995134.46453935,0.0,0.0,0.0,1824081.7768858075,0.0,0.0,0.0,54511542.27189402,naca_wing,651.0,3000.0,2100.0,1.0,3000.0,9975.672
240659673.796282,2.9090379628939337e-10,1.7114146017400533,86526270.59966841,0.0,-2728252.3477118365,0.0,7906558.444647234,0.0,-2728252.3477118365,0.0,89401272.86815482,84639436.00125001,0.0,0.0,0.0,2074830.7013636765,0.0,0.0,0.0,85456379.72328968,naca_wing,735.0,3400.0,2100.0,1.0,3400.0,9969.425
167603220.05176908,2.9090379628939337e-10,0.597894691097484,32988536.901617903,0.0,-484704.09197698574,0.0,2016270.272777752,0.0,-484704.09197698574,0.0,34522505.15581938,32807673.757560916,0.0,0.0,0.0,536424.6411377371,0.0,0.0,0.0,33223522.66823635,naca_wing,800.0,3300.0,1100.0,1.0,3300.0,6638.097
322331294.28908587,2.9090379628939337e-10,1.1585863862879573,113883652.34600648,0.0,-1819029.819847879,0.0,5718508.149795713,0.0,-1819029.819847879,0.0,116813827.78832625,112838028.13238159,0.0,0.0,0.0,1508391.9108523894,0.0,0.0,0.0,113649335.7630078,naca_wing,950.0,3700.0,1900.0,1.0,3700.0,7491.032
130796152.87440991,2.9090379628939337e-10,0.6406971747151526,24082544.418234743,0.0,-456325.31737392145,0.0,1726621.6669553414,0.0,-456325.31737392145,0.0,25292337.326325033,23888733.533844788,0.0,0.0,0.0,458398.52443842066,0.0,0.0,0.0,24217925.068198066,naca_wing,750.0,2900.0,1100.0,1.0,2900.0,7186.146
143877816.6587624,2.9090379628939337e-10,0.507943379516023,21782564.581596546,0.0,-386825.7130218302,0.0,1535674.5472591915,0.0,-386825.7130218302,0.0,22908497.87393508,21628911.709292952,0.0,0.0,0.0,408176.3441687339,0.0,0.0,0.0,21934652.54314822,naca_wing,750.0,3100.0,1100.0,1.0,3100.0,4994.4243
357308183.7214798,2.9090379628939337e-10,2.485881649145978,161704899.50675172,0.0,-5849945.880313026,0.0,15793369.921269614,0.0,-5849945.880313026,0.0,161572061.92954287,155732568.8446785,0.0,0.0,0.0,4090970.2561664144,0.0,0.0,0.0,155841992.92651287,naca_wing,825.0,3400.0,3100.0,1.0,3400.0,9344.969
126950196.39429481,2.9090379628939337e-10,0.5176420808755134,22134623.953945197,0.0,-312050.1510840238,0.0,1409198.726309474,0.0,-312050.1510840238,0.0,23264296.10327391,22029801.432567906,0.0,0.0,0.0,375422.2405348201,0.0,0.0,0.0,22335342.138876546,naca_wing,775.0,3000.0,900.0,1.0,3000.0,7554.162
