BATTERY_TYPE,CAPACITY,CHEMISTRY_TYPE,CONT_DISCHARGE_RATE,CORPUS,COST,DISCHARGE_PLUG,LENGTH,MODEL,MODEL_NAME,NUMBER_OF_CELLS,PACK_RESISTANCE,PEAK_DISCHARGE_RATE,THICKNESS,VOLTAGE,WEIGHT,WIDTH
UAV,25000,LiHv,10,UAV,489.99,XT90,207,Tattu10C25000mAh6S1PHV,Tattu10C25000mAh6S1PHV,6S1P,12,20,65,22.8,2.577,91
UAV,32000,LiHv,10,UAV,419,XT90,216,Tattu10C32000mAh6S1PHV,Tattu10C32000mAh6S1PHV,6S1P,12,20,61,22.8,3.494,125
UAV,40000,LiHv,10,UAV,822,XT90,258,Tattu10C40000mAh6S1PHV,Tattu10C40000mAh6S1PHV,6S1P,12,20,62,22.8,4.08,123
UAV,16000,LiPo,15,UAV,179,EC5,180,Tattu15C16000mAh4S1P,Tattu15C16000mAh4S1P,4S1P,12,30,44,14.8,1.241,74
UAV,17000,LiHv,15,UAV,345.99,XT150,195,Tattu15C17000mAh6S1PHV,Tattu15C17000mAh6S1PHV,6S1P,12,30,64.5,22.8,1.86,78
UAV,10000,LiPo,25,UAV,149.99,XT150,169,Tattu25C10000mAh4S1P,Tattu25C10000mAh4S1P,4S1P,12,50,39,14.8,0.94,65
UAV,11000,LiHv,25,UAV,210,XT90,176,Tattu25C11000mAh6S1PHV,Tattu25C11000mAh6S1PHV,6S1P,12,50,56,22.8,1.35,65
UAV,19000,LiPo,25,UAV,1022.99,Molex,279,Tattu25C19000mAh14S1P,Tattu25C19000mAh14S1P,14S1P,12,50,91,51.8,7.86,236
UAV,22000,LiPo,25,UAV,1185.79,Molex,279,Tattu25C22000mAh14S1P,Tattu25C22000mAh14S1P,14S1P,12,50,91,51.8,8.74,236
UAV,22000,LiPo,25,UAV,343.89,EC5,195,Tattu25C22000mAh4S1P,Tattu25C22000mAh4S1P,4S1P,12,50,43,14.8,1.673,91
UAV,23000,LiHv,25,UAV,482.99,XT150,210,Tattu25C23000mAh6S1PHV,Tattu25C23000mAh6S1PHV,6S1P,12,50,66,22.8,2.47,93
UAV,25000,LiPo,25,UAV,1347.49,Molex,279,Tattu25C25000mAh14S1P,Tattu25C25000mAh14S1P,14S1P,12,50,91,51.8,9.54,236
UAV,28000,LiPo,25,UAV,517.13,XT150,205,Tattu25C28000mAh6S1P,Tattu25C28000mAh6S1P,6S1P,12,50,67,22.2,3.505,121
UAV,30000,LiPo,25,UAV,517.13,XT150,217,Tattu25C30000mAh6S1P,Tattu25C30000mAh6S1P,6S1P,12,50,65,22.2,3.505,120
UAV,7000,LiPo,25,UAV,142,XT60,138,Tattu25C7000mAh6S1P,Tattu25C7000mAh6S1P,6S1P,12,50,65,22.2,0.87,42
UAV,8000,LiPo,25,UAV,157,XT60,168,Tattu25C8000mAh6S1P,Tattu25C8000mAh6S1P,6S1P,12,50,51,22.2,1.16,65
UAV,9000,LiPo,25,UAV,205.62,EC5,208,Tattu25C9000mAh6S1P,Tattu25C9000mAh6S1P,6S1P,12,50,37,22.2,1.173,73
UAV,10000,LiPo,30,UAV,210,XT90,175,Tattu30C10000mAh6S1P,Tattu30C10000mAh6S1P,6S1P,12,60,58,22.2,1.357,65
UAV,12000,LiPo,30,UAV,260.63,XT90,190,Tattu30C12000mAh6S1P,Tattu30C12000mAh6S1P,6S1P,12,60,54,22.2,1.532,71
UAV,16000,LiPo,30,UAV,325.79,XT90,190,Tattu30C16000mAh6S1P,Tattu30C16000mAh6S1P,6S1P,12,60,65,22.2,1.974,76
UAV,22000,LiPo,30,UAV,461.89,XT150,206,Tattu30C22000mAh6S1P,Tattu30C22000mAh6S1P,6S1P,12,60,61,22.2,2.46,91
UAV,6000,LiPo,35,UAV,129.99,XT60,148,Tattu35C6000mAh6S1P,Tattu35C6000mAh6S1P,6S1P,12,70,59,22.2,0.885,45
UAV,20000,LiIon,5,UAV,400,XT90,189,Tattu5C20000mAh6S1P,Tattu5C20000mAh6S1P,6S1P,12,10,58,22.2,1.8,76
UAV,28000,LiIon,5,UAV,450,XT90,203,Tattu5C28000mAh6S1P,Tattu5C28000mAh6S1P,6S1P,12,10,61.5,22.2,2.5,89
UAV,16000,LiPo,15,UAV,674.99,XT90,224,TattuPlus15C16000mAh12S1P,TattuPlus15C16000mAh12S1P,12S1P,12,30,90,44.4,4.74,163
UAV,16000,LiPo,15,UAV,674.99,XT150,224,TattuPlus15C16000mAh12S1PAGRI,TattuPlus15C16000mAh12S1PAGRI,12S1P,12,30,90,44.4,4.7,163
UAV,16000,LiPo,15,UAV,674.99,XT90,217.5,TattuPlus15C16000mAh12S1Pcompact,TattuPlus15C16000mAh12S1Pcompact,12S1P,12,30,80,44.4,4.25,150
UAV,22000,LiPo,25,UAV,843.99,XT150,235.5,TattuPlus25C22000mAh12S1P,TattuPlus25C22000mAh12S1P,12S1P,12,50,172,44.4,6,116
UAV,22000,LiPo,25,UAV,843.99,XT150,235,TattuPlus25C22000mAh12S1PAGRI,TattuPlus25C22000mAh12S1PAGRI,12S1P,12,50,116,44.4,5.8,172
UAV,22000,LiPo,25,UAV,908.59,XT150,238,TattuPro25C22000mAh12S1P,TattuPro25C22000mAh12S1P,12S1P,12,50,117,44.4,6.3,174
UAV,22000,LiPo,25,UAV,1059.29,XT150,238,TattuPro25C22000mAh14S1P,TattuPro25C22000mAh14S1P,14S1P,12,50,117,51.8,7.35,174
UAV,1000,LiPo,75,UAV,9.54,XT60,74,TurnigyGraphene1000mAh2S75C,TurnigyGraphene1000mAh2S75C,2S1P,11,150,17,7.4,0.084,35
UAV,1000,LiPo,75,UAV,16.88,XT60,74,TurnigyGraphene1000mAh3S75C,TurnigyGraphene1000mAh3S75C,3S1P,13,150,24,11.1,0.116,35
