BASE_VOLTAGE,BATTERY_TYPE,CAPACITY,CHEMISTRY_TYPE,CONT_DISCHARGE_RATE,CORPUS,COST,DISCHARGE_PLUG,LENGTH,MODEL,MODEL_NAME,MODULE_MASS,MODULE_VOLUME,NUMBER_OF_CELLS,PACK_RESISTANCE,PEAK_DISCHARGE_RATE,THICKNESS,VOLTAGE,WEIGHT,WIDTH
28.0,Wing,20.0,,30.0,UAM,,,,,Avionic20AhLi,11.43,11300222.044672,,,50.0,,,,
28.0,Beam,20.0,,30.0,UAM,,,,,Avionic20AhLi_beam,11.43,11300222.044672,,,50.0,,,,
28.0,Cylinder,20.0,,30.0,UAM,,,,,Avionic20AhLi_cyl,11.43,11300222.044672,,,50.0,,,,
28.0,Wing,25.0,,35.0,UAM,,,,,Avionic25AhNi,25.5,13530263.008,,,55.0,,,,
28.0,Beam,25.0,,35.0,UAM,,,,,Avionic25AhNi_beam,25.5,13530263.008,,,55.0,,,,
28.0,Cylinder,25.0,,35.0,UAM,,,,,Avionic25AhNi_cyl,25.5,13530263.008,,,55.0,,,,
28.0,Wing,40.0,,21.3,UAM,,,,,Avionic40AhLi,20.32,20701909.047712006,,,36.0,,,,
28.0,Beam,40.0,,21.3,UAM,,,,,Avionic40AhLi_beam,20.32,20701909.047712006,,,36.0,,,,
28.0,Cylinder,40.0,,21.3,UAM,,,,,Avionic40AhLi_cyl,20.32,20701909.047712006,,,36.0,,,,
28.0,Wing,40.0,,25.0,UAM,,,,,Avionic40AhNi,36.42,16782563.45792,,,40.0,,,,
28.0,Beam,40.0,,25.0,UAM,,,,,Avionic40AhNi_beam,36.42,16782563.45792,,,40.0,,,,
28.0,Cylinder,40.0,,25.0,UAM,,,,,Avionic40AhNi_cyl,36.42,16782563.45792,,,40.0,,,,
28.0,Wing,55.0,,22.0,UAM,,,,,Avionic55AhNi,22.23,12905171.367025,,,30.0,,,,
28.0,Beam,55.0,,22.0,UAM,,,,,Avionic55AhNi_beam,22.23,12905171.367025,,,30.0,,,,
28.0,Cylinder,55.0,,22.0,UAM,,,,,Avionic55AhNi_cyl,22.23,12905171.367025,,,30.0,,,,
28.0,Wing,60.0,,18.4,UAM,,,,,Avionic60AhLi,30.43,24086034.408479996,,,25.0,,,,
28.0,Beam,60.0,,18.4,UAM,,,,,Avionic60AhLi_beam,30.43,24086034.408479996,,,25.0,,,,
28.0,Cylinder,60.0,,18.4,UAM,,,,,Avionic60AhLi_cyl,30.43,24086034.408479996,,,25.0,,,,
28.0,Wing,0.22,,10.3,UAM,,,,,Eagle022AhAg,1.0,453295.128,,,20.0,,,,
28.0,Beam,0.22,,10.3,UAM,,,,,Eagle022AhAg_beam,1.0,453295.128,,,20.0,,,,
