series_count,parallel_count,discharge_rate,single_length,single_width,single_thickness,single_voltage,single_capacity,single_weight,single_volume,single_current,total_voltage,total_capacity,total_weight,total_volume,total_current,name
1.0,1.0,10.0,0.207,0.091,0.065,22.8,25.0,2.577,0.001224405,250.0,22.8,25.0,2.577,0.001224405,250.0,Tattu10C25000mAh6S1PHV
1.0,2.0,10.0,0.207,0.091,0.065,22.8,25.0,2.577,0.001224405,250.0,22.8,50.0,5.154,0.00244881,500.0,Tattu10C25000mAh6S1PHV
1.0,1.0,10.0,0.216,0.125,0.061,22.8,32.0,3.494,0.001647,320.0,22.8,32.0,3.494,0.001647,320.0,Tattu10C32000mAh6S1PHV
1.0,2.0,10.0,0.216,0.125,0.061,22.8,32.0,3.494,0.001647,320.0,22.8,64.0,6.988,0.003294,640.0,Tattu10C32000mAh6S1PHV
1.0,1.0,10.0,0.258,0.123,0.062,22.8,40.0,4.08,0.001967508,400.0,22.8,40.0,4.08,0.001967508,400.0,Tattu10C40000mAh6S1PHV
1.0,2.0,10.0,0.258,0.123,0.062,22.8,40.0,4.08,0.001967508,400.0,22.8,80.0,8.16,0.003935016,800.0,Tattu10C40000mAh6S1PHV
1.0,1.0,15.0,0.18,0.074,0.044,14.8,16.0,1.241,0.00058608,240.0,14.8,16.0,1.241,0.00058608,240.0,Tattu15C16000mAh4S1P
1.0,2.0,15.0,0.18,0.074,0.044,14.8,16.0,1.241,0.00058608,240.0,14.8,32.0,2.482,0.00117216,480.0,Tattu15C16000mAh4S1P
1.0,1.0,15.0,0.195,0.078,0.0645,22.8,17.0,1.86,0.000981045,255.0,22.8,17.0,1.86,0.000981045,255.0,Tattu15C17000mAh6S1PHV
1.0,2.0,15.0,0.195,0.078,0.0645,22.8,17.0,1.86,0.000981045,255.0,22.8,34.0,3.72,0.00196209,510.0,Tattu15C17000mAh6S1PHV
1.0,1.0,25.0,0.169,0.065,0.039,14.8,10.0,0.94,0.000428415,250.0,14.8,10.0,0.94,0.000428415,250.0,Tattu25C10000mAh4S1P
1.0,1.0,25.0,0.176,0.065,0.056,22.8,11.0,1.35,0.00064064,275.0,22.8,11.0,1.35,0.00064064,275.0,Tattu25C11000mAh6S1PHV
1.0,1.0,25.0,0.195,0.091,0.043,14.8,22.0,1.673,0.000763035,550.0,14.8,22.0,1.673,0.000763035,550.0,Tattu25C22000mAh4S1P
1.0,2.0,25.0,0.195,0.091,0.043,14.8,22.0,1.673,0.000763035,550.0,14.8,44.0,3.346,0.00152607,1100.0,Tattu25C22000mAh4S1P
1.0,1.0,25.0,0.21,0.093,0.066,22.8,23.0,2.47,0.00128898,575.0,22.8,23.0,2.47,0.00128898,575.0,Tattu25C23000mAh6S1PHV
1.0,2.0,25.0,0.21,0.093,0.066,22.8,23.0,2.47,0.00128898,575.0,22.8,46.0,4.94,0.00257796,1150.0,Tattu25C23000mAh6S1PHV
1.0,1.0,25.0,0.279,0.236,0.091,51.8,25.0,9.54,0.005991804,625.0,51.8,25.0,9.54,0.005991804,625.0,Tattu25C25000mAh14S1P
1.0,2.0,25.0,0.279,0.236,0.091,51.8,25.0,9.54,0.005991804,625.0,51.8,50.0,19.08,0.011983608,1250.0,Tattu25C25000mAh14S1P
1.0,1.0,25.0,0.217,0.12,0.065,22.2,30.0,3.505,0.0016926,750.0,22.2,30.0,3.505,0.0016926,750.0,Tattu25C30000mAh6S1P
1.0,2.0,25.0,0.217,0.12,0.065,22.2,30.0,3.505,0.0016926,750.0,22.2,60.0,7.01,0.0033852,1500.0,Tattu25C30000mAh6S1P
1.0,1.0,25.0,0.138,0.042,0.065,22.2,7.0,0.87,0.00037674,175.0,22.2,7.0,0.87,0.00037674,175.0,Tattu25C7000mAh6S1P
1.0,2.0,25.0,0.138,0.042,0.065,22.2,7.0,0.87,0.00037674,175.0,22.2,14.0,1.74,0.00075348,350.0,Tattu25C7000mAh6S1P
1.0,1.0,25.0,0.168,0.065,0.051,22.2,8.0,1.16,0.00055692,200.0,22.2,8.0,1.16,0.00055692,200.0,Tattu25C8000mAh6S1P
