weight,propeller_diameter,propeller_rpm_max,propeller_rpm_min,propeller_j_max,motor_max_current,motor_max_power,voltage,hover_omega_rpm,hover_thrust,hover_power,hover_current,hover_torque,flying_speed,flying_omega_rpm,flying_thrust,flying_power,flying_current,flying_torque,flying_j,hover_thrust_per_weight,hover_power_per_weight,hover_thrust_per_power,flying_thrust_per_weight,flying_power_per_weight,flying_thrust_per_power,motor_name,propeller_name
1.3310908,0.4572,12000.0,1000.0,1.06,149.47368,7742.1055,51.8,5355.08,32.71,1894.85,36.58,3.07,30.0,5395.24,20.63,987.92,19.07,1.56,0.72971874,24.57383,1423.5317,0.01726258,15.498567,742.1883,0.020882258,kde_direct_KDE10218XF_105,apc_propellers_18x14
1.303059,0.5207,11000.0,1000.0,0.89,149.47368,7742.1055,51.8,5253.03,61.02,4198.97,81.06,6.91,30.0,5377.7,29.33,1384.08,26.72,2.22,0.6428185,46.828274,3222.3945,0.014532135,22.508575,1062.1776,0.021190971,kde_direct_KDE10218XF_105,apc_propellers_20_5x14E
1.3710974,0.508,11000.0,1000.0,0.87,149.47368,7742.1055,51.8,5300.37,48.93,3129.98,60.42,5.13,30.0,5394.37,21.29,1007.58,19.45,1.59,0.6568528,35.68674,2282.8281,0.015632687,15.527707,734.87115,0.021129835,kde_direct_KDE10218XF_105,apc_propellers_20x12
1.2780207,0.508,11000.0,1000.0,0.86,149.47368,7742.1055,51.8,5289.44,56.79,3376.77,65.19,5.54,30.0,5393.33,21.67,1031.2,19.91,1.63,0.65697944,44.435898,2642.187,0.016817847,16.955906,806.8726,0.021014351,kde_direct_KDE10218XF_105,apc_propellers_20x13E
1.3799878,0.508,11000.0,1000.0,0.97,149.47368,7742.1055,51.8,5267.91,49.28,3862.81,74.57,6.35,30.0,5374.7,30.39,1451.79,28.03,2.33,0.6592567,35.71046,2799.1624,0.012757552,22.021933,1052.031,0.020932779,kde_direct_KDE10218XF_105,apc_propellers_20x14
1.3310908,0.508,11000.0,1000.0,1.02,149.47368,7742.1055,51.8,5237.68,50.98,4545.49,87.75,7.49,30.0,5364.82,34.81,1674.85,32.33,2.7,0.66047084,38.299416,3414.8608,0.011215513,26.151484,1258.2538,0.020783952,kde_direct_KDE10218XF_105,apc_propellers_20x15C
1.2979335,0.508,11000.0,1000.0,0.96,149.47368,7742.1055,51.8,5245.68,57.36,4364.85,84.26,7.19,30.0,5372.08,31.55,1510.91,29.17,2.43,0.65957826,44.19333,3362.9229,0.013141345,24.307873,1164.089,0.020881455,kde_direct_KDE10218XF_105,apc_propellers_20x15E
1.310135,0.5334,11000.0,1000.0,0.82,149.47368,7742.1055,51.8,5263.65,67.81,3959.07,76.43,6.51,30.0,5385.32,25.52,1212.07,23.4,1.93,0.62662536,51.758026,3021.8794,0.01712776,19.478909,925.1489,0.02105489,kde_direct_KDE10218XF_105,apc_propellers_21x13E
1.3080031,0.5334,11000.0,1000.0,0.82,149.47368,7742.1055,51.8,5281.96,73.08,3545.64,68.45,5.82,30.0,5382.31,26.85,1280.01,24.71,2.04,0.62697583,55.871426,2710.7275,0.02061123,20.527473,978.5986,0.020976398,kde_direct_KDE10218XF_105,apc_propellers_21x13WE
1.3159863,0.5588,10000.0,1000.0,0.75,149.47368,7742.1055,51.8,5294.34,79.78,3266.24,63.05,5.35,30.0,5388.46,23.75,1141.18,22.03,1.81,0.5977939,60.623734,2481.9712,0.024425639,18.0473,867.1671,0.02081179,kde_direct_KDE10218XF_105,apc_propellers_22x12E
1.3379854,0.5588,8000.0,1000.0,0.75,149.47368,7742.1055,51.8,5321.33,93.37,2656.83,51.29,4.34,30.0,5378.74,28.3,1360.62,26.27,2.18,0.59887415,69.78402,1985.6943,0.035143387,21.151203,1016.91693,0.02079934,kde_direct_KDE10218XF_105,apc_propellers_22x12WE
1.3440181,0.6096,9000.0,1000.0,0.7,149.47368,7742.1055,51.8,5294.22,110.14,3268.94,63.11,5.36,30.0,5368.31,32.97,1596.09,30.81,2.57,0.5500345,81.948296,2432.214,0.033692878,24.530918,1187.5509,0.02065673,kde_direct_KDE10218XF_105,apc_propellers_24x12E
1.4031209,0.635,9000.0,1000.0,0.7,149.47368,7742.1055,51.8,5279.41,129.77,3603.14,69.56,5.92,30.0,5343.47,44.84,2156.8,41.64,3.5,0.5304878,92.48669,2567.9468,0.03601581,31.95733,1537.1448,0.02079006,kde_direct_KDE10218XF_105,apc_propellers_25x12_5E
1.3890142,0.6604,8000.0,1000.0,0.69,149.47368,7742.1055,51.8,5258.95,148.63,4065.23,78.48,6.69,30.0,5320.4,55.22,2677.77,51.69,4.37,0.5122962,107.00394,2926.7014,0.036561277,39.75481,1927.8203,0.020621637,kde_direct_KDE10218XF_105,apc_propellers_26x13E
1.3940037,0.6604,7000.0,1000.0,0.78,149.47368,7742.1055,44.4,4472.29,110.34,3671.41,82.69,7.05,30.0,4562.82,40.69,1919.46,43.23,3.64,0.5973545,79.153305,2633.716,0.030053848,29.189304,1376.9403,0.021198671,kde_direct_KDE10218XF_105,apc_propellers_26x15E
1.3940037,0.6604,7000.0,1000.0,0.78,149.47368,7742.1055,51.8,5245.68,150.15,4364.85,84.26,7.19,30.0,5267.67,77.84,3868.35,74.68,6.36,0.51742435,107.711334,3131.161,0.034399807,55.83916,2774.9924,0.020122275,kde_direct_KDE10218XF_105,apc_propellers_26x15E
1.4120113,0.6858,8000.0,1000.0,0.68,149.47368,7742.1055,51.8,5226.86,170.33,4789.65,92.46,7.89,30.0,5298.69,64.77,3167.83,61.16,5.19,0.49534354,120.62935,3392.0762,0.035562098,45.87074,2243.4878,0.020446174,kde_direct_KDE10218XF_105,apc_propellers_27x13E
2.2710907,0.4572,12000.0,1000.0,1.06,157.89473,9615.789,51.8,5399.75,33.31,1567.77,30.27,3.18,30.0,5417.41,20.96,862.45,16.65,1.58,0.7267325,14.666961,690.31586,0.021246739,9.229045,379.75143,0.024302859,kde_direct_KDE13218XF_105,apc_propellers_18x14
2.243059,0.5207,11000.0,1000.0,0.89,157.89473,9615.789,51.8,5356.19,63.39,3307.8,63.86,7.14,30.0,5409.87,30.02,1163.52,22.46,2.26,0.63899595,28.260515,1474.6826,0.019163795,13.383509,518.7202,0.025801018,kde_direct_KDE13218XF_105,apc_propellers_20_5x14E
2.3110974,0.508,11000.0,1000.0,0.87,157.89473,9615.789,51.8,5375.38,50.42,2541.21,49.06,5.39,30.0,5416.97,21.74,879.9,16.99,1.62,0.6541124,21.816475,1099.5685,0.019840943,9.406786,380.7282,0.024707353,kde_direct_KDE13218XF_105,apc_propellers_20x12
2.218021,0.508,11000.0,1000.0,0.86,157.89473,9615.789,51.8,5371.79,58.58,2684.66,51.83,5.72,30.0,5416.51,22.16,898.56,17.35,1.66,0.65416795,26.410934,1210.3854,0.021820268,9.99089,405.11792,0.02466168,kde_direct_KDE13218XF_105,apc_propellers_20x13E
2.3199878,0.508,11000.0,1000.0,0.97,157.89473,9615.789,51.8,5360.23,51.18,3146.43,60.74,6.77,30.0,5408.56,31.21,1215.97,23.47,2.38,0.6551295,22.060461,1356.2269,0.016266054,13.452657,524.12775,0.025666751,kde_direct_KDE13218XF_105,apc_propellers_20x14
2.2710907,0.508,11000.0,1000.0,1.02,157.89473,9615.789,51.8,5346.04,53.32,3713.29,71.69,8.06,30.0,5404.35,35.74,1384.12,26.72,2.76,0.6556398,23.477705,1635.0249,0.014359234,15.736931,609.4516,0.02582146,kde_direct_KDE13218XF_105,apc_propellers_20x15C
2.2379334,0.508,11000.0,1000.0,0.96,157.89473,9615.789,51.8,5352.32,59.71,3462.61,66.85,7.49,30.0,5407.42,32.43,1261.65,24.36,2.48,0.6552676,26.680866,1547.2355,0.017244218,14.491048,563.7567,0.025704434,kde_direct_KDE13218XF_105,apc_propellers_20x15E
2.2671447,0.5334,11000.0,1000.0,0.77,157.89473,9615.789,51.8,5380.7,74.58,2328.94,44.96,4.91,30.0,5417.1,21.24,874.63,16.88,1.6,0.6229492,32.896004,1027.257,0.03202315,9.368613,385.78482,0.024284555,kde_direct_KDE13218XF_105,apc_propellers_21x12WE
2.250135,0.5334,11000.0,1000.0,0.82,157.89473,9615.789,51.8,5362.25,70.22,3065.8,59.19,6.59,30.0,5412.99,26.3,1039.0,20.06,1.98,0.6234222,31.207016,1362.4961,0.0229043,11.688188,461.7501,0.0253128,kde_direct_KDE13218XF_105,apc_propellers_21x13E
2.248003,0.5334,11000.0,1000.0,0.82,157.89473,9615.789,51.8,5370.46,75.39,2737.93,52.86,5.84,30.0,5411.75,27.59,1088.65,21.02,2.09,0.6235651,33.53643,1217.9387,0.027535401,12.273115,484.27423,0.025343316,kde_direct_KDE13218XF_105,apc_propellers_21x13WE
