Category,Style,Name,Manufacturer,Cost ($),(A) Length [mm],(B) Width [mm],(C) Thickness [mm],Volume [mm^3],Weight [kg],Density [kg/mm^3],Min Voltage [V],Max Voltage [V],Power [Wh],Power Density [Wh/kg],Number of Series Cells,Chemistry Type,Capacity [Ah],Capacity Density [Ah/kg],Peak Discharge Rate [C],Cont. Discharge Rate [C],Performance File,Buy Link,CAD File,Manf CAD,Image File,Product Description
Battery,P,Tattu 22Ah Li,Tattu,,279,236,91,5991804,8.74,1.45866E-06,51.8,828.8,1139.6,130.389016,14,LiPo,22,2.517162471,50,25,,https://www.genstattu.com/tattu-plus-3-0-22000mah-51-8v-25c-14s1p-lipo-smart-battery-pack-with-molex-plug/ ,,,Tattu 22Ah Li.jpg,LiPo
Battery,P,Tattu 25Ah Li,Tattu,,279,236,91,5991804,9.54,1.59217E-06,51.8,828.8,1295,135.7442348,14,LiPo,25,2.620545073,50,25,,https://www.genstattu.com/tattu-plus-3.0-25000mah-51-8v-14s1p-25c-lipo-smart-battery-pack-with-molex-plug/ ,,,Tattu 25Ah Li.jpg,LiPo
Battery,P,Tattu 19Ah Li,Tattu,,279,236,91,5991804,7.86,1.31179E-06,51.8,828.8,984.2,125.216285,14,LiPo,19,2.417302799,50,25,,https://www.genstattu.com/tattu-plus-3-0-19000mah-51-8v-25c-14s1p-lipo-smart-battery-pack-with-molex-plug/ ,,,Tattu 19Ah Li.jpg,LiPo
Battery,P,Avionic 20 Ah Li,Avionic Instruments,,231.44,218.44,223.52,11300222.04,11.43,1.01148E-06,28,812,560,48.99387577,9,LiFePO,20,1.749781277,50,30,,https://www.avionicinstruments.com/products/348bs101-1 ,,,Avionic 20 Ah Li.jpg,LiFePO
Battery,P,Avionic 40 Ah Li,Avionic Instruments,,299.72,269.24,256.54,20701909.05,20.32,9.81552E-07,28,812,1120,55.11811024,9,LiFePO,40,1.968503937,36,21.3,,https://www.avionicinstruments.com/products/358bs101-1 ,,,Avionic 40 Ah Li.jpg,LiFePO
Battery,P,Avionic 60 Ah Li,Avionic Instruments,,259.08,279.4,332.74,24086034.41,30.43,1.26339E-06,28,812,1680,55.20867565,9,LiFePO,60,1.971738416,25,18.4,,https://www.avionicinstruments.com/products/356bs101-1,,,Avionic 60 Ah Li.jpg,LiFePO
Battery,P,Avionic 40 Ah Ni,Avionic Instruments,,264.16,256.28,247.9,16782563.46,36.42,2.17011E-06,28,812,1120,30.75233388,24,NiCd,40,1.098297639,40,25,,https://www.avionicinstruments.com/products/400ba101 ,,,Avionic 40 Ah Ni.jpg,NiCd
Battery,P,Avionic 25 Ah Ni,Avionic Instruments,,254,247.9,214.88,13530263.01,25.5,1.88466E-06,28,812,700,27.45098039,24,NiCd,25,0.980392157,55,35,,https://www.avionicinstruments.com/products/401ba101 ,,,Avionic 25 Ah Ni.jpg,NiCd
Battery,P,Avionic 55Ah Ni,Avionic Instruments,,311.15,176.53,234.95,12905171.37,22.23,1.72257E-06,28,812,1540,69.27575349,24,NiCd,55,2.474134053,30,22,,https://www.avionicinstruments.com/products/260ba101 ,,,Avionic 55Ah Ni.jpg,NiCd
Battery,P,Eagle 200 Ah Li,Eagle Pitcher,,749,269,264,53190984,63.5,1.19381E-06,33.3,832.5,6660,104.8818898,9,LiIon,200,3.149606299,2,0.77,,https://www.eaglepicher.com/sites/default/files/SAR-10197%201121.pdf ,,,Eagle 200 Ah Li.jpg,LiIon
