NAME,SERIES_COUNT,PAR_COUNT,VOLUME,WEIGHT,POWER
Tattu 22Ah Li,1,1,5991804.0,8.74,1295.0
Tattu 22Ah Li,1,2,11983608.0,17.48,2590.0
Tattu 22Ah Li,1,3,17975412.0,26.22,3885.0
Tattu 22Ah Li,1,4,23967216.0,34.96,5180.0
Tattu 22Ah Li,1,5,29959020.0,43.7,6475.0
Tattu 22Ah Li,1,6,35950824.0,52.44,7770.0
Tattu 22Ah Li,1,7,41942628.0,61.18,9065.0
Tattu 22Ah Li,1,8,47934432.0,69.92,10360.0
Tattu 22Ah Li,1,9,53926236.0,78.66,11655.0
Tattu 22Ah Li,2,1,11983608.0,17.48,2590.0
Tattu 22Ah Li,2,2,23967216.0,34.96,5180.0
Tattu 22Ah Li,2,3,35950824.0,52.44,7770.0
Tattu 22Ah Li,2,4,47934432.0,69.92,10360.0
Tattu 22Ah Li,2,5,59918040.0,87.4,12950.0
Tattu 22Ah Li,2,6,71901648.0,104.88,15540.0
Tattu 22Ah Li,2,7,83885256.0,122.36,18130.0
Tattu 22Ah Li,2,8,95868864.0,139.84,20720.0
Tattu 22Ah Li,2,9,107852472.0,157.32,23310.0
Tattu 22Ah Li,3,1,17975412.0,26.22,3884.9999999999995
Tattu 22Ah Li,3,2,35950824.0,52.44,7769.999999999999
Tattu 22Ah Li,3,3,53926236.0,78.66,11654.999999999998
Tattu 22Ah Li,3,4,71901648.0,104.88,15539.999999999998
Tattu 22Ah Li,3,5,89877060.0,131.1,19424.999999999996
Tattu 22Ah Li,3,6,107852472.0,157.32,23309.999999999996
Tattu 22Ah Li,3,7,125827884.0,183.54,27194.999999999996
Tattu 22Ah Li,3,8,143803296.0,209.76,31079.999999999996
Tattu 22Ah Li,3,9,161778708.0,235.98,34964.99999999999
Tattu 22Ah Li,4,1,23967216.0,34.96,5180.0
Tattu 22Ah Li,4,2,47934432.0,69.92,10360.0
Tattu 22Ah Li,4,3,71901648.0,104.88,15540.0
Tattu 22Ah Li,4,4,95868864.0,139.84,20720.0
Tattu 22Ah Li,4,5,119836080.0,174.8,25900.0
Tattu 22Ah Li,4,6,143803296.0,209.76,31080.0
Tattu 22Ah Li,4,7,167770512.0,244.72,36260.0
Tattu 22Ah Li,4,8,191737728.0,279.68,41440.0
Tattu 22Ah Li,4,9,215704944.0,314.64,46620.0
Tattu 22Ah Li,5,1,29959020.0,43.7,6475.0
Tattu 22Ah Li,5,2,59918040.0,87.4,12950.0
Tattu 22Ah Li,5,3,89877060.0,131.10000000000002,19425.0
Tattu 22Ah Li,5,4,119836080.0,174.8,25900.0
Tattu 22Ah Li,5,5,149795100.0,218.5,32375.0
Tattu 22Ah Li,5,6,179754120.0,262.20000000000005,38850.0
Tattu 22Ah Li,5,7,209713140.0,305.90000000000003,45325.0
Tattu 22Ah Li,5,8,239672160.0,349.6,51800.0
Tattu 22Ah Li,5,9,269631180.0,393.3,58275.0
Tattu 22Ah Li,6,1,35950824.0,52.44,7769.999999999999
Tattu 22Ah Li,6,2,71901648.0,104.88,15539.999999999998
Tattu 22Ah Li,6,3,107852472.0,157.32,23309.999999999996
Tattu 22Ah Li,6,4,143803296.0,209.76,31079.999999999996
Tattu 22Ah Li,6,5,179754120.0,262.2,38849.99999999999
Tattu 22Ah Li,6,6,215704944.0,314.64,46619.99999999999
Tattu 22Ah Li,6,7,251655768.0,367.08,54389.99999999999
