Category,Style,Name,Manufacturer,Cost ($),Cost Adapter ($),(A) Shaft Diameter [mm],(B) Length [mm],(C) Can Diameter [mm],(D) Can Length [mm],(E) Total Length [mm],Adapter Length [mm],Adapter Diameter [mm],Weight [grams],Rotational Moment of Inertia [g*mm^2],Shaft,Case top,Case,KV [RPM/V],KT [Nm/A],KM [Nm/sqrt(W)],Max Current [A],Max Power [W],Peak Current [A],Peak Power [W],Internal Resistance [mOhm],Io Idle Current@10V [A],Poles,ESC PWM Rate Min [kHz],ESC PWM Rate Max [kHz],ESC Rate [Hz],Motor Timing Min [deg.],Motor Timing Max [deg.],Min # of Cells,Max # of Cells,Prop Size Rec. [in],Prop Pitch Rec. [in],ESC/BEC Class,Performance File,Buy Link,CAD File,Manf CAD,Image File,Product Description
Motor,D,KDE5215XF-435,KDE Direct,201.95,19.95,4,41,60,15,53.3,20,"6,8",360,11292.86391,3.657040043,11288.88123,0.325640805,435,0.022,0.124951604,72,1595,,,31,1.4,24S22P,16,32,600,22,30,4,8,"16,24","4,20",1,KDE_Direct_XF_CF_Brushless_Performance_Testing_KDE5215XF-435.pdf,https://www.kdedirect.com/collections/uas-multi-rotor-brushless-motors/products/kde5215xf-435,para_motor.prt,KDE5215XF-SERIES.STEP,KDE5215XF-435.jpg,
Motor,D,KDE5215XF-330,KDE Direct,201.95,19.95,4,41,60,15,53.3,20,"6,8",360,11292.86391,3.657040043,11288.88123,0.325640805,330,0.0289,0.137775344,62,1835,,,44,0.7,24S22P,16,32,600,22,30,4,8,"16,24","4,20",1,KDE_Direct_XF_CF_Brushless_Performance_Testing_KDE5215XF-330.pdf,https://www.kdedirect.com/collections/uas-multi-rotor-brushless-motors/products/kde5215xf-330 ,para_motor.prt,KDE5215XF-SERIES.STEP,KDE5215XF-330.jpg,
Motor,D,KDE5215XF-220,KDE Direct,205.95,19.95,4,41,60,15,53.3,20,"6,8",361,11292.86391,3.657040043,11288.88123,0.325640805,220,0.0434,0.155396928,44,1955,,,78,0.5,24S28P,16,32,600,22,30,6,12,"18,26","4,20",1,KDE_Direct_XF_CF_Brushless_Performance_Testing_KDE5215XF-220.pdf,https://www.kdedirect.com/collections/uas-multi-rotor-brushless-motors/products/kde5215xf-220 ,para_motor.prt,KDE5215XF-SERIES.STEP,KDE5215XF-220.jpg,
Motor,D,KDE6213XF-185,KDE Direct,264.95,22.95,4,39,70,13,53.3,20,"6,10",415,20917.98543,3.657040043,20914.04617,0.282222031,185,0.0516,0.192301846,50,2755,,,72,0.6,24S28P,16,32,600,22,30,6,12,"18,28","6,24",1,KDE_Direct_XF_CF_Brushless_Performance_Testing_KDE6213XF-185.pdf,https://www.kdedirect.com/collections/uas-multi-rotor-brushless-motors/products/kde6213xf-185 ,para_motor.prt,KDE6213XF-185KV.STEP,KDE6213XF-185.jpg,
Motor,D,KDE6815XF-205,KDE Direct,350.95,22.95,4,44.5,77.2,15,56.8,20,"6,10",630,30943.85197,3.897183386,30939.62914,0.325640805,205,0.047,0.214524668,57,3000,,,48,1.9,24S20P,16,32,600,22,30,6,12,"18,28","6,26",1,KDE_Direct_XF_Brushless_Performance_Testing_KDE6815XF-205.pdf,https://www.kdedirect.com/collections/uas-multi-rotor-brushless-motors/products/kde6815xf-205 ,para_motor.prt,KDE6815-205KV.STEP,KDE6815XF-205.jpg,
Motor,D,KDE7208XF-135,KDE Direct,360.95,22.95,10,42.5,79.5,8,56.8,20,"8,10",445,34947.21321,152.233726,34794.80581,0.173675096,135,0.0707,0.210319815,58,2145,,,113,0.4,24S28P,16,32,600,22,30,6,12,"20,32","8,28",1,KDE_Direct_XF_CF_Brushless_Performance_Testing_KDE7208XF-135.pdf,https://www.kdedirect.com/collections/uas-multi-rotor-brushless-motors/products/kde7208xf-135 ,para_motor.prt,KDE7208XF-SERIES.STEP,KDE7208XF-135.jpg,
Motor,D,KDE7215XF-135,KDE Direct,383.95,24.95,10,49.5,79.5,15,66.3,20,10,640,34972.8268,177.6953527,34794.80581,0.325640805,135,0.0707,0.259898369,85,4405,,,74,0.5,24S22P,16,32,600,22,30,6,14,"20,32","10,30",1,KDE_Direct_XF_CF_Brushless_Performance_Testing_KDE7215XF-135.pdf,https://www.kdedirect.com/collections/uas-multi-rotor-brushless-motors/products/kde7215xf-135 ,para_motor.prt,KDE7215XF-135KV.STEP,KDE7215XF-135.jpg,
Motor,D,KDE8218XF-120,KDE Direct,615.95,0,10,62,88.5,18,71.5,20,10,845,53626.18284,191.6322431,53434.15983,0.390768966,120,0.0796,0.388408229,110,5695,,,42,0.8,24S28P,16,32,600,22,30,6,14,"22,34","10,30",1,KDE_Direct_XF_CF_Brushless_Performance_Testing_KDE8218XF-120.pdf,https://www.kdedirect.com/collections/uas-multi-rotor-brushless-motors/products/kde8218xf-120 ,para_motor.prt,KDE8218XF-120KV.STEP,KDE8218XF-120.jpg,
Motor,D,KDE10218XF-105,KDE Direct,842.95,0,10,65.2,108.6,18,74.7,20,10,1180,121362.2564,200.2087911,121161.6568,0.390768966,105,0.0909,0.59937685,142,7355,,,23,1,24S28P,16,32,600,22,30,6,14,"22,38","10,30",1,KDE_Direct_XF_CF_Brushless_Performance_Testing_KDE10218XF-105.pdf,https://www.kdedirect.com/collections/uas-multi-rotor-brushless-motors/products/kde10218xf-105 ,para_motor.prt,KDE10218XF-105KV.STEP,KDE10218XF-105.jpg,
Motor,D,KDE13218XF-105,KDE Direct,1325.95,0,10,65.2,150.2,18,74.7,20,10,2120,443529.0808,200.2087911,443328.4813,0.390768966,105,0.124,1.087551944,150,9135,,,13,3.1,36S42P,16,32,600,22,30,6,14,"22,40","10,30",1,KDE_Direct_XF_CF_Brushless-Performance-Testing_KDE13218XF-105.pdf,https://www.kdedirect.com/collections/uas-multi-rotor-brushless-motors/products/kde13218xf-105 ,para_motor.prt,KDE13218XF-105.STEP,KDE13218XF-105.jpg,
