Category,Style,Name,Manufacturer,Cost,Hub_Diameter_in,Hub_Diameter_mm,Hub_Thickness_in,Hub_Thickness_mm,Shaft_Diameter_in,Shaft_Diameter_mm,Diameter_in,Diameter_mm,Pitch_in,Pitch_mm,Weight_lbm,Weight_g,Performance_File,Buy_link,CAD_File,Image_File,Product_Des,Num_Blades,RPM Min,RPM Max
Propeller,D,27x10_2_2000_51_80,SwRI,0,4.05,102.87,2.025,51.435,1.850393701,47,27,685.8,10,254,0.3791954,172,27x10_2_2000_51_80.dat, ,para_prop.prt,SwRI_Prop.jpg,Custom Propeller,2,1000.0,3000.0
Propeller,D,27x10_3_2000_51_80,SwRI,0,4.05,102.87,2.025,51.435,1.850393701,47,27,685.8,10,254,0.480608124,218,27x10_3_2000_51_80.dat, ,para_prop.prt,SwRI_Prop.jpg,Custom Propeller,3,1000.0,3000.0
Propeller,D,27x10_4_2000_51_80,SwRI,0,4.05,102.87,2.025,51.435,1.850393701,47,27,685.8,10,254,0.584225471,265,27x10_4_2000_51_80.dat, ,para_prop.prt,SwRI_Prop.jpg,Custom Propeller,4,1000.0,3000.0
Propeller,D,27x10_5_2000_51_90,SwRI,0,4.05,102.87,2.025,51.435,1.850393701,47,27,685.8,10,254,0.707684439,321,27x10_5_2000_51_90.dat, ,para_prop.prt,SwRI_Prop.jpg,Custom Propeller,5,1000.0,3000.0
Propeller,D,27x10_6_2000_51_90,SwRI,0,4.05,102.87,2.025,51.435,1.850393701,47,27,685.8,10,254,0.811301787,368,27x10_6_2000_51_90.dat, ,para_prop.prt,SwRI_Prop.jpg,Custom Propeller,6,1000.0,3000.0
Propeller,D,27x11_2_1800_51_70,SwRI,0,4.05,102.87,2.025,51.435,1.850393701,47,27,685.8,11,279.4,0.416674015,189,27x11_2_1800_51_70.dat, ,para_prop.prt,SwRI_Prop.jpg,Custom Propeller,2,900.0,2700.0
Propeller,D,27x11_3_1800_51_70,SwRI,0,4.05,102.87,2.025,51.435,1.850393701,47,27,685.8,11,279.4,0.518086739,235,27x11_3_1800_51_70.dat, ,para_prop.prt,SwRI_Prop.jpg,Custom Propeller,3,900.0,2700.0
Propeller,D,27x11_4_1800_51_70,SwRI,0,4.05,102.87,2.025,51.435,1.850393701,47,27,685.8,11,279.4,0.619499462,281,27x11_4_1800_51_70.dat, ,para_prop.prt,SwRI_Prop.jpg,Custom Propeller,4,900.0,2700.0
Propeller,D,27x11_5_1800_51_70,SwRI,0,4.05,102.87,2.025,51.435,1.850393701,47,27,685.8,11,279.4,0.72311681,328,27x11_5_1800_51_70.dat, ,para_prop.prt,SwRI_Prop.jpg,Custom Propeller,5,900.0,2700.0
Propeller,D,27x11_6_1800_51_80,SwRI,0,4.05,102.87,2.025,51.435,1.850393701,47,27,685.8,11,279.4,0.857598899,389,27x11_6_1800_51_80.dat, ,para_prop.prt,SwRI_Prop.jpg,Custom Propeller,6,900.0,2700.0
Propeller,D,27x12_2_1600_51_50,SwRI,0,4.05,102.87,2.025,51.435,1.850393701,47,27,685.8,12,304.8,0.381400025,173,27x12_2_1600_51_50.dat, ,para_prop.prt,SwRI_Prop.jpg,Custom Propeller,2,800.0,2400.0
