Category,Style,Name,Manufacturer,Cost (in^3/$),Cost (mm^3/$),Chord [in],Chord [mm],Span [in],Span [mm],Hole Diameter [in],Hole Diameter [mm],Hole Offset [in],Hole Offset [mm],Density [lbm/in^3],Density [grams/mm^3],Servo Length [mm],Servo Width [mm],CL Max,AoA @ CL Max [deg.],AoA @ L0 [deg.],dCl/dAoA Slope [1/deg.],CD0 Min,CL Max / CD0 Min,CM0,CD Min,(L/D) Max,CL @ (L/D) Max,Performance File,Buy Link,CAD File,Image File,Product Description
Aero,P,NACA 0006,NACA,43.42439489,711598.3383,"1,24","25.4,609.6","3,60","76.2,1524","0.288,0.4,0.506","7.315,10.16,12.852","0,span/2","0,span/2",0.001011564,2.80E-05,,,0.88,13,-0.1,0.102,0.0065,135,-0.002,0.0065,23.8,0.31,,http://www.rcfoam.com/depron-and-epp-foam-suppliers/6mm-depron/6mm-white-depron-aero-%2820-sheets%29-30%22-x-48%22-p-1012.html,naca_wing,Wing.jpg,Rectangular wing with NACA 4 series airfoil
Aero,P,NACA 0009,NACA,43.42439489,711598.3383,"1,24","25.4,609.6","3,60","76.2,1524","0.288,0.4,0.506","7.315,10.16,12.852","0,span/2","0,span/2",0.001011564,2.80E-05,,,1.27,14,0,0.101,0.0074,172,-0.003,0.0074,22.9,0.36,,http://www.rcfoam.com/depron-and-epp-foam-suppliers/6mm-depron/6mm-white-depron-aero-%2820-sheets%29-30%22-x-48%22-p-1012.html,naca_wing,Wing.jpg,Rectangular wing with NACA 4 series airfoil
Aero,P,NACA 0012,NACA,43.42439489,711598.3383,"1,24","25.4,609.6","3,60","76.2,1524","0.288,0.4,0.506","7.315,10.16,12.852","0,span/2","0,span/2",0.001011564,2.80E-05,,,1.53,17,0,0.101,0.0083,184,-0.002,0.0083,22.2,0.37,,http://www.rcfoam.com/depron-and-epp-foam-suppliers/6mm-depron/6mm-white-depron-aero-%2820-sheets%29-30%22-x-48%22-p-1012.html,naca_wing,Wing.jpg,Rectangular wing with NACA 4 series airfoil
Aero,P,NACA 0015,NACA,43.42439489,711598.3383,"1,24","25.4,609.6","3,60","76.2,1524","0.288,0.4,0.506","7.315,10.16,12.852","0,span/2","0,span/2",0.001011564,2.80E-05,,,1.53,17,0,0.1,0.0093,164,0,0.0093,21.2,0.4,,http://www.rcfoam.com/depron-and-epp-foam-suppliers/6mm-depron/6mm-white-depron-aero-%2820-sheets%29-30%22-x-48%22-p-1012.html,naca_wing,Wing.jpg,Rectangular wing with NACA 4 series airfoil
Aero,P,NACA 0018,NACA,43.42439489,711598.3383,"1,24","25.4,609.6","3,60","76.2,1524","0.288,0.4,0.506","7.315,10.16,12.852","0,span/2","0,span/2",0.001011564,2.80E-05,,,1.49,17,0,0.098,0.0108,138,-0.002,0.0108,19.8,0.4,,http://www.rcfoam.com/depron-and-epp-foam-suppliers/6mm-depron/6mm-white-depron-aero-%2820-sheets%29-30%22-x-48%22-p-1012.html,naca_wing,Wing.jpg,Rectangular wing with NACA 4 series airfoil
Aero,P,NACA 0021,NACA,43.42439489,711598.3383,"1,24","25.4,609.6","3,60","76.2,1524","0.288,0.4,0.506","7.315,10.16,12.852","0,span/2","0,span/2",0.001011564,2.80E-05,,,1.38,17,-0.1,0.094,0.012,115,-0.001,0.012,18.5,0.44,,http://www.rcfoam.com/depron-and-epp-foam-suppliers/6mm-depron/6mm-white-depron-aero-%2820-sheets%29-30%22-x-48%22-p-1012.html,naca_wing,Wing.jpg,Rectangular wing with NACA 4 series airfoil
Aero,P,NACA 0025,NACA,43.42439489,711598.3383,"1,24","25.4,609.6","3,60","76.2,1524","0.288,0.4,0.506","7.315,10.16,12.852","0,span/2","0,span/2",0.001011564,2.80E-05,,,1.2,16,0,0.089,0.0143,84,-0.003,0.0143,16.5,0.47,,http://www.rcfoam.com/depron-and-epp-foam-suppliers/6mm-depron/6mm-white-depron-aero-%2820-sheets%29-30%22-x-48%22-p-1012.html,naca_wing,Wing.jpg,Rectangular wing with NACA 4 series airfoil
Aero,P,NACA 2212,NACA,43.42439489,711598.3383,"1,24","25.4,609.6","3,60","76.2,1524","0.288,0.4,0.506","7.315,10.16,12.852","0,span/2","0,span/2",0.001011564,2.80E-05,,,1.6,16,-1.8,0.103,0.0087,184,-0.029,0.0088,22.4,0.4,,http://www.rcfoam.com/depron-and-epp-foam-suppliers/6mm-depron/6mm-white-depron-aero-%2820-sheets%29-30%22-x-48%22-p-1012.html,naca_wing,Wing.jpg,Rectangular wing with NACA 4 series airfoil
Aero,P,NACA 2306,NACA,43.42439489,711598.3383,"1,24","25.4,609.6","3,60","76.2,1524","0.288,0.4,0.506","7.315,10.16,12.852","0,span/2","0,span/2",0.001011564,2.80E-05,,,1.04,11,-1.8,0.104,0.0073,142,-0.036,0.0075,23.9,0.33,,http://www.rcfoam.com/depron-and-epp-foam-suppliers/6mm-depron/6mm-white-depron-aero-%2820-sheets%29-30%22-x-48%22-p-1012.html,naca_wing,Wing.jpg,Rectangular wing with NACA 4 series airfoil
Aero,P,NACA 2309,NACA,43.42439489,711598.3383,"1,24","25.4,609.6","3,60","76.2,1524","0.288,0.4,0.506","7.315,10.16,12.852","0,span/2","0,span/2",0.001011564,2.80E-05,,,1.51,15,-2,0.103,0.0083,182,-0.036,0.0085,22.9,0.39,,http://www.rcfoam.com/depron-and-epp-foam-suppliers/6mm-depron/6mm-white-depron-aero-%2820-sheets%29-30%22-x-48%22-p-1012.html,naca_wing,Wing.jpg,Rectangular wing with NACA 4 series airfoil
