BATTERY_VOLUME,BATTERY_WEIGHT,BATTERY_CAPACITY,BATTERY_CONT_DISCHARGE_RATE,SERIES_COUNT,PAR_COUNT,TOTAL_VOLUME,TOTAL_WEIGHT,TOTAL_ENERGY,TOTAL_VOLTAGE,TOTAL_CAPACITY,TOTAL_MAX_CURRENT,NAME
8.75e-05,0.004,1.0,25.0,64.0,141.0,0.7896,36.096,100166.4,710.4,141.0,3525.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,142.0,0.7952,36.352,100876.8,710.4,142.0,3550.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,143.0,0.8008,36.608,101587.2,710.4,143.0,3575.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,144.0,0.8064,36.864,102297.6,710.4,144.0,3600.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,145.0,0.812,37.12,103008.0,710.4,145.0,3625.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,146.0,0.8176,37.376,103718.4,710.4,146.0,3650.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,147.0,0.8232,37.632,104428.8,710.4,147.0,3675.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,148.0,0.8288,37.888,105139.2,710.4,148.0,3700.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,149.0,0.8344,38.144,105849.6,710.4,149.0,3725.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,150.0,0.84,38.4,106560.0,710.4,150.0,3750.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,151.0,0.8456,38.656,107270.4,710.4,151.0,3775.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,152.0,0.8512,38.912,107980.8,710.4,152.0,3800.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,153.0,0.8568,39.168,108691.2,710.4,153.0,3825.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,154.0,0.8624,39.424,109401.6,710.4,154.0,3850.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,155.0,0.868,39.68,110112.0,710.4,155.0,3875.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,156.0,0.8736,39.936,110822.4,710.4,156.0,3900.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,157.0,0.8792,40.192,111532.8,710.4,157.0,3925.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,158.0,0.8848,40.448,112243.2,710.4,158.0,3950.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,159.0,0.8904,40.704,112953.6,710.4,159.0,3975.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,160.0,0.896,40.96,113664.0,710.4,160.0,4000.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,161.0,0.9016,41.216,114374.4,710.4,161.0,4025.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,162.0,0.9072,41.472,115084.8,710.4,162.0,4050.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,163.0,0.9128,41.728,115795.2,710.4,163.0,4075.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,164.0,0.9184,41.984,116505.6,710.4,164.0,4100.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,165.0,0.924,42.24,117216.0,710.4,165.0,4125.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,166.0,0.9296,42.496,117926.4,710.4,166.0,4150.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,167.0,0.9352,42.752,118636.8,710.4,167.0,4175.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,168.0,0.9408,43.008,119347.2,710.4,168.0,4200.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,169.0,0.9464,43.264,120057.6,710.4,169.0,4225.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,170.0,0.952,43.52,120768.0,710.4,170.0,4250.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,171.0,0.9576,43.776,121478.4,710.4,171.0,4275.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,172.0,0.9632,44.032,122188.8,710.4,172.0,4300.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,173.0,0.9688,44.288,122899.2,710.4,173.0,4325.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,174.0,0.9744,44.544,123609.6,710.4,174.0,4350.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,175.0,0.98,44.8,124320.0,710.4,175.0,4375.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,176.0,0.9856,45.056,125030.4,710.4,176.0,4400.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,177.0,0.9912,45.312,125740.8,710.4,177.0,4425.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,178.0,0.9968,45.568,126451.2,710.4,178.0,4450.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,179.0,1.0024,45.824,127161.6,710.4,179.0,4475.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,180.0,1.008,46.08,127872.0,710.4,180.0,4500.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,181.0,1.0136,46.336,128582.4,710.4,181.0,4525.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,182.0,1.0192,46.592,129292.8,710.4,182.0,4550.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,183.0,1.0248,46.848,130003.2,710.4,183.0,4575.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,184.0,1.0304,47.104,130713.6,710.4,184.0,4600.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,185.0,1.036,47.36,131424.0,710.4,185.0,4625.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,186.0,1.0416,47.616,132134.4,710.4,186.0,4650.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,187.0,1.0472,47.872,132844.8,710.4,187.0,4675.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,188.0,1.0528,48.128,133555.2,710.4,188.0,4700.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,189.0,1.0584,48.384,134265.6,710.4,189.0,4725.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,190.0,1.064,48.64,134976.0,710.4,190.0,4750.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,191.0,1.0696,48.896,135686.4,710.4,191.0,4775.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,192.0,1.0752,49.152,136396.8,710.4,192.0,4800.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,193.0,1.0808,49.408,137107.2,710.4,193.0,4825.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,194.0,1.0864,49.664,137817.6,710.4,194.0,4850.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,195.0,1.092,49.92,138528.0,710.4,195.0,4875.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,196.0,1.0976,50.176,139238.4,710.4,196.0,4900.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,197.0,1.1032,50.432,139948.8,710.4,197.0,4925.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,198.0,1.1088,50.688,140659.2,710.4,198.0,4950.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,199.0,1.1144,50.944,141369.6,710.4,199.0,4975.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,200.0,1.12,51.2,142080.0,710.4,200.0,5000.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,201.0,1.1256,51.456,142790.4,710.4,201.0,5025.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,202.0,1.1312,51.712,143500.8,710.4,202.0,5050.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,203.0,1.1368,51.968,144211.2,710.4,203.0,5075.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,204.0,1.1424,52.224,144921.6,710.4,204.0,5100.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,205.0,1.148,52.48,145632.0,710.4,205.0,5125.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,206.0,1.1536,52.736,146342.4,710.4,206.0,5150.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,207.0,1.1592,52.992,147052.8,710.4,207.0,5175.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,208.0,1.1648,53.248,147763.2,710.4,208.0,5200.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,209.0,1.1704,53.504,148473.6,710.4,209.0,5225.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,210.0,1.176,53.76,149184.0,710.4,210.0,5250.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,211.0,1.1816,54.016,149894.4,710.4,211.0,5275.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,212.0,1.1872,54.272,150604.8,710.4,212.0,5300.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,213.0,1.1928,54.528,151315.2,710.4,213.0,5325.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,214.0,1.1984,54.784,152025.6,710.4,214.0,5350.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,215.0,1.204,55.04,152736.0,710.4,215.0,5375.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,216.0,1.2096,55.296,153446.4,710.4,216.0,5400.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,217.0,1.2152,55.552,154156.8,710.4,217.0,5425.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,218.0,1.2208,55.808,154867.2,710.4,218.0,5450.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,219.0,1.2264,56.064,155577.6,710.4,219.0,5475.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,220.0,1.232,56.32,156288.0,710.4,220.0,5500.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,221.0,1.2376,56.576,156998.4,710.4,221.0,5525.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,222.0,1.2432,56.832,157708.8,710.4,222.0,5550.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,223.0,1.2488,57.088,158419.2,710.4,223.0,5575.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,224.0,1.2544,57.344,159129.6,710.4,224.0,5600.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,225.0,1.26,57.6,159840.0,710.4,225.0,5625.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,226.0,1.2656,57.856,160550.4,710.4,226.0,5650.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,227.0,1.2712,58.112,161260.8,710.4,227.0,5675.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,228.0,1.2768,58.368,161971.2,710.4,228.0,5700.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,229.0,1.2824,58.624,162681.6,710.4,229.0,5725.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,230.0,1.288,58.88,163392.0,710.4,230.0,5750.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,231.0,1.2936,59.136,164102.4,710.4,231.0,5775.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,232.0,1.2992,59.392,164812.8,710.4,232.0,5800.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,233.0,1.3048,59.648,165523.2,710.4,233.0,5825.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,234.0,1.3104,59.904,166233.6,710.4,234.0,5850.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,235.0,1.316,60.16,166944.0,710.4,235.0,5875.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,236.0,1.3216,60.416,167654.4,710.4,236.0,5900.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,237.0,1.3272,60.672,168364.8,710.4,237.0,5925.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,238.0,1.3328,60.928,169075.2,710.4,238.0,5950.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,239.0,1.3384,61.184,169785.6,710.4,239.0,5975.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,240.0,1.344,61.44,170496.0,710.4,240.0,6000.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,241.0,1.3496,61.696,171206.4,710.4,241.0,6025.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,242.0,1.3552,61.952,171916.8,710.4,242.0,6050.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,243.0,1.3608,62.208,172627.2,710.4,243.0,6075.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,244.0,1.3664,62.464,173337.6,710.4,244.0,6100.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,245.0,1.372,62.72,174048.0,710.4,245.0,6125.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,246.0,1.3776,62.976,174758.4,710.4,246.0,6150.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,247.0,1.3832,63.232,175468.8,710.4,247.0,6175.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,248.0,1.3888,63.488,176179.2,710.4,248.0,6200.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,249.0,1.3944,63.744,176889.6,710.4,249.0,6225.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,250.0,1.4,64.0,177600.0,710.4,250.0,6250.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,251.0,1.4056,64.256,178310.4,710.4,251.0,6275.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,252.0,1.4112,64.512,179020.8,710.4,252.0,6300.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,253.0,1.4168,64.768,179731.2,710.4,253.0,6325.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,254.0,1.4224,65.024,180441.6,710.4,254.0,6350.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,255.0,1.428,65.28,181152.0,710.4,255.0,6375.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,256.0,1.4336,65.536,181862.4,710.4,256.0,6400.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,257.0,1.4392,65.792,182572.8,710.4,257.0,6425.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,258.0,1.4448,66.048,183283.2,710.4,258.0,6450.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,259.0,1.4504,66.304,183993.6,710.4,259.0,6475.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,260.0,1.456,66.56,184704.0,710.4,260.0,6500.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,261.0,1.4616,66.816,185414.4,710.4,261.0,6525.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,262.0,1.4672,67.072,186124.8,710.4,262.0,6550.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,263.0,1.4728,67.328,186835.2,710.4,263.0,6575.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,264.0,1.4784,67.584,187545.6,710.4,264.0,6600.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,265.0,1.484,67.84,188256.0,710.4,265.0,6625.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,266.0,1.4896,68.096,188966.4,710.4,266.0,6650.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,267.0,1.4952,68.352,189676.8,710.4,267.0,6675.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,268.0,1.5008,68.608,190387.2,710.4,268.0,6700.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,269.0,1.5064,68.864,191097.6,710.4,269.0,6725.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,270.0,1.512,69.12,191808.0,710.4,270.0,6750.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,271.0,1.5176,69.376,192518.4,710.4,271.0,6775.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,272.0,1.5232,69.632,193228.8,710.4,272.0,6800.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,273.0,1.5288,69.888,193939.2,710.4,273.0,6825.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,274.0,1.5344,70.144,194649.6,710.4,274.0,6850.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,275.0,1.54,70.4,195360.0,710.4,275.0,6875.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,276.0,1.5456,70.656,196070.4,710.4,276.0,6900.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,277.0,1.5512,70.912,196780.8,710.4,277.0,6925.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,278.0,1.5568,71.168,197491.2,710.4,278.0,6950.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,279.0,1.5624,71.424,198201.6,710.4,279.0,6975.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,280.0,1.568,71.68,198912.0,710.4,280.0,7000.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,281.0,1.5736,71.936,199622.4,710.4,281.0,7025.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,282.0,1.5792,72.192,200332.8,710.4,282.0,7050.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,283.0,1.5848,72.448,201043.2,710.4,283.0,7075.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,284.0,1.5904,72.704,201753.6,710.4,284.0,7100.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,285.0,1.596,72.96,202464.0,710.4,285.0,7125.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,286.0,1.6016,73.216,203174.4,710.4,286.0,7150.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,287.0,1.6072,73.472,203884.8,710.4,287.0,7175.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,288.0,1.6128,73.728,204595.2,710.4,288.0,7200.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,289.0,1.6184,73.984,205305.6,710.4,289.0,7225.0,Vitaly Beta
8.75e-05,0.004,1.0,25.0,64.0,290.0,1.624,74.24,206016.0,710.4,290.0,7250.0,Vitaly Beta
