SERIES_COUNT,PAR_COUNT,VOLUME,WEIGHT,POWER,NAME
10.0,9.0,539262340.0,707.4,116550.0,Tattu 19Ah Li
11.0,8.0,527278750.0,691.68,113960.0,Tattu 19Ah Li
11.0,9.0,593188600.0,778.14,128205.0,Tattu 19Ah Li
12.0,8.0,575213200.0,754.56,124320.0,Tattu 19Ah Li
12.0,9.0,647114800.0,848.88,139860.0,Tattu 19Ah Li
13.0,7.0,545254140.0,715.26,117845.0,Tattu 19Ah Li
13.0,8.0,623147650.0,817.44,134680.0,Tattu 19Ah Li
13.0,9.0,701041100.0,919.62,151515.0,Tattu 19Ah Li
14.0,7.0,587196800.0,770.28,126910.0,Tattu 19Ah Li
14.0,8.0,671082050.0,880.32,145040.0,Tattu 19Ah Li
14.0,9.0,754967300.0,990.36,163170.0,Tattu 19Ah Li
22.0,9.0,1297183600.0,2209.68,163350.0,Eagle 4 Ah Ag
4.0,9.0,16318625.0,36.0,25200.0,Eagle 022 Ah Ag
5.0,8.0,18131806.0,40.0,28000.0,Eagle 022 Ah Ag
5.0,9.0,20398280.0,45.0,31500.0,Eagle 022 Ah Ag
6.0,7.0,19038396.0,42.0,29400.0,Eagle 022 Ah Ag
6.0,8.0,21758166.0,48.0,33600.0,Eagle 022 Ah Ag
6.0,9.0,24477936.0,54.0,37800.0,Eagle 022 Ah Ag
7.0,7.0,22211462.0,49.0,34300.0,Eagle 022 Ah Ag
7.0,8.0,25384528.0,56.0,39200.0,Eagle 022 Ah Ag
7.0,9.0,28557594.0,63.0,44100.0,Eagle 022 Ah Ag
8.0,8.0,29010888.0,64.0,44800.0,Eagle 022 Ah Ag
8.0,9.0,32637250.0,72.0,50400.0,Eagle 022 Ah Ag
9.0,9.0,36716904.0,81.0,56700.0,Eagle 022 Ah Ag
10.0,5.0,22664756.0,50.0,35000.0,Eagle 022 Ah Ag
10.0,6.0,27197708.0,60.0,42000.0,Eagle 022 Ah Ag
10.0,7.0,31730658.0,70.0,49000.0,Eagle 022 Ah Ag
10.0,8.0,36263612.0,80.0,56000.0,Eagle 022 Ah Ag
10.0,9.0,40796560.0,90.0,63000.0,Eagle 022 Ah Ag
11.0,4.0,19944986.0,44.0,30800.0,Eagle 022 Ah Ag
11.0,5.0,24931232.0,55.0,38500.0,Eagle 022 Ah Ag
11.0,6.0,29917478.0,66.0,46200.0,Eagle 022 Ah Ag
11.0,7.0,34903724.0,77.0,53900.0,Eagle 022 Ah Ag
11.0,8.0,39889972.0,88.0,61600.0,Eagle 022 Ah Ag
11.0,9.0,44876216.0,99.0,69300.0,Eagle 022 Ah Ag
12.0,7.0,38076790.0,84.0,58800.0,Eagle 022 Ah Ag
12.0,8.0,43516332.0,96.0,67200.0,Eagle 022 Ah Ag
12.0,9.0,48955870.0,108.0,75600.0,Eagle 022 Ah Ag
13.0,3.0,17678510.0,39.0,27300.0,Eagle 022 Ah Ag
13.0,4.0,23571346.0,52.0,36400.0,Eagle 022 Ah Ag
13.0,5.0,29464184.0,65.0,45500.0,Eagle 022 Ah Ag
13.0,6.0,35357020.0,78.0,54600.0,Eagle 022 Ah Ag
13.0,7.0,41249856.0,91.0,63700.0,Eagle 022 Ah Ag
13.0,8.0,47142692.0,104.0,72800.0,Eagle 022 Ah Ag
13.0,9.0,53035530.0,117.0,81900.0,Eagle 022 Ah Ag
14.0,7.0,44422924.0,98.0,68600.0,Eagle 022 Ah Ag
14.0,8.0,50769056.0,112.0,78400.0,Eagle 022 Ah Ag
14.0,9.0,57115188.0,126.0,88200.0,Eagle 022 Ah Ag
15.0,5.0,33997136.0,75.0,52500.0,Eagle 022 Ah Ag
15.0,7.0,47595988.0,105.0,73500.0,Eagle 022 Ah Ag
15.0,8.0,54395416.0,120.0,84000.0,Eagle 022 Ah Ag
15.0,9.0,61194844.0,135.0,94500.0,Eagle 022 Ah Ag
16.0,8.0,58021776.0,128.0,89600.0,Eagle 022 Ah Ag
16.0,9.0,65274500.0,144.0,100800.0,Eagle 022 Ah Ag
17.0,3.0,23118052.0,51.0,35700.0,Eagle 022 Ah Ag
17.0,4.0,30824068.0,68.0,47600.0,Eagle 022 Ah Ag
17.0,5.0,38530084.0,85.0,59500.0,Eagle 022 Ah Ag
17.0,6.0,46236104.0,102.0,71400.0,Eagle 022 Ah Ag
