SERIES_COUNT,PAR_COUNT,VOLUME,WEIGHT,POWER,NAME
1.0,1.0,5991804.0,8.74,1139.6,Tattu 22Ah Li
1.0,2.0,11983608.0,17.48,2279.2,Tattu 22Ah Li
1.0,3.0,17975412.0,26.22,3418.8,Tattu 22Ah Li
1.0,4.0,23967216.0,34.96,4558.4,Tattu 22Ah Li
1.0,6.0,35950824.0,52.44,6837.6,Tattu 22Ah Li
1.0,7.0,41942628.0,61.18,7977.2,Tattu 22Ah Li
1.0,8.0,47934430.0,69.92,9116.8,Tattu 22Ah Li
2.0,6.0,71901650.0,104.88,13675.2,Tattu 22Ah Li
2.0,7.0,83885256.0,122.36,15954.4,Tattu 22Ah Li
2.0,8.0,95868860.0,139.84,18233.6,Tattu 22Ah Li
3.0,5.0,89877060.0,131.1,17094.0,Tattu 22Ah Li
3.0,7.0,125827890.0,183.54,23931.6,Tattu 22Ah Li
3.0,8.0,143803300.0,209.76,27350.4,Tattu 22Ah Li
4.0,8.0,191737730.0,279.68,36467.2,Tattu 22Ah Li
6.0,7.0,251655780.0,367.08,47863.2,Tattu 22Ah Li
6.0,8.0,287606600.0,419.52,54700.8,Tattu 22Ah Li
8.0,8.0,383475460.0,559.36,72934.4,Tattu 22Ah Li
12.0,7.0,503311550.0,734.16,95726.4,Tattu 22Ah Li
12.0,8.0,575213200.0,839.04,109401.6,Tattu 22Ah Li
13.0,1.0,77893460.0,113.62,14814.8,Tattu 22Ah Li
13.0,2.0,155786910.0,227.24,29629.6,Tattu 22Ah Li
13.0,4.0,311573820.0,454.48,59259.2,Tattu 22Ah Li
13.0,5.0,389467260.0,568.1,74074.0,Tattu 22Ah Li
13.0,8.0,623147650.0,908.96,118518.4,Tattu 22Ah Li
1.0,1.0,5991804.0,9.54,1295.0,Tattu 25Ah Li
1.0,2.0,11983608.0,19.08,2590.0,Tattu 25Ah Li
1.0,3.0,17975412.0,28.62,3885.0,Tattu 25Ah Li
1.0,4.0,23967216.0,38.16,5180.0,Tattu 25Ah Li
1.0,5.0,29959020.0,47.7,6475.0,Tattu 25Ah Li
1.0,6.0,35950824.0,57.24,7770.0,Tattu 25Ah Li
1.0,7.0,41942628.0,66.78,9065.0,Tattu 25Ah Li
1.0,8.0,47934430.0,76.32,10360.0,Tattu 25Ah Li
1.0,9.0,53926236.0,85.86,11655.0,Tattu 25Ah Li
2.0,5.0,59918040.0,95.4,12950.0,Tattu 25Ah Li
2.0,6.0,71901650.0,114.48,15540.0,Tattu 25Ah Li
2.0,7.0,83885256.0,133.56,18130.0,Tattu 25Ah Li
2.0,8.0,95868860.0,152.64,20720.0,Tattu 25Ah Li
2.0,9.0,107852470.0,171.72,23310.0,Tattu 25Ah Li
3.0,5.0,89877060.0,143.1,19425.0,Tattu 25Ah Li
3.0,7.0,125827890.0,200.34,27195.0,Tattu 25Ah Li
3.0,8.0,143803300.0,228.96,31080.0,Tattu 25Ah Li
3.0,9.0,161778700.0,257.58,34965.0,Tattu 25Ah Li
4.0,5.0,119836080.0,190.8,25900.0,Tattu 25Ah Li
4.0,7.0,167770510.0,267.12,36260.0,Tattu 25Ah Li
4.0,8.0,191737730.0,305.28,41440.0,Tattu 25Ah Li
4.0,9.0,215704940.0,343.44,46620.0,Tattu 25Ah Li
5.0,5.0,149795100.0,238.5,32375.0,Tattu 25Ah Li
5.0,6.0,179754110.0,286.2,38850.0,Tattu 25Ah Li
5.0,7.0,209713140.0,333.9,45325.0,Tattu 25Ah Li
5.0,8.0,239672160.0,381.6,51800.0,Tattu 25Ah Li
5.0,9.0,269631170.0,429.3,58275.0,Tattu 25Ah Li
6.0,7.0,251655780.0,400.68,54390.0,Tattu 25Ah Li
6.0,8.0,287606600.0,457.92,62160.0,Tattu 25Ah Li
6.0,9.0,323557400.0,515.16,69930.0,Tattu 25Ah Li
7.0,7.0,293598400.0,467.46,63455.0,Tattu 25Ah Li
7.0,8.0,335541020.0,534.24,72520.0,Tattu 25Ah Li
7.0,9.0,377483650.0,601.02,81585.0,Tattu 25Ah Li
8.0,8.0,383475460.0,610.56,82880.0,Tattu 25Ah Li
8.0,9.0,431409900.0,686.88,93240.0,Tattu 25Ah Li
9.0,9.0,485336130.0,772.74,104895.0,Tattu 25Ah Li
10.0,5.0,299590200.0,477.0,64750.0,Tattu 25Ah Li
10.0,6.0,359508220.0,572.4,77700.0,Tattu 25Ah Li
10.0,7.0,419426270.0,667.8,90650.0,Tattu 25Ah Li
10.0,8.0,479344320.0,763.2,103600.0,Tattu 25Ah Li
10.0,9.0,539262340.0,858.6,116550.0,Tattu 25Ah Li
11.0,1.0,65909844.0,104.94,14245.0,Tattu 25Ah Li
11.0,2.0,131819690.0,209.88,28490.0,Tattu 25Ah Li
11.0,3.0,197729540.0,314.82,42735.0,Tattu 25Ah Li
11.0,4.0,263639380.0,419.76,56980.0,Tattu 25Ah Li
11.0,5.0,329549220.0,524.7,71225.0,Tattu 25Ah Li
11.0,6.0,395459070.0,629.64,85470.0,Tattu 25Ah Li
11.0,7.0,461368900.0,734.58,99715.0,Tattu 25Ah Li
11.0,8.0,527278750.0,839.52,113960.0,Tattu 25Ah Li
11.0,9.0,593188600.0,944.46,128205.0,Tattu 25Ah Li
12.0,7.0,503311550.0,801.36,108780.0,Tattu 25Ah Li
12.0,8.0,575213200.0,915.84,124320.0,Tattu 25Ah Li
12.0,9.0,647114800.0,1030.32,139860.0,Tattu 25Ah Li
13.0,1.0,77893460.0,124.02,16835.0,Tattu 25Ah Li
13.0,2.0,155786910.0,248.04,33670.0,Tattu 25Ah Li
13.0,3.0,233680350.0,372.06,50505.0,Tattu 25Ah Li
13.0,4.0,311573820.0,496.08,67340.0,Tattu 25Ah Li
13.0,5.0,389467260.0,620.1,84175.0,Tattu 25Ah Li
13.0,6.0,467360700.0,744.12,101010.0,Tattu 25Ah Li
13.0,7.0,545254140.0,868.14,117845.0,Tattu 25Ah Li
13.0,8.0,623147650.0,992.16,134680.0,Tattu 25Ah Li
13.0,9.0,701041100.0,1116.18,151515.0,Tattu 25Ah Li
14.0,7.0,587196800.0,934.92,126910.0,Tattu 25Ah Li
14.0,8.0,671082050.0,1068.48,145040.0,Tattu 25Ah Li
14.0,9.0,754967300.0,1202.04,163170.0,Tattu 25Ah Li
1.0,1.0,5991804.0,7.86,984.2,Tattu 19Ah Li
1.0,2.0,11983608.0,15.72,1968.4,Tattu 19Ah Li
1.0,3.0,17975412.0,23.58,2952.6,Tattu 19Ah Li
1.0,4.0,23967216.0,31.44,3936.8,Tattu 19Ah Li
1.0,6.0,35950824.0,47.16,5905.2,Tattu 19Ah Li
1.0,7.0,41942628.0,55.02,6889.4,Tattu 19Ah Li
2.0,6.0,71901650.0,94.32,11810.4,Tattu 19Ah Li
6.0,9.0,1509198800.0,1522.8,179020.8,Eagle 112 Ah Li
7.0,8.0,1565095200.0,1579.2,185651.2,Eagle 112 Ah Li
8.0,8.0,1788680200.0,1804.8,212172.8,Eagle 112 Ah Li
8.0,9.0,2012265200.0,2030.4,238694.4,Eagle 112 Ah Li
1.0,1.0,765517.5,1.18,158.4,Eagle 11 Ah Li
1.0,2.0,1531035.0,2.36,316.8,Eagle 11 Ah Li
1.0,3.0,2296552.5,3.54,475.2,Eagle 11 Ah Li
1.0,4.0,3062070.0,4.72,633.6,Eagle 11 Ah Li
1.0,5.0,3827587.5,5.9,792.0,Eagle 11 Ah Li
1.0,6.0,4593105.0,7.08,950.4,Eagle 11 Ah Li
1.0,7.0,5358622.5,8.26,1108.8,Eagle 11 Ah Li
1.0,8.0,6124140.0,9.44,1267.2,Eagle 11 Ah Li
1.0,9.0,6889657.5,10.62,1425.6,Eagle 11 Ah Li
2.0,5.0,7655175.0,11.8,1584.0,Eagle 11 Ah Li
2.0,6.0,9186210.0,14.16,1900.8,Eagle 11 Ah Li
2.0,7.0,10717245.0,16.52,2217.6,Eagle 11 Ah Li
2.0,8.0,12248280.0,18.88,2534.4,Eagle 11 Ah Li
2.0,9.0,13779315.0,21.24,2851.2,Eagle 11 Ah Li
3.0,5.0,11482762.0,17.7,2376.0,Eagle 11 Ah Li
3.0,7.0,16075867.0,24.78,3326.4,Eagle 11 Ah Li
3.0,8.0,18372420.0,28.32,3801.6,Eagle 11 Ah Li
3.0,9.0,20668972.0,31.86,4276.8,Eagle 11 Ah Li
4.0,5.0,15310350.0,23.6,3168.0,Eagle 11 Ah Li
4.0,7.0,21434490.0,33.04,4435.2,Eagle 11 Ah Li
4.0,8.0,24496560.0,37.76,5068.8,Eagle 11 Ah Li
4.0,9.0,27558630.0,42.48,5702.4,Eagle 11 Ah Li
1.0,1.0,24698792.0,59.0,7000.0,Eagle 250 Ah Ag
1.0,2.0,49397584.0,118.0,14000.0,Eagle 250 Ah Ag
1.0,3.0,74096376.0,177.0,21000.0,Eagle 250 Ah Ag
1.0,4.0,98795170.0,236.0,28000.0,Eagle 250 Ah Ag
1.0,5.0,123493960.0,295.0,35000.0,Eagle 250 Ah Ag
1.0,6.0,148192750.0,354.0,42000.0,Eagle 250 Ah Ag
1.0,7.0,172891550.0,413.0,49000.0,Eagle 250 Ah Ag
1.0,8.0,197590340.0,472.0,56000.0,Eagle 250 Ah Ag
1.0,9.0,222289140.0,531.0,63000.0,Eagle 250 Ah Ag
2.0,5.0,246987920.0,590.0,70000.0,Eagle 250 Ah Ag
2.0,6.0,296385500.0,708.0,84000.0,Eagle 250 Ah Ag
2.0,7.0,345783100.0,826.0,98000.0,Eagle 250 Ah Ag
2.0,8.0,395180670.0,944.0,112000.0,Eagle 250 Ah Ag
