Battery,Motor,Propeller,Battery_Weight,Battery_Capacity,Motor_Weight,Propeller_Weight,MV_omega_rad,MV_omega_RPM,MV_Voltage,MV_Thrust,MV_Torque,MV_Power,MV_Current,MV_Efficiency,MP_omega_rad,MP_omega_RPM,MP_Voltage,MP_Thrust,MP_Torque,MP_Power,MP_Current,MP_Efficiency,MC_omega_rad,MC_omega_RPM,MC_Voltage,MC_Thrust,MC_Torque,MC_Power,MC_Current,MC_Efficiency,MaxPower,MaxCur,PeakCur,ContCur,Aircraft_Weight,Aircraft_Thrust,Aircraft_Thrust2Weight,Aircraft_FlightTime
Eagle 200 Ah Li,KDE5215XF-435,27x10_2_2000_51_80,63.5,200,0.36,0.172,209.98,2005.20,33.30,79.97,20.33,32441.05,974.21,13.85,95.88,915.61,8.16,28.64,4.27,1678.95,205.69,25.66,57.74,551.36,3.50,28.64,1.55,265.22,75.79,35.59,1595.00,72.00,0.40,0.15,65.97523235587056,28.64,0.04425099881265461,0.19446740240167243
Eagle 200 Ah Li,KDE5215XF-435,27x10_3_2000_51_80,63.5,200,0.36,0.218,206.48,1971.75,33.30,81.17,20.38,32527.99,976.82,13.62,94.22,899.71,8.14,30.06,4.28,1678.95,206.22,25.28,56.65,540.97,3.48,30.06,1.55,263.41,75.79,35.16,1595.00,72.00,0.40,0.15,66.15923235587056,30.06,0.04631583642028667,0.1939676074095626
Eagle 200 Ah Li,KDE5215XF-435,27x10_4_2000_51_80,63.5,200,0.36,0.265,204.87,1956.36,33.30,82.29,20.41,32567.99,978.02,13.51,93.43,892.14,8.13,30.96,4.28,1678.95,206.47,25.10,56.13,536.03,3.46,30.96,1.55,262.55,75.79,34.95,1595.00,72.00,0.40,0.15,66.34723235587056,30.96,0.04756736928866101,0.19373274567733811
Eagle 200 Ah Li,KDE5215XF-435,27x10_5_2000_51_90,63.5,200,0.36,0.321,192.19,1835.30,33.30,82.77,20.61,32882.67,987.47,12.68,87.61,836.57,8.06,35.37,4.32,1678.95,208.34,23.75,52.40,500.37,3.38,35.36,1.55,256.34,75.79,33.42,1595.00,72.00,0.40,0.15,66.57123235587056,35.36,0.054144787344413005,0.527774112679773
Eagle 200 Ah Li,KDE5215XF-435,27x10_6_2000_51_90,63.5,200,0.36,0.368,191.59,1829.51,33.30,83.56,20.62,32897.73,987.92,12.64,87.27,833.39,8.05,35.93,4.33,1678.95,208.45,23.67,52.17,498.17,3.38,35.90,1.55,255.96,75.79,33.32,1595.00,72.00,0.40,0.15,66.75923235587055,35.9,0.05481685396285036,0.527774112679773
Eagle 200 Ah Li,KDE5215XF-435,27x11_2_1800_51_70,63.5,200,0.36,0.189,189.05,1805.34,33.30,75.93,20.66,32960.55,989.81,12.47,86.31,824.19,8.04,27.17,4.33,1678.95,208.76,23.44,51.60,492.73,3.36,27.17,1.55,255.01,75.79,33.08,1595.00,72.00,0.40,0.15,66.04323235587056,27.17,0.04193651241839659,0.19160758766047137
Eagle 200 Ah Li,KDE5215XF-435,27x11_3_1800_51_70,63.5,200,0.36,0.235,185.31,1769.56,33.30,76.72,20.71,33053.56,992.60,12.22,84.55,807.35,8.02,28.57,4.34,1678.95,209.33,23.03,50.46,481.87,3.34,28.55,1.55,253.12,75.79,32.59,1595.00,72.00,0.40,0.15,66.22723235587056,28.55,0.04394409237999297,0.527774112679773
Eagle 200 Ah Li,KDE5215XF-435,27x11_4_1800_51_70,63.5,200,0.36,0.281,183.54,1752.65,33.30,77.65,20.74,33097.50,993.92,12.11,83.70,799.25,8.01,29.48,4.35,1678.95,209.60,22.83,49.92,476.69,3.33,29.46,1.55,252.21,75.79,32.36,1595.00,72.00,0.40,0.15,66.41123235587055,29.46,0.04521912931660986,0.527774112679773
Eagle 200 Ah Li,KDE5215XF-435,27x11_5_1800_51_70,63.5,200,0.36,0.328,182.49,1742.68,33.30,78.44,20.76,33123.43,994.70,12.04,83.19,794.39,8.00,30.12,4.35,1678.95,209.77,22.71,49.59,473.50,3.32,30.10,1.55,251.66,75.79,32.21,1595.00,72.00,0.40,0.15,66.59923235587056,30.1,0.046071066390950016,0.527774112679773
Eagle 200 Ah Li,KDE5215XF-435,27x11_6_1800_51_80,63.5,200,0.36,0.389,170.18,1625.12,33.30,78.63,20.95,33429.00,1003.87,11.23,77.53,740.39,7.93,34.73,4.39,1678.95,211.61,21.35,46.00,439.31,3.24,34.73,1.55,245.70,75.79,30.61,1595.00,72.00,0.40,0.15,66.84323235587055,34.73,0.052963701947111974,0.18902698360190917
Eagle 200 Ah Li,KDE5215XF-435,27x12_2_1600_51_50,63.5,200,0.36,0.173,196.16,1873.23,33.30,66.56,20.55,32784.08,984.51,12.94,89.59,855.56,8.08,17.48,4.31,1678.95,207.70,24.21,53.70,512.75,3.41,17.48,1.55,258.50,75.79,33.96,1595.00,72.00,0.40,0.15,65.97923235587055,17.48,0.027006304652567183,0.19258545979778527
Eagle 200 Ah Li,KDE5215XF-435,27x12_3_1600_51_50,63.5,200,0.36,0.22,191.88,1832.28,33.30,66.99,20.61,32890.53,987.70,12.66,87.58,836.32,8.06,18.39,4.32,1678.95,208.35,23.74,52.40,500.34,3.38,18.37,1.55,256.33,75.79,33.42,1595.00,72.00,0.40,0.15,66.16723235587055,18.37,0.028300700125221834,0.527774112679773
Eagle 200 Ah Li,KDE5215XF-435,27x12_4_1600_51_60,63.5,200,0.36,0.283,173.77,1659.36,33.30,67.46,20.89,33340.00,1001.20,11.46,79.26,756.92,7.96,22.57,4.38,1678.95,211.05,21.77,47.11,449.87,3.27,22.56,1.55,247.54,75.79,31.11,1595.00,72.00,0.40,0.15,66.41923235587056,22.56,0.034623920030885214,0.527774112679773
Eagle 200 Ah Li,KDE5215XF-435,27x12_5_1600_51_60,63.5,200,0.36,0.33,172.62,1648.39,33.30,68.09,20.91,33368.52,1002.06,11.39,78.70,751.58,7.95,23.09,4.38,1678.95,211.23,21.63,46.75,446.42,3.26,23.08,1.55,246.94,75.79,30.95,1595.00,72.00,0.40,0.15,66.60723235587055,23.08,0.03532200996745107,0.527774112679773
Eagle 200 Ah Li,KDE5215XF-435,27x12_6_1600_51_60,63.5,200,0.36,0.377,171.83,1640.89,33.30,68.64,20.92,33388.00,1002.64,11.34,78.31,747.84,7.94,23.49,4.39,1678.95,211.36,21.54,46.49,443.93,3.25,23.48,1.55,246.51,75.79,30.83,1595.00,72.00,0.40,0.15,66.79523235587055,23.48,0.03583303718595167,0.527774112679773
Eagle 200 Ah Li,KDE5215XF-435,27x13_2_1200_41_30,63.5,200,0.36,0.175,189.03,1805.10,33.30,61.14,20.66,32961.16,989.82,12.47,86.34,824.50,8.04,13.24,4.33,1678.95,208.75,23.45,51.59,492.67,3.36,9.73,1.55,255.00,75.79,33.08,1595.00,72.00,0.40,0.15,65.98723235587056,9.73,0.015030863102671103,0.527774112679773
