Battery,Motor,Propeller,Battery_Weight,Battery_Capacity,Motor_Weight,Propeller_Weight,MV_omega_rad,MV_omega_RPM,MV_Voltage,MV_Thrust,MV_Torque,MV_Power,MV_Current,MV_Efficiency,MP_omega_rad,MP_omega_RPM,MP_Voltage,MP_Thrust,MP_Torque,MP_Power,MP_Current,MP_Efficiency,MC_omega_rad,MC_omega_RPM,MC_Voltage,MC_Thrust,MC_Torque,MC_Power,MC_Current,MC_Efficiency,MaxPower,MaxCur,PeakCur,ContCur,Aircraft_Weight,Aircraft_Thrust,Aircraft_Thrust2Weight,Aircraft_FlightTime
Eagle 043 Ah Ag,KDE5215XF-435,27x10_2_2000_51_80,1.7,0.43,0.36,0.172,191.16,1825.45,28.00,66.28,16.86,22631.58,808.27,14.99,95.88,915.61,8.16,28.64,4.27,1678.95,205.69,25.66,57.74,551.36,3.50,28.64,1.55,265.22,75.79,35.59,1595.00,72.00,0.01,0.01,4.175232355870562,28.64,0.699235319092921,0.00041810491516359576
Eagle 043 Ah Ag,KDE5215XF-435,27x10_3_2000_51_80,1.7,0.43,0.36,0.218,187.98,1795.12,28.00,67.28,16.91,22697.86,810.64,14.74,94.22,899.71,8.14,30.05,4.28,1678.95,206.22,25.28,56.65,540.97,3.48,30.03,1.55,263.41,75.79,35.16,1595.00,72.00,0.01,0.01,4.359232355870562,30.03,0.702225031750888,0.001134714342261512
Eagle 043 Ah Ag,KDE5215XF-435,27x10_4_2000_51_80,1.7,0.43,0.36,0.265,186.51,1780.99,28.00,68.20,16.93,22728.74,811.74,14.63,93.43,892.14,8.13,30.95,4.28,1678.95,206.47,25.10,56.13,536.03,3.46,30.93,1.55,262.55,75.79,34.95,1595.00,72.00,0.01,0.01,4.5472323558705625,30.93,0.693367954840992,0.001134714342261512
Eagle 043 Ah Ag,KDE5215XF-435,27x10_5_2000_51_90,1.7,0.43,0.36,0.321,175.05,1671.61,28.00,68.64,17.11,22967.81,820.28,13.73,87.61,836.57,8.06,35.36,4.32,1678.95,208.34,23.75,52.40,500.37,3.38,35.35,1.55,256.34,75.79,33.42,1595.00,72.00,0.01,0.01,4.771232355870562,35.35,0.7552484520563204,0.001134714342261512
Eagle 043 Ah Ag,KDE5215XF-435,27x10_6_2000_51_90,1.7,0.43,0.36,0.368,174.48,1666.20,28.00,69.29,17.12,22979.63,820.70,13.68,87.27,833.39,8.05,35.93,4.33,1678.95,208.45,23.67,52.17,498.17,3.38,35.91,1.55,255.96,75.79,33.32,1595.00,72.00,0.01,0.01,4.9592323558705615,35.91,0.7381284432826316,0.001134714342261512
Eagle 043 Ah Ag,KDE5215XF-435,27x11_2_1800_51_70,1.7,0.43,0.36,0.189,172.24,1644.81,28.00,63.01,17.16,23026.39,822.37,13.51,86.31,824.19,8.04,27.16,4.33,1678.95,208.76,23.44,51.60,492.73,3.36,27.15,1.55,255.01,75.79,33.08,1595.00,72.00,0.01,0.01,4.243232355870562,27.15,0.6522348685502318,0.001134714342261512
Eagle 043 Ah Ag,KDE5215XF-435,27x11_3_1800_51_70,1.7,0.43,0.36,0.235,168.84,1612.34,28.00,63.68,17.21,23097.35,824.91,13.24,84.55,807.35,8.02,28.56,4.34,1678.95,209.33,23.03,50.46,481.87,3.34,28.55,1.55,253.12,75.79,32.59,1595.00,72.00,0.01,0.01,4.4272323558705615,28.55,0.657362293817389,0.001134714342261512
Eagle 043 Ah Ag,KDE5215XF-435,27x11_4_1800_51_70,1.7,0.43,0.36,0.281,167.23,1596.94,28.00,64.45,17.23,23131.01,826.11,13.12,83.70,799.25,8.01,29.47,4.35,1678.95,209.60,22.83,49.92,476.69,3.33,29.45,1.55,252.21,75.79,32.36,1595.00,72.00,0.01,0.01,4.611232355870563,29.45,0.6510274270091362,0.001134714342261512
Eagle 043 Ah Ag,KDE5215XF-435,27x11_5_1800_51_70,1.7,0.43,0.36,0.328,166.28,1587.85,28.00,65.11,17.25,23150.89,826.82,13.04,83.19,794.39,8.00,30.11,4.35,1678.95,209.77,22.71,49.59,473.50,3.32,30.09,1.55,251.66,75.79,32.21,1595.00,72.00,0.01,0.01,4.799232355870562,30.09,0.6391185214672485,0.001134714342261512
Eagle 043 Ah Ag,KDE5215XF-435,27x11_6_1800_51_80,1.7,0.43,0.36,0.389,155.12,1481.24,28.00,65.28,17.42,23383.90,835.14,12.17,77.53,740.39,7.93,34.67,4.39,1678.95,211.61,21.35,46.00,439.31,3.24,34.61,1.55,245.70,75.79,30.61,1595.00,72.00,0.01,0.01,5.043232355870562,34.61,0.6995578174519247,0.001134714342261512
