weight,propeller_diameter,propeller_rpm_max,propeller_rpm_min,omega_rpm,voltage,thrust,torque,power,current,max_omega_rpm,max_voltage,max_thrust,max_torque,max_power,max_current,thrust_per_weight,power_per_weight,thrust_per_power,motor_name,propeller_name
0.618,0.6858,2400.0,800.0,822.21,12.5,12.8,3.98,746.33,59.71,831.53,12.71,7.53,4.07,776.19,61.05,20.711973,1207.6537,0.01715059,KDE7208XF-135,27x12_2_1600_51_50
0.615,0.6858,2100.0,700.0,804.42,12.5,11.07,4.06,761.69,60.93,805.2,12.52,6.32,4.07,764.28,61.05,18.0,1238.5204,0.014533471,KDE7208XF-135,27x14_2_1400_51_40
0.768,0.6858,6900.0,2300.0,2656.69,25.0,65.16,5.05,1892.19,75.69,2886.39,27.67,19.35,5.97,2475.8,89.47,84.84375,2463.789,0.03443629,KDE7215XF-135,27x3_2_4600_41_140
1.161,0.6858,1800.0,600.0,723.11,8.0,10.91,3.68,395.8,49.48,1114.49,13.91,10.31,8.69,1610.33,115.79,9.397072,340.913,0.027564427,KDE8218XF-120,27x13_5_1200_41_30
1.208,0.6858,1800.0,600.0,721.39,8.0,11.05,3.7,398.69,49.84,1107.99,13.85,9.65,8.69,1604.06,115.79,9.147351,330.04138,0.027715769,KDE8218XF-120,27x13_6_1200_41_30
0.973,0.6858,6900.0,2300.0,2672.54,25.0,65.95,5.11,1709.82,68.39,3467.42,33.52,25.33,8.69,3880.7,115.79,67.78006,1757.2662,0.038571313,KDE8218XF-120,27x3_2_4600_41_140
0.973,0.6858,6900.0,2300.0,3144.25,30.0,91.41,7.13,2855.59,95.19,3467.42,33.52,48.45,8.69,3880.7,115.79,93.946556,2934.8303,0.032010898,KDE8218XF-120,27x3_2_4600_41_140
0.982,0.6858,7200.0,2400.0,2537.37,25.0,75.75,7.24,2415.59,96.62,2781.94,27.8,30.7,8.69,3219.27,115.79,77.1385,2459.8677,0.031358797,KDE8218XF-120,27x4_2_4800_51_200
1.03,0.6858,7200.0,2400.0,2513.13,25.0,80.31,7.63,2542.16,101.69,2684.55,26.99,31.07,8.69,3125.3,115.79,77.97087,2468.1165,0.031591244,KDE8218XF-120,27x4_3_4800_51_210
1.015,0.6858,3300.0,1100.0,1128.41,12.5,25.4,5.81,970.1,77.61,1382.27,16.14,15.75,8.69,1868.72,115.79,25.02463,955.76355,0.026182868,KDE8218XF-120,27x9_2_2200_51_90
1.061,0.6858,3300.0,1100.0,1121.09,12.5,26.26,5.92,989.22,79.14,1360.22,15.96,14.14,8.69,1847.44,115.79,24.750237,932.34686,0.026546167,KDE8218XF-120,27x9_3_2200_51_90
1.038,0.8636,6900.0,2300.0,2509.78,25.0,103.94,7.68,2559.64,102.39,2670.29,26.87,17.62,8.69,3111.54,115.79,100.13487,2465.9346,0.040607274,KDE8218XF-120,34x3_2_4600_41_250
1.369,0.6858,2700.0,900.0,908.0,10.0,19.18,5.25,618.94,61.89,1420.88,16.8,13.32,12.82,2510.88,149.47,14.010226,452.11102,0.030988464,KDE10218XF-105,27x11_2_1800_51_70
1.415,0.6858,2700.0,900.0,903.27,10.0,19.96,5.43,639.54,63.95,1390.56,16.51,11.78,12.82,2467.73,149.47,14.106007,451.97174,0.031209933,KDE10218XF-105,27x11_3_1800_51_70
1.461,0.6858,2700.0,900.0,900.92,10.0,20.48,5.52,649.79,64.98,1376.06,16.37,10.17,12.82,2447.08,149.47,14.017796,444.75702,0.031517874,KDE10218XF-105,27x11_4_1800_51_70
1.353,0.6858,2400.0,800.0,833.8,9.0,13.17,4.09,436.21,48.47,1478.49,17.35,12.98,12.82,2592.9,149.47,9.733925,322.40207,0.03019188,KDE10218XF-105,27x12_2_1600_51_50
1.4,0.6858,2400.0,800.0,829.56,9.0,13.71,4.25,452.87,50.32,1443.66,17.02,11.31,12.82,2543.31,149.47,9.792857,323.47858,0.030273588,KDE10218XF-105,27x12_3_1600_51_50
1.51,0.6858,2400.0,800.0,808.06,9.0,16.33,5.06,537.21,59.69,1288.95,15.54,11.21,12.82,2323.08,149.47,10.814569,355.76822,0.030397795,KDE10218XF-105,27x12_5_1600_51_60
1.557,0.6858,2400.0,800.0,807.0,9.0,16.56,5.1,541.35,60.15,1282.63,15.48,9.86,12.82,2314.07,149.47,10.6358385,347.68787,0.030590191,KDE10218XF-105,27x12_6_1600_51_60
1.355,0.6858,1800.0,600.0,743.83,8.0,10.36,3.53,335.36,41.92,1420.9,16.8,9.9,12.82,2510.91,149.47,7.6457562,247.49815,0.030892175,KDE10218XF-105,27x13_2_1200_41_30
1.402,0.6858,1800.0,600.0,655.72,7.0,8.48,2.89,241.9,34.56,1384.69,16.45,17.02,12.82,2459.36,149.47,6.048502,172.53923,0.03505581,KDE10218XF-105,27x13_3_1200_41_30
1.449,0.6858,1800.0,600.0,653.94,7.0,8.72,2.96,247.32,35.33,1365.9,16.27,15.82,12.82,2432.62,149.47,6.0179434,170.68323,0.035257965,KDE10218XF-105,27x13_4_1200_41_30
