Motor.Weight,Propeller.Weight,MaxPower.OmegaRpm,MaxPower.Voltage,MaxPower.Thrust,MaxPower.Torque,MaxPower.Power,MaxPower.Current,MaxPower.MaxPower,MaxPower.MaxCurrent,MaxAmps.OmegaRpm,MaxAmps.Voltage,MaxAmps.Thrust,MaxAmps.Torque,MaxAmps.Power,MaxAmps.Current,MaxAmps.MaxPower,MaxAmps.MaxCurrent,Combined.Weight,Combined.MaxOmegaRpm,Combined.MaxVoltage,Combined.MaxThrust,Combined.MaxTorque,Combined.MaxPower,Combined.MaxCurrent,Combined.MaxThrustPerWeight,Combined.MaxPowerPerWeight,Motor.Name,Propeller.Name
0.64,2.145,324.41,19.3,1004.54,16.1,4636.84,240.3,4405.0,85.0,197.72,7.75,1001.82,5.97,693.83,89.47,4405.0,85.0,2.785,197.72,7.75,1001.82,5.97,693.83,89.47,359.71994,249.13106,KDE7215XF-135,76x10_3_2000_51_2000
0.64,3.363,201.75,18.82,1006.86,16.52,4636.84,246.41,4405.0,85.0,121.35,7.19,1005.17,5.97,643.22,89.47,4405.0,85.0,4.003,121.35,7.19,1005.17,5.97,643.22,89.47,251.10417,160.6845,KDE7215XF-135,90x12_3_1400_46_2000
0.845,2.145,413.31,17.28,1006.44,26.16,5994.74,346.85,5695.0,110.0,238.44,6.61,1002.69,8.69,765.02,115.79,5695.0,110.0,2.99,238.44,6.61,1002.69,8.69,765.02,115.79,335.34784,255.85953,KDE8218XF-120,76x10_3_2000_51_2000
0.845,3.363,259.26,16.58,1008.08,27.27,5994.74,361.48,5695.0,110.0,146.37,5.84,1005.7,8.69,676.18,115.79,5695.0,110.0,4.208,146.37,5.84,1005.7,8.69,676.18,115.79,238.99715,160.68916,KDE8218XF-120,90x12_3_1400_46_2000
1.18,2.145,525.61,15.75,1008.85,42.36,7742.11,491.63,7355.0,142.0,289.46,6.02,1003.79,12.82,900.25,149.47,7355.0,142.0,3.325,289.46,6.02,1003.79,12.82,900.25,149.47,301.89172,270.7519,KDE10218XF-105,76x10_3_2000_51_2000
1.18,3.363,334.51,14.7,1009.66,45.4,7742.11,526.8,7355.0,142.0,177.73,4.96,1006.36,12.82,741.19,149.47,7355.0,142.0,4.543,177.73,4.96,1006.36,12.82,741.19,149.47,221.51881,163.1499,KDE10218XF-105,90x12_3_1400_46_2000
2.12,3.363,457.29,13.29,1012.25,84.85,9615.79,723.51,9135.0,150.0,211.88,3.97,1007.08,18.22,626.52,157.89,9135.0,150.0,5.483,211.88,3.97,1007.08,18.22,626.52,157.89,183.67317,114.265915,KDE13218XF-105,90x12_3_1400_46_2000
0.128,0.172,497.23,5.37,28.58,1.26,526.32,98.05,500.0,25.0,255.4,1.61,28.57,0.33,42.5,26.32,500.0,25.0,0.3,255.4,1.61,28.57,0.33,42.5,26.32,95.23333,141.66667,U3 KV700,27x10_2_2000_51_80
0.128,0.218,488.17,5.36,29.97,1.27,526.32,98.18,500.0,25.0,250.54,1.61,29.94,0.33,42.31,26.32,500.0,25.0,0.346,250.54,1.61,29.94,0.33,42.31,26.32,86.53179,122.28323,U3 KV700,27x10_3_2000_51_80
0.128,0.189,446.01,5.33,27.11,1.27,526.32,98.77,500.0,25.0,228.28,1.58,27.1,0.33,41.48,26.32,500.0,25.0,0.317,228.28,1.58,27.1,0.33,41.48,26.32,85.48896,130.85173,U3 KV700,27x11_2_1800_51_70
0.128,0.173,463.55,5.34,17.42,1.27,526.32,98.52,500.0,25.0,237.54,1.59,17.41,0.33,41.82,26.32,500.0,25.0,0.301,237.54,1.59,17.41,0.33,41.82,26.32,57.84053,138.93687,U3 KV700,27x12_2_1600_51_50
0.128,0.175,445.93,5.33,9.69,1.27,526.32,98.77,500.0,25.0,228.15,1.58,9.68,0.33,41.47,26.32,500.0,25.0,0.303,228.15,1.58,9.68,0.33,41.47,26.32,31.947195,136.86469,U3 KV700,27x13_2_1200_41_30
0.128,0.222,434.53,5.32,10.21,1.28,526.32,98.93,500.0,25.0,222.06,1.57,10.2,0.33,41.24,26.32,500.0,25.0,0.35,222.06,1.57,10.2,0.33,41.24,26.32,29.142857,117.828575,U3 KV700,27x13_3_1200_41_30
0.128,0.17,449.38,5.33,12.06,1.27,526.32,98.72,500.0,25.0,230.07,1.58,12.05,0.33,41.54,26.32,500.0,25.0,0.298,230.07,1.58,12.05,0.33,41.54,26.32,40.43624,139.39597,U3 KV700,27x14_2_1400_51_40
0.128,0.217,437.5,5.32,12.7,1.27,526.32,98.89,500.0,25.0,223.72,1.57,12.69,0.33,41.31,26.32,500.0,25.0,0.345,223.72,1.57,12.69,0.33,41.31,26.32,36.782608,119.73913,U3 KV700,27x14_3_1400_51_40
0.128,0.177,426.03,5.31,8.48,1.28,526.32,99.05,500.0,25.0,217.72,1.56,8.47,0.33,41.08,26.32,500.0,25.0,0.305,217.72,1.56,8.47,0.33,41.08,26.32,27.770493,134.68852,U3 KV700,27x16_2_1200_51_30
0.128,0.223,414.03,5.3,8.93,1.28,526.32,99.22,500.0,25.0,211.38,1.55,8.92,0.33,40.84,26.32,500.0,25.0,0.351,211.38,1.55,8.92,0.33,40.84,26.32,25.413105,116.35328,U3 KV700,27x16_3_1200_51_30
0.128,0.16,579.0,5.43,35.48,1.25,526.32,96.92,500.0,25.0,299.11,1.68,35.46,0.33,44.14,26.32,500.0,25.0,0.288,299.11,1.68,35.46,0.33,44.14,26.32,123.125,153.26389,U3 KV700,27x8_2_2400_51_100
0.128,0.17,524.09,5.39,34.73,1.26,526.32,97.68,500.0,25.0,269.72,1.64,34.72,0.33,43.03,26.32,500.0,25.0,0.298,269.72,1.64,34.72,0.33,43.03,26.32,116.51007,144.39597,U3 KV700,27x9_2_2200_51_90
0.128,0.242,339.99,5.25,62.3,1.29,526.32,100.27,500.0,25.0,172.76,1.5,62.28,0.33,39.39,26.32,500.0,25.0,0.37,172.76,1.5,62.28,0.33,39.39,26.32,168.32433,106.45946,U3 KV700,34x10_2_2000_51_170
0.128,0.326,325.22,5.24,68.58,1.3,526.32,100.49,500.0,25.0,165.04,1.49,68.56,0.33,39.1,26.32,500.0,25.0,0.454,165.04,1.49,68.56,0.33,39.1,26.32,151.01321,86.123344,U3 KV700,34x10_3_2000_51_180
0.128,0.256,302.88,5.22,59.12,1.3,526.32,100.81,500.0,25.0,153.51,1.47,59.11,0.33,38.67,26.32,500.0,25.0,0.384,153.51,1.47,59.11,0.33,38.67,26.32,153.9323,100.703125,U3 KV700,34x11_2_1800_51_150
0.128,0.341,287.97,5.21,65.84,1.3,526.32,101.02,500.0,25.0,145.78,1.46,65.82,0.33,38.38,26.32,500.0,25.0,0.469,145.78,1.46,65.82,0.33,38.38,26.32,140.34116,81.83369,U3 KV700,34x11_3_1800_51_160
0.128,0.259,282.94,5.21,46.65,1.3,526.32,101.09,500.0,25.0,143.18,1.45,46.64,0.33,38.28,26.32,500.0,25.0,0.387,143.18,1.45,46.64,0.33,38.28,26.32,120.51679,98.91473,U3 KV700,34x12_2_1600_51_130
0.128,0.338,277.97,5.2,48.96,1.3,526.32,101.17,500.0,25.0,140.62,1.45,48.95,0.33,38.18,26.32,500.0,25.0,0.466,140.62,1.45,48.95,0.33,38.18,26.32,105.042915,81.93133,U3 KV700,34x12_3_1600_51_130
