weight,propeller_diameter,voltage,thrust,power,current,thrust_at40,power_at40,current_at40,max_voltage,max_thrust,max_power,max_current,thrust_per_weight,power_per_weight,thrust_per_power,motor_name,propeller_name
0.666,1.0414,0.5,0.88,2.9,5.81,2.57,8.21,16.42,3.59,27.31,272.27,75.79,1.3213214,4.3543544,0.3034483,KDE5215XF-435,41x5_2_4200_51_560
0.792,1.2192,0.5,1.06,3.07,6.13,2.29,7.78,15.56,3.5,54.73,265.41,75.79,1.3383838,3.8762627,0.34527686,KDE5215XF-435,48x4_2_4000_46_670
1.191,1.5748,0.5,1.5,4.52,9.04,1.32,8.42,16.84,2.96,95.87,224.19,75.79,1.2594458,3.7951303,0.3318584,KDE5215XF-435,62x5_2_3200_46_1150
0.562,0.8636,0.5,0.41,1.01,2.02,1.89,5.56,11.11,5.64,16.81,368.14,65.26,0.72953737,1.797153,0.4059406,KDE5215XF-330,34x4_2_4800_51_370
0.569,0.8636,0.5,0.45,1.25,2.5,3.25,5.28,10.57,5.12,26.62,334.42,65.26,0.7908612,2.1968365,0.36,KDE5215XF-330,34x5_2_4200_51_340
0.66,1.0414,0.5,0.59,1.35,2.71,1.39,4.42,8.83,4.93,280.21,321.76,65.26,0.8939394,2.0454545,0.43703705,KDE5215XF-330,41x4_2_4600_51_580
0.666,1.0414,0.5,0.64,1.56,3.13,2.28,5.74,11.49,4.64,27.34,303.01,65.26,0.960961,2.3423424,0.41025642,KDE5215XF-330,41x5_2_4200_51_560
0.792,1.2192,0.5,0.78,1.67,3.33,2.19,5.36,10.72,4.52,54.49,294.67,65.26,0.9848485,2.1085858,0.46706587,KDE5215XF-330,48x4_2_4000_46_670
0.8,1.2192,0.5,0.82,1.95,3.9,13.96,2.43,4.87,4.25,387.24,277.12,65.26,1.025,2.4375,0.42051283,KDE5215XF-330,48x5_2_4000_51_810
0.977,1.397,0.5,1.06,2.41,4.83,1.3,5.89,11.78,3.9,57.73,254.63,65.26,1.0849539,2.466735,0.43983403,KDE5215XF-330,55x5_2_3600_51_1080
1.191,1.5748,0.5,1.2,2.68,5.36,1.26,5.92,11.84,3.75,95.61,244.68,65.26,1.0075567,2.2502098,0.4477612,KDE5215XF-330,62x5_2_3200_46_1150
1.2,1.5748,0.5,1.21,2.99,5.98,1.08,5.92,11.85,3.6,75.61,234.78,65.26,1.0083333,2.4916666,0.40468228,KDE5215XF-330,62x6_2_3200_51_1390
1.464,1.7526,0.5,1.25,3.39,6.78,0.91,5.7,11.41,3.43,796.45,224.08,65.26,0.85382515,2.3155737,0.36873156,KDE5215XF-330,69x6_2_3000_51_1700
1.778,1.9304,0.5,1.32,3.66,7.31,1.04,5.97,11.93,3.34,62.32,217.72,65.26,0.7424072,2.0584927,0.36065573,KDE5215XF-330,76x6_2_2400_41_1420
0.563,0.8636,0.5,0.2,0.47,0.93,1.58,3.08,6.15,7.94,16.82,367.76,46.32,0.35523978,0.8348135,0.42553192,KDE5215XF-220,34x4_2_4800_51_370
0.563,0.8636,2.0,2.59,11.82,5.91,8.53,48.48,24.24,7.94,16.82,367.76,46.32,4.600355,20.99467,0.21912013,KDE5215XF-220,34x4_2_4800_51_370
0.661,1.0414,0.5,0.3,0.59,1.19,1.29,2.27,4.54,6.84,280.34,316.86,46.32,0.45385778,0.892587,0.5084746,KDE5215XF-220,41x4_2_4600_51_580
0.667,1.0414,0.5,0.33,0.68,1.35,1.69,3.22,6.43,6.4,27.35,296.28,46.32,0.49475262,1.0194902,0.4852941,KDE5215XF-220,41x5_2_4200_51_560
0.793,1.2192,0.5,0.41,0.72,1.44,1.84,2.94,5.88,6.2,54.36,287.09,46.32,0.517024,0.9079445,0.5694444,KDE5215XF-220,48x4_2_4000_46_670
0.801,1.2192,0.5,0.45,0.84,1.68,20.73,2.98,5.97,5.78,42.6,267.83,46.32,0.56179774,1.0486891,0.53571427,KDE5215XF-220,48x5_2_4000_51_810
0.813,1.2192,0.5,0.52,1.02,2.05,1.01,3.3,6.6,5.33,36.39,246.68,46.32,0.6396064,1.2546126,0.50980395,KDE5215XF-220,48x6_2_3400_51_760
0.978,1.397,0.5,0.62,1.06,2.12,1.08,3.31,6.62,5.25,57.75,243.08,46.32,0.63394684,1.0838445,0.5849057,KDE5215XF-220,55x5_2_3600_51_1080
1.192,1.5748,0.5,0.73,1.2,2.39,1.04,3.33,6.66,5.01,95.47,232.16,46.32,0.6124161,1.0067114,0.60833335,KDE5215XF-220,62x5_2_3200_46_1150
1.201,1.5748,0.5,0.76,1.36,2.73,0.9,3.33,6.67,4.78,75.63,221.29,46.32,0.632806,1.1323897,0.5588235,KDE5215XF-220,62x6_2_3200_51_1390
1.465,1.7526,0.5,0.82,1.59,3.18,0.76,3.18,6.36,4.52,796.68,209.54,46.32,0.55972695,1.0853243,0.5157233,KDE5215XF-220,69x6_2_3000_51_1700
1.779,1.9304,0.5,0.89,1.75,3.5,0.85,3.36,6.73,4.37,62.34,202.55,46.32,0.50028104,0.9836987,0.50857145,KDE5215XF-220,76x6_2_2400_41_1420
1.789,1.9304,0.5,0.93,1.88,3.75,0.76,3.36,6.72,4.26,103.19,197.52,46.32,0.51984346,1.0508664,0.49468085,KDE5215XF-220,76x7_2_2600_51_2000
2.154,2.1082,0.5,0.96,1.97,3.94,0.75,3.37,6.73,4.19,78.32,194.17,46.32,0.44568247,0.91457754,0.48730963,KDE5215XF-220,83x7_2_2200_41_1710
2.164,2.1082,0.5,0.97,2.08,4.17,0.72,3.34,6.69,4.11,100.73,190.21,46.32,0.448244,0.961183,0.46634614,KDE5215XF-220,83x8_2_2200_46_2000
0.847,1.2192,0.5,0.32,0.62,1.24,2.56,2.95,5.89,7.42,53.72,390.45,52.63,0.377804,0.7319953,0.516129,KDE6213XF-185,48x4_2_4000_46_670
0.855,1.2192,0.5,0.37,0.71,1.42,6.35,3.33,6.65,6.85,42.68,360.31,52.63,0.43274853,0.83040935,0.52112675,KDE6213XF-185,48x5_2_4000_51_810
1.032,1.397,0.5,0.53,0.89,1.78,1.41,3.55,7.1,6.1,57.84,321.29,52.63,0.5135659,0.8624031,0.5955056,KDE6213XF-185,55x5_2_3600_51_1080
1.037,1.397,0.5,0.55,1.01,2.02,0.52,3.19,6.38,5.81,515.43,305.61,52.63,0.5303761,0.9739634,0.5445545,KDE6213XF-185,55x6_2_3400_51_1070
1.246,1.5748,0.5,0.65,1.01,2.02,1.35,3.58,7.17,5.78,94.78,304.17,52.63,0.5216693,0.8105939,0.64356434,KDE6213XF-185,62x5_2_3200_46_1150
1.255,1.5748,0.5,0.7,1.17,2.34,1.16,3.59,7.18,5.46,75.74,287.17,52.63,0.55776894,0.93227094,0.5982906,KDE6213XF-185,62x6_2_3200_51_1390
1.519,1.7526,0.5,0.8,1.4,2.79,1.01,3.33,6.67,5.11,797.89,268.82,52.63,0.5266623,0.921659,0.5714286,KDE6213XF-185,69x6_2_3000_51_1700
1.528,1.7526,0.5,0.81,1.56,3.12,17823.5,2.1,4.2,4.91,947.95,258.19,52.63,0.5301047,1.0209424,0.5192308,KDE6213XF-185,69x7_2_2800_51_1730
1.833,1.9304,0.5,0.89,1.57,3.13,1.11,3.64,7.27,4.9,62.44,257.89,52.63,0.48554283,0.85651934,0.566879,KDE6213XF-185,76x6_2_2400_41_1420
1.843,1.9304,0.5,0.95,1.7,3.41,0.98,3.63,7.26,4.75,103.3,249.88,52.63,0.5154639,0.9224091,0.5588235,KDE6213XF-185,76x7_2_2600_51_2000
2.218,2.1082,0.5,1.03,1.94,3.89,0.93,3.61,7.21,4.53,101.58,238.44,52.63,0.46438232,0.87466186,0.53092784,KDE6213XF-185,83x8_2_2200_46_2000
0.638,0.8636,20.0,54.23,1212.59,60.63,-0.22,149.5,7.48,20.09,17.75,1226.71,61.05,85.0,1900.6113,0.044722453,KDE7208XF-135,34x3_2_4600_41_250
0.751,1.0414,0.5,0.15,0.32,0.64,1.74,2.14,4.29,13.64,27.51,832.87,61.05,0.19973369,0.42609853,0.46875,KDE7208XF-135,41x5_2_4200_51_560
0.877,1.2192,0.5,0.18,0.34,0.67,2.31,1.79,3.59,13.15,52.51,803.06,61.05,0.20524515,0.3876853,0.5294118,KDE7208XF-135,48x4_2_4000_46_670
0.885,1.2192,0.5,0.21,0.38,0.75,3.33,2.13,4.27,12.17,42.83,742.93,61.05,0.23728813,0.42937854,0.55263156,KDE7208XF-135,48x5_2_4000_51_810
0.897,1.2192,0.5,0.27,0.45,0.89,1.15,2.24,4.47,11.07,36.55,675.65,61.05,0.30100334,0.50167227,0.6,KDE7208XF-135,48x6_2_3400_51_760
0.911,1.2192,0.5,0.31,0.56,1.12,1.0,2.22,4.44,10.08,53.1,615.11,61.05,0.3402854,0.61470914,0.5535714,KDE7208XF-135,48x7_2_2800_51_670
1.062,1.397,0.5,0.32,0.46,0.92,1.23,2.25,4.5,10.87,58.02,663.94,61.05,0.30131826,0.43314502,0.6956522,KDE7208XF-135,55x5_2_3600_51_1080
1.067,1.397,0.5,0.34,0.52,1.04,0.46,1.97,3.95,10.37,516.8,633.25,61.05,0.31865042,0.4873477,0.65384614,KDE7208XF-135,55x6_2_3400_51_1070
1.083,1.397,0.5,0.39,0.67,1.34,0.32,2.06,4.11,9.45,476.17,576.96,61.05,0.3601108,0.61865187,0.58208954,KDE7208XF-135,55x7_2_2800_51_970
1.276,1.5748,0.5,0.4,0.52,1.04,1.17,2.28,4.55,10.31,93.48,629.62,61.05,0.31347963,0.4075235,0.7692308,KDE7208XF-135,62x5_2_3200_46_1150
1.285,1.5748,0.5,0.44,0.6,1.21,1.01,2.28,4.56,9.76,75.93,595.77,61.05,0.34241244,0.46692607,0.73333335,KDE7208XF-135,62x6_2_3200_51_1390
1.297,1.5748,0.5,0.47,0.75,1.51,1.03,2.29,4.59,9.08,68.16,554.29,61.05,0.36237472,0.5782575,0.62666667,KDE7208XF-135,62x7_2_2800_51_1320
1.697,1.5748,0.5,0.53,0.82,1.65,0.83,2.3,4.6,8.8,59.21,537.49,61.05,0.31231585,0.48320565,0.64634144,KDE7208XF-135,62x7_3_2600_51_1360
1.313,1.5748,0.5,0.51,0.87,1.74,0.78,2.3,4.61,8.65,54.75,528.41,61.05,0.38842344,0.66260475,0.5862069,KDE7208XF-135,62x8_2_2400_51_1220
1.549,1.7526,0.5,0.52,0.73,1.46,0.9,2.09,4.17,9.16,800.17,559.32,61.05,0.33570045,0.47127178,0.7123288,KDE7208XF-135,69x6_2_3000_51_1700
1.558,1.7526,0.5,0.55,0.83,1.65,12.13,1.09,2.17,8.81,824.39,538.1,61.05,0.35301667,0.5327343,0.6626506,KDE7208XF-135,69x7_2_2800_51_1730
1.574,1.7526,0.5,0.58,0.98,1.96,0.25,2.14,4.28,8.37,784.98,510.91,61.05,0.36848792,0.62261754,0.59183675,KDE7208XF-135,69x8_2_2400_51_1610
1.863,1.9304,0.5,0.6,0.83,1.66,0.95,2.32,4.63,8.8,62.62,537.47,61.05,0.32206118,0.445518,0.72289157,KDE7208XF-135,76x6_2_2400_41_1420
1.873,1.9304,0.5,0.66,0.91,1.82,0.85,2.31,4.62,8.54,103.52,521.14,61.05,0.35237586,0.4858516,0.72527474,KDE7208XF-135,76x7_2_2600_51_2000
2.238,2.1082,0.5,0.7,0.98,1.95,0.83,2.32,4.64,8.37,78.47,510.96,61.05,0.31277928,0.43789098,0.71428573,KDE7208XF-135,83x7_2_2200_41_1710
