        48x23_5_600_36_90                                 (48x23_5_600_36_90.dat)

         PROP RPM =       300

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3702      0.9284       0.514     107.891       5.631  
         4.5        0.33      0.1371      0.3946      0.9444       0.522     109.749       6.002  
         8.9        0.66      0.2807      0.4321      1.0105       0.559     117.449       6.576  
        13.4        0.98      0.4156      0.4794      1.1355       0.628     131.965       7.293  
        17.9        1.31      0.5357      0.5205      1.2748       0.705     148.161       7.918  
        22.4        1.64      0.6345      0.5345      1.3820       0.764     160.553       8.129  
        26.8        1.97      0.7140      0.5128      1.4136       0.782     164.358       7.803  
        31.3        2.30      0.7731      0.4616      1.3723       0.759     159.402       7.025  
        35.8        2.62      0.8136      0.3973      1.2809       0.709     148.870       6.043  
        40.3        2.95      0.8446      0.3289      1.1497       0.636     133.646       5.002  
        44.7        3.28      0.8641      0.2567      0.9747       0.539     113.290       3.905  
        49.2        3.61      0.8640      0.1807      0.7546       0.417      87.684       2.747  
        53.7        3.94      0.8108      0.1004      0.4877       0.270      56.671       1.528  
        58.2        4.27      0.3928      0.0159      0.1731       0.096      20.118       0.243  



         PROP RPM =       360

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3704      0.9267       0.886     155.065       8.113  
         4.5        0.27      0.1138      0.3899      0.9370       0.896     156.747       8.540  
         8.9        0.55      0.2338      0.4190      0.9796       0.936     163.916       9.174  
        13.4        0.82      0.3508      0.4554      1.0650       1.018     178.254       9.979  
        17.9        1.09      0.4598      0.4961      1.1796       1.128     197.372      10.865  
        22.4        1.37      0.5574      0.5271      1.2931       1.236     216.401      11.548  
        26.8        1.64      0.6367      0.5356      1.3796       1.319     230.916      11.731  
        31.3        1.91      0.7044      0.5201      1.4124       1.350     236.492      11.393  
        35.8        2.19      0.7576      0.4825      1.3930       1.331     233.129      10.568  
        40.3        2.46      0.7965      0.4310      1.3309       1.272     222.773       9.440  
        44.7        2.73      0.8271      0.3757      1.2420       1.187     207.816       8.230  
        49.2        3.01      0.8512      0.3180      1.1235       1.074     187.990       6.967  
        53.7        3.28      0.8674      0.2576      0.9745       0.931     163.119       5.643  
        58.2        3.55      0.8710      0.1946      0.7940       0.759     132.850       4.262  
        62.6        3.83      0.8477      0.1287      0.5812       0.555      97.270       2.819  
        67.1        4.10      0.7329      0.0599      0.3353       0.321      56.123       1.313  



         PROP RPM =       420

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3706      0.9254       1.404     210.736      11.049  
         4.5        0.23      0.0972      0.3867      0.9323       1.415     212.329      11.530  
         8.9        0.47      0.1998      0.4101      0.9618       1.460     219.056      12.223  
        13.4        0.70      0.3026      0.4395      1.0211       1.550     232.598      13.104  
        17.9        0.94      0.4005      0.4744      1.1101       1.686     252.866      14.140  
        22.4        1.17      0.4914      0.5077      1.2107       1.837     275.789      15.139  
        26.8        1.41      0.5696      0.5298      1.3077       1.985     297.828      15.795  
        31.3        1.64      0.6383      0.5364      1.3783       2.093     314.024      15.995  
        35.8        1.87      0.6969      0.5244      1.4112       2.142     321.371      15.638  
        40.3        2.11      0.7442      0.4953      1.4039       2.131     319.689      14.765  
        44.7        2.34      0.7830      0.4546      1.3613       2.065     309.953      13.556  
        49.2        2.58      0.8119      0.4085      1.2968       1.969     295.349      12.176  
        53.7        2.81      0.8363      0.3603      1.2113       1.839     275.878      10.741  
        58.2        3.05      0.8560      0.3103      1.1043       1.676     251.538       9.251  
        62.6        3.28      0.8699      0.2584      0.9746       1.479     221.977       7.704  
        67.1        3.52      0.8751      0.2046      0.8218       1.247     187.193       6.099  
        71.6        3.75      0.8642      0.1487      0.6451       0.979     146.922       4.433  
        76.1        3.98      0.8133      0.0907      0.4443       0.674     101.164       2.704  
        80.5        4.22      0.5885      0.0305      0.2189       0.332      49.856       0.910  



         PROP RPM =       480

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3707      0.9243       2.095     274.993      14.437  
         4.5        0.21      0.0848      0.3845      0.9293       2.105     276.409      14.975  
         8.9        0.41      0.1742      0.4039      0.9507       2.154     282.870      15.721  
        13.4        0.62      0.2650      0.4279      0.9937       2.252     295.615      16.670  
        17.9        0.82      0.3526      0.4566      1.0619       2.406     315.883      17.776  
        22.4        1.03      0.4343      0.4872      1.1497       2.606     342.081      18.965  
        26.8        1.23      0.5113      0.5139      1.2371       2.803     368.014      20.019  
        31.3        1.44      0.5786      0.5318      1.3187       2.988     392.354      20.705  
        35.8        1.64      0.6396      0.5372      1.3783       3.122     409.967      20.923  
        40.3        1.85      0.6903      0.5271      1.4100       3.194     419.348      20.534  
        44.7        2.05      0.7342      0.5046      1.4088       3.192     419.171      19.646  
        49.2        2.26      0.7722      0.4725      1.3796       3.126     410.498      18.396  
        53.7        2.46      0.7992      0.4325      1.3321       3.017     396.159      16.840  
        58.2        2.67      0.8228      0.3911      1.2675       2.872     377.042      15.235  
        62.6        2.87      0.8430      0.3486      1.1871       2.690     353.145      13.576  
        67.1        3.08      0.8597      0.3046      1.0898       2.469     324.203      11.861  
        71.6        3.28      0.8719      0.2591      0.9749       2.209     290.039      10.089  
        76.1        3.49      0.8778      0.2121      0.8423       1.908     250.565       8.262  
        80.5        3.69      0.8731      0.1636      0.6916       1.566     205.780       6.371  
        85.0        3.90      0.8464      0.1135      0.5222       1.183     155.419       4.417  
        89.5        4.10      0.7570      0.0617      0.3342       0.757      99.482       2.403  
        94.0        4.31      0.2790      0.0082      0.1272       0.288      37.846       0.321  



         PROP RPM =       540

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3708      0.9234       2.978     347.657      18.277  
         4.5        0.18      0.0753      0.3829      0.9271       2.990     349.073      18.868  
         8.9        0.36      0.1543      0.3992      0.9432       3.043     355.092      19.673  
        13.4        0.55      0.2352      0.4197      0.9757       3.147     367.306      20.685  
        17.9        0.73      0.3150      0.4438      1.0272       3.314     386.778      21.869  
        22.4        0.91      0.3898      0.4701      1.0996       3.547     414.038      23.178  
        26.8        1.09      0.4630      0.4977      1.1754       3.792     442.537      24.527  
        31.3        1.28      0.5305      0.5209      1.2529       4.042     471.656      25.673  
        35.8        1.46      0.5897      0.5352      1.3235       4.268     498.208      26.370  
        40.3        1.64      0.6407      0.5380      1.3771       4.444     518.654      26.527  
        44.7        1.82      0.6871      0.5302      1.4063       4.539     529.717      26.145  
        49.2        2.00      0.7262      0.5112      1.4112       4.554     531.487      25.201  
        53.7        2.19      0.7614      0.4849      1.3930       4.495     524.584      23.897  
        58.2        2.37      0.7886      0.4511      1.3552       4.373     510.334      22.231  
