        83x15_5_1000_41_1270                                 (83x15_5_1000_41_1270.dat)

         PROP RPM =       500

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2836      0.2648      10.485    1321.416     107.121  
         4.5        0.11      0.1206      0.2864      0.2704      10.707    1349.739     108.201  
         8.9        0.23      0.2369      0.2881      0.2769      10.964    1381.601     108.853  
        13.4        0.34      0.3499      0.2882      0.2814      11.140    1403.728     108.897  
        17.9        0.46      0.4502      0.2853      0.2887      11.427    1440.016     107.796  
        22.4        0.57      0.5433      0.2796      0.2930      11.597    1462.143     105.638  
        26.8        0.68      0.6241      0.2701      0.2956      11.706    1475.419     102.063  
        31.3        0.80      0.6924      0.2565      0.2953      11.690    1473.649      96.915  
        35.8        0.91      0.7515      0.2389      0.2895      11.463    1445.327      90.261  
        40.3        1.02      0.7995      0.2172      0.2783      11.021    1389.567      82.055  
        44.7        1.14      0.8397      0.1922      0.2606      10.316    1300.175      72.613  
        49.2        1.25      0.8688      0.1643      0.2368       9.374    1181.575      62.047  
        53.7        1.37      0.8915      0.1355      0.2076       8.218    1035.537      51.167  
        58.2        1.48      0.9068      0.1058      0.1727       6.838     861.886      39.971  
        62.6        1.59      0.9107      0.0754      0.1319       5.222     658.230      28.483  
        67.1        1.71      0.8869      0.0441      0.0850       3.363     423.951      16.667  
        71.6        1.82      0.6948      0.0121      0.0317       1.254     158.074       4.564  



         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2834      0.2659      18.198    1910.876     154.174  
         4.5        0.09      0.1012      0.2863      0.2684      18.359    1928.578     155.770  
         8.9        0.19      0.2002      0.2882      0.2731      18.694    1963.095     156.782  
        13.4        0.28      0.2951      0.2888      0.2786      19.056    2002.039     157.119  
        17.9        0.38      0.3842      0.2879      0.2843      19.458    2043.637     156.624  
        22.4        0.47      0.4704      0.2856      0.2880      19.700    2069.304     155.343  
        26.8        0.57      0.5445      0.2802      0.2930      20.035    2104.707     152.421  
        31.3        0.66      0.6140      0.2729      0.2951      20.196    2120.639     148.441  
        35.8        0.76      0.6712      0.2622      0.2965      20.276    2130.375     142.619  
        40.3        0.85      0.7234      0.2488      0.2937      20.088    2110.903     135.357  
        44.7        0.95      0.7698      0.2328      0.2869      19.633    2061.339     126.635  
        49.2        1.04      0.8070      0.2137      0.2764      18.908    1986.107     116.294  
        53.7        1.14      0.8410      0.1928      0.2611      17.862    1875.473     104.896  
        58.2        1.23      0.8657      0.1695      0.2416      16.521    1735.631      92.239  
        62.6        1.33      0.8862      0.1457      0.2183      14.939    1568.352      79.245  
        67.1        1.42      0.9021      0.1212      0.1912      13.078    1373.636      65.936  
        71.6        1.52      0.9123      0.0962      0.1600      10.944    1149.712      52.291  
        76.1        1.61      0.9132      0.0705      0.1246       8.522     894.810      38.375  
        80.5        1.71      0.8930      0.0444      0.0848       5.804     609.639      24.144  
        85.0        1.80      0.7819      0.0176      0.0407       2.783     292.340       9.599  



         PROP RPM =       700

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2835      0.2653      28.819    2595.039     209.904  
         4.5        0.08      0.0863      0.2859      0.2695      29.274    2635.752     211.680  
         8.9        0.16      0.1712      0.2878      0.2734      29.690    2673.810     213.074  
        13.4        0.24      0.2539      0.2889      0.2776      30.160    2714.524     213.906  
        17.9        0.33      0.3332      0.2890      0.2821      30.642    2758.778     213.973  
        22.4        0.41      0.4121      0.2883      0.2844      30.897    2781.789     213.456  
        26.8        0.49      0.4817      0.2854      0.2891      31.407    2827.813     211.343  
        31.3        0.57      0.5454      0.2809      0.2932      31.849    2867.642     207.971  
        35.8        0.65      0.6028      0.2745      0.2962      32.184    2897.734     203.227  
        40.3        0.73      0.6574      0.2663      0.2965      32.211    2899.504     197.202  
        44.7        0.81      0.7053      0.2560      0.2951      32.064    2887.113     189.559  
        49.2        0.89      0.7445      0.2430      0.2920      31.715    2855.251     179.915  
        53.7        0.98      0.7808      0.2282      0.2852      30.978    2789.755     168.966  
        58.2        1.06      0.8135      0.2117      0.2751      29.891    2690.627     156.782  
        62.6        1.14      0.8418      0.1935      0.2617      28.430    2559.636     143.293  
        67.1        1.22      0.8633      0.1736      0.2452      26.633    2398.552     128.501  
        71.6        1.30      0.8818      0.1531      0.2259      24.541    2210.031     113.371  
        76.1        1.38      0.8971      0.1323      0.2038      22.140    1993.188      97.927  
        80.5        1.46      0.9088      0.1110      0.1787      19.418    1748.022      82.168  
        85.0        1.54      0.9159      0.0893      0.1506      16.360    1472.764      66.094  
        89.5        1.63      0.9152      0.0672      0.1193      12.964    1167.413      49.728  
        94.0        1.71      0.8978      0.0446      0.0848       9.217     829.846      33.024  
        98.4        1.79      0.8230      0.0217      0.0471       5.115     460.504      16.038  



         PROP RPM =       800

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2835      0.2648      42.939    3382.755     274.267  
         4.5        0.07      0.0758      0.2857      0.2682      43.489    3427.009     276.290  
         8.9        0.14      0.1508      0.2876      0.2714      43.999    3466.837     278.089  
        13.4        0.21      0.2246      0.2890      0.2747      44.549    3509.321     279.438  
        17.9        0.28      0.2961      0.2897      0.2783      45.139    3556.230     280.112  
        22.4        0.36      0.3647      0.2894      0.2824      45.782    3606.679     279.887  
        26.8        0.43      0.4295      0.2881      0.2864      46.440    3658.013     278.538  
        31.3        0.50      0.4901      0.2856      0.2902      47.056    3707.577     276.065  
        35.8        0.57      0.5459      0.2816      0.2936      47.620    3750.946     272.244  
        40.3        0.64      0.5970      0.2762      0.2962      48.035    3784.579     267.073  
        44.7        0.71      0.6432      0.2692      0.2978      48.290    3804.936     260.329  
        49.2        0.78      0.6879      0.2609      0.2969      48.129    3791.660     252.236  
        53.7        0.85      0.7248      0.2505      0.2950      47.848    3768.648     242.119  
        58.2        0.92      0.7598      0.2386      0.2904      47.097    3711.118     230.654  
        62.6        1.00      0.7904      0.2251      0.2837      46.010    3624.380     217.728  
        67.1        1.07      0.8173      0.2103      0.2746      44.522    3507.551     203.340  
        71.6        1.14      0.8423      0.1943      0.2626      42.577    3354.433     187.895  
        76.1        1.21      0.8614      0.1768      0.2483      40.257    3171.222     170.967  
        80.5        1.28      0.8781      0.1589      0.2318      37.589    2961.460     153.702  
        85.0        1.35      0.8926      0.1407      0.2132      34.571    2723.375     136.099  
        89.5        1.42      0.9045      0.1222      0.1923      31.179    2456.082     118.205  
        94.0        1.49      0.9135      0.1034      0.1691      27.410    2159.582      99.973  
        98.4        1.57      0.9184      0.0842      0.1434      23.267    1832.989      81.426  
       102.9        1.64      0.9168      0.0647      0.1155      18.721    1475.419      62.564  
       107.4        1.71      0.9018      0.0448      0.0849      13.772    1085.101      43.388  
       111.8        1.78      0.8469      0.0247      0.0519       8.416     663.009      23.897  



         PROP RPM =       900

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2836      0.2643      61.030    4274.025     347.105  
         4.5        0.06      0.0676      0.2856      0.2673      61.714    4321.819     349.578  
         8.9        0.13      0.1348      0.2876      0.2699      62.317    4364.303     352.051  
        13.4        0.19      0.2012      0.2892      0.2727      62.974    4409.442     354.074  
        17.9        0.25      0.2633      0.2897      0.2783      64.262    4499.719     354.524  
        22.4        0.32      0.3258      0.2900      0.2814      64.972    4550.169     354.973  
        26.8        0.38      0.3859      0.2895      0.2848      65.750    4604.158     354.299  
        31.3        0.44      0.4428      0.2882      0.2881      66.528    4659.033     352.725  
        35.8        0.51      0.4964      0.2859      0.2914      67.279    4711.252     350.028  
        40.3        0.57      0.5463      0.2824      0.2943      67.949    4758.161     345.756  
        44.7        0.63      0.5923      0.2778      0.2966      68.486    4796.219     339.911  
        49.2        0.70      0.6344      0.2718      0.2981      68.835    4820.116     332.717  
        53.7        0.76      0.6728      0.2646      0.2986      68.928    4826.312     323.950  
        58.2        0.82      0.7104      0.2564      0.2967      68.526    4798.874     313.833  
        62.6        0.89      0.7414      0.2463      0.2942      67.923    4756.391     301.469  
        67.1        0.95      0.7713      0.2353      0.2894      66.836    4680.274     287.980  
        71.6        1.01      0.7962      0.2227      0.2831      65.361    4577.606     272.693  
        76.1        1.08      0.8201      0.2094      0.2745      63.377    4437.764     256.282  
        80.5        1.14      0.8426      0.1951      0.2636      60.869    4263.404     238.972  
        85.0        1.20      0.8597      0.1796      0.2510      57.945    4058.067     219.773  
        89.5        1.26      0.8751      0.1637      0.2366      54.633    3825.292     200.350  
        94.0        1.33      0.8886      0.1476      0.2205      50.919    3565.966     180.589  
        98.4        1.39      0.9003      0.1311      0.2026      46.788    3276.546     160.491  
       102.9        1.45      0.9098      0.1145      0.1830      42.242    2958.804     140.078  
       107.4        1.52      0.9169      0.0975      0.1615      37.267    2610.085     119.351  
       111.8        1.58      0.9204      0.0803      0.1380      31.849    2230.388      98.286  



         PROP RPM =       1000

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2836      0.2640      83.613    5269.734     428.486  
         4.5        0.06      0.0610      0.2856      0.2665      84.431    5321.068     431.633  
         8.9        0.11      0.1206      0.2872      0.2712      85.892    5414.001     434.106  
        13.4        0.17      0.1802      0.2887      0.2736      86.657    5460.910     436.354  
        17.9        0.23      0.2391      0.2899      0.2762      87.448    5511.360     438.153  
        22.4        0.28      0.2967      0.2908      0.2788      88.333    5567.119     439.277  
        26.8        0.34      0.3490      0.2904      0.2842      89.996    5672.443     438.827  
        31.3        0.40      0.4024      0.2898      0.2870      90.894    5728.203     437.928  
        35.8        0.46      0.4533      0.2885      0.2898      91.793    5785.733     435.905  
