chord,span,max_load,angle,speed,lift2x,drag2x,lift,drag,flight_load,available_volume,weight,profile
500,1000,2000,0,50,15.62,9.98,7.81,4.99,9.268021,3750000,1.3149396,NACA 0006
500,1000,2000,0.863,50,150.37,12.35,75.185,6.175,75.438156,3750000,1.3149396,NACA 0006
500,1000,2000,-1,50,157.72,14.27,78.86,7.135,79.18212,3750000,1.3149396,NACA 2506
500,1000,2000,1.257,50,194.47,15.34,97.235,7.67,97.53704,5625000,1.1375139,NACA 0009
500,1000,2000,1.515,50,234.28,18.52,117.14,9.26,117.50543,7500000,1.0263456,NACA 0012
500,1000,2000,1.725,50,285.12,18.56,142.56,9.28,142.86172,3750000,1.3149396,NACA 0006
500,1000,2000,0,50,286.65,20.19,143.325,10.095,143.68008,3750000,1.3149396,NACA 2306
500,1000,2000,0,50,315.44,22.18,157.72,11.09,158.1094,3750000,1.3149396,NACA 2506
500,1000,2000,-1.553,50,322.79,25.12,161.395,12.56,161.88298,5625000,1.1375139,NACA 4409
500,1000,2000,0,50,327.99,25.33,163.995,12.665,164.48332,7500000,1.0263456,NACA 2512
500,1000,2000,-2.212,50,332.59,26.72,166.295,13.36,166.8308,3750000,1.3149396,NACA 4506
500,2000,2000,1.257,50,388.94,26.74,194.47,13.37,194.92906,11250000,2.5626283,NACA 0009
500,1000,2000,2.588,50,419.87,28.63,209.935,14.315,210.42249,3750000,1.3149396,NACA 0006
500,2000,2000,1.725,50,570.24,28.68,285.12,14.34,285.48038,7500000,2.9623387,NACA 0006
500,2000,2000,0,50,573.3,31.84,286.65,15.92,287.09174,7500000,2.9623387,NACA 2306
500,2000,2000,0,50,630.88,34.01,315.44,17.005,315.89804,7500000,2.9623387,NACA 2506
500,3000,2000,1.725,50,855.36,38.8,427.68,19.4,428.11978,11250000,4.7639575,NACA 0006
500,3000,2000,0,50,859.95,43.49,429.975,21.745,430.5245,11250000,4.7639575,NACA 2306
500,2000,2000,1,50,891.8,44.43,445.9,22.215,446.45303,7500000,2.9623387,NACA 2306
500,3000,2000,0,50,946.31,45.85,473.155,22.925,473.71005,11250000,4.7639575,NACA 2506
500,4000,2000,1.725,50,1140.48,48.91,570.24,24.455,570.76416,15000000,6.6736526,NACA 0006
500,3000,2000,2.588,50,1259.61,49.24,629.805,24.62,630.286,11250000,4.7639575,NACA 0006
500,3000,2000,0.981,50,1268.33,53.64,634.165,26.82,634.7319,11250000,4.7639575,NACA 2406
500,3000,2000,1,50,1337.7,56.31,668.85,28.155,669.4423,11250000,4.7639575,NACA 2306
500,5000,2000,1.725,50,1425.59,59.03,712.795,29.515,713.4058,18750000,8.667961,NACA 0006
500,4000,2000,2.588,50,1679.48,59.54,839.74,29.77,840.2675,15000000,6.6736526,NACA 0006
500,4000,2000,0.981,50,1691.11,65.33,845.555,32.665,846.1857,15000000,6.6736526,NACA 2406
500,4000,2000,1,50,1783.6,68.19,891.8,34.095,892.45154,15000000,6.6736526,NACA 2306
500,5000,2000,2.588,50,2099.34,69.85,1049.67,34.925,1050.2509,18750000,8.667961,NACA 0006
500,4000,2000,3.451,50,2218.48,74.24,1109.24,37.12,1109.861,15000000,6.6736526,NACA 0006
500,5000,2000,1,50,2229.5,80.07,1114.75,40.035,1115.4686,18750000,8.667961,NACA 2306
500,6000,2000,2.588,50,2519.21,80.15,1259.605,40.075,1260.2423,22500000,10.732398,NACA 0006
500,5000,2000,3.451,50,2773.09,84.81,1386.545,42.405,1387.1932,18750000,8.667961,NACA 0006
500,7000,2000,2.588,50,2939.08,90.46,1469.54,45.23,1470.2358,26250000,12.85704,NACA 0006
500,6000,2000,3.451,50,3327.71,95.37,1663.855,47.685,1664.5382,22500000,10.732398,NACA 0006
500,8000,2000,2.588,50,3358.95,100.76,1679.475,50.38,1680.2305,30000000,15.034621,NACA 0006
500,5000,2000,4.314,50,3446.84,103.9,1723.42,51.95,1724.2028,18750000,8.667961,NACA 0006
500,7000,2000,3.451,50,3882.33,105.94,1941.165,52.97,1941.8876,26250000,12.85704,NACA 0006
500,6000,3000,4.314,50,4136.21,114.8,2068.105,57.4,2068.9014,22500000,13.942956,NACA 0006
500,8000,3000,3.451,50,4436.95,116.51,2218.475,58.255,2219.2397,30000000,19.532173,NACA 0006
500,7000,3000,4.314,50,4825.58,125.7,2412.79,62.85,2413.6084,26250000,16.703178,NACA 0006
500,9000,3000,3.451,50,4991.57,127.07,2495.785,63.535,2496.5935,33750000,22.422707,NACA 0006
500,8000,3000,4.314,50,5514.95,136.61,2757.475,68.305,2758.3208,30000000,19.532173,NACA 0006
500,10000,3000,3.451,50,5546.19,137.64,2773.095,68.82,2773.9487,37500000,25.369034,NACA 0006
500,9000,4000,4.314,50,6204.32,147.51,3102.16,73.755,3103.0366,33750000,26.997885,NACA 0006
500,8000,4000,5.176,50,6592.95,161.06,3296.475,80.53,3297.4585,30000000,23.517561,NACA 0006
500,9000,4000,5.176,50,7417.07,172.37,3708.535,86.185,3709.5364,33750000,26.997885,NACA 0006
500,10000,4000,5.03,50,7778.75,188.28,3889.375,94.14,3890.5142,56250000,26.423876,NACA 0009
500,9000,4000,3.922,50,7980.72,197.83,3990.36,98.915,3991.5857,33750000,26.997885,NACA 2406
500,9000,5000,6.287,50,8751.09,217.23,4375.545,108.615,4376.893,50625000,26.973122,NACA 0009
500,10000,5000,6.059,50,9371.25,235.9,4685.625,117.95,4687.1094,75000000,27.534931,NACA 0012
500,8000,5000,7.765,50,9826.95,260.55,4913.475,130.275,4915.2017,30000000,27.160818,NACA 0006
500,8000,5000,6,50,9937.2,276.88,4968.6,138.44,4970.5283,30000000,27.160818,NACA 2306
500,9000,6000,4.98,50,10032.75,276.89,5016.375,138.445,5018.285,67500000,27.376356,NACA 2612
500,9000,6000,7.574,50,10542.66,281.65,5271.33,140.825,5273.211,67500000,27.376356,NACA 0012
500,10000,6000,3.109,50,10685.06,306.83,5342.53,153.415,5344.7324,93750000,28.598822,NACA 4415
500,11000,6000,4.625,50,10712.63,309.73,5356.315,154.865,5358.553,123750000,29.960144,NACA 2518
500,10000,6000,7.65,50,11714.06,312.41,5857.03,156.205,5859.113,93750000,28.598822,NACA 0015
500,9000,6000,6.353,50,11882.19,337.88,5941.095,168.94,5943.4966,67500000,27.376356,NACA 2512
500,10000,7000,6.167,50,12005,351.59,6002.5,175.795,6005.0737,112500000,29.597378,NACA 2518
500,10000,7000,4.424,50,12012.66,364.07,6006.33,182.035,6009.088,112500000,29.597378,NACA 4318
500,10000,7000,4.594,50,12191.81,367.91,6095.905,183.955,6098.68,112500000,29.597378,NACA 4418
500,9000,7000,9.18,50,12651.19,369.03,6325.595,184.515,6328.2856,84375000,27.921778,NACA 0015
500,10000,7000,8.809,50,12822.69,387.46,6411.345,193.73,6414.2715,131250000,28.010515,NACA 0021
500,9000,7000,7.549,50,13001.23,392.19,6500.615,196.095,6503.572,84375000,27.921778,NACA 2315
500,9000,7000,7.673,50,13046.71,393.97,6523.355,196.985,6526.3286,84375000,27.921778,NACA 2415
500,10000,7000,9.122,50,13689.38,397.55,6844.69,198.775,6847.5757,112500000,29.597378,NACA 0018
500,10000,7000,7.296,50,13799.63,408.96,6899.815,204.48,6902.844,112500000,29.597378,NACA 2418
500,9000,7000,6.218,50,13943.87,441.44,6971.935,220.72,6975.4277,84375000,27.921778,NACA 4415
500,9000,8000,10.643,50,14373.84,459.76,7186.92,229.88,7190.5957,101250000,28.514664,NACA 0018
500,9000,8000,8.755,50,14390.38,467.37,7195.19,233.685,7198.984,101250000,28.514664,NACA 2418
500,10000,8000,10.787,50,14700,486.69,7350,243.345,7354.0273,156250000,28.686882,NACA 0025
500,9000,8000,9.25,50,14883.75,489.11,7441.875,244.555,7445.892,101250000,28.514664,NACA 2518
500,9000,8000,7.656,50,15024.32,505.08,7512.16,252.54,7516.404,101250000,28.514664,NACA 4418
500,9000,8000,11.745,50,15344.04,519.69,7672.02,259.845,7676.419,118125000,26.985851,NACA 0021
500,9000,8000,8.147,50,15379.88,540.64,7689.94,270.32,7694.69,118125000,26.985851,NACA 4321
500,9000,8000,10.168,50,15669.28,543.14,7834.64,271.57,7839.345,118125000,26.985851,NACA 2521
500,9000,8000,8.021,50,15771.26,547.97,7885.63,273.985,7890.388,101250000,28.514664,NACA 4518
500,9000,9000,7.135,50,16319.76,600.64,8159.88,300.32,8165.405,118125000,29.117395,NACA 6321
500,9000,9000,9.221,50,16523.72,601.07,8261.86,300.535,8267.324,118125000,29.117395,NACA 4521
500,9000,9000,13.483,50,16537.5,608.65,8268.75,304.325,8274.349,140625000,27.35797,NACA 0025
500,9000,9000,13.213,50,17245.86,612.97,8622.93,306.485,8628.375,118125000,29.117395,NACA 0021
500,9000,9000,11.621,50,17571.09,638.28,8785.545,319.14,8791.34,118125000,29.117395,NACA 2521
500,9000,9000,10.312,50,17573.85,648.07,8786.925,324.035,8792.897,118125000,29.117395,NACA 4421
500,8000,9000,10.602,50,17919.3,733.88,8959.65,366.94,8967.161,75000000,28.60572,NACA 4315
500,8000,10000,15.204,50,18252.5,756.46,9126.25,378.23,9134.084,90000000,28.68675,NACA 0018
500,8000,10000,10.168,50,18466.88,812.85,9233.44,406.425,9242.381,90000000,28.68675,NACA 6518
1000,8000,10000,5.837,50,18575.9,880.28,9287.95,440.14,9298.373,360000000,29.487522,NACA 2418
500,8000,10000,12.833,50,18697.41,918.13,9348.705,459.065,9359.97,90000000,28.68675,NACA 4518
1000,8000,10000,6.167,50,19208,922.05,9604,461.025,9615.059,360000000,29.487522,NACA 2518
1000,8000,10000,4.424,50,19220.25,942.47,9610.125,471.235,9621.672,360000000,29.487522,NACA 4318
1000,8000,10000,4.594,50,19506.9,959.43,9753.45,479.715,9765.24,360000000,29.487522,NACA 4418
500,8000,10000,11.863,50,19568.28,987.13,9784.14,493.565,9796.581,90000000,28.68675,NACA 6518
1000,7000,10000,9.089,50,19679.63,1054.64,9839.815,527.32,9853.935,210000000,29.14982,NACA 0012
500,7000,10000,12.062,50,19818.97,1089.87,9909.485,544.935,9924.457,52500000,28.358221,NACA 6712
1000,7000,10000,5.899,50,19947.59,1160.14,9973.795,580.07,9990.649,315000000,25.216616,NACA 4318
