chord,span,max_load,angle,speed,lift2x,drag2x,lift,drag,flight_load,available_volume,weight,profile
3500.0,10000.0,10000.0,1.725,50.0,19958.31,1122.1,9979.155,561.05,9994.914,1837500000.0,59.616066,NACA 0006
3200.0,2000.0,10000.0,9.18,50.0,17992.8,8644.99,8996.4,4322.495,9980.94,768000000.0,6.4945755,NACA 0015
3000.0,2000.0,10000.0,10.277,50.0,17922.98,8620.99,8961.49,4310.495,9944.278,945000000.0,5.743804,NACA 0021
3200.0,1000.0,10000.0,13.213,50.0,12263.72,15796.64,6131.86,7898.32,9999.158,537600000.0,2.5561364,NACA 0021
3500.0,2000.0,10000.0,8.809,50.0,17951.76,8677.1,8975.88,4338.55,9969.425,1286250000.0,5.7790804,NACA 0021
3000.0,1000.0,5000.0,9.438,50.0,7717.5,6341.71,3858.75,3170.855,4994.4243,562500000.0,1.5314481,NACA 0025
3000.0,1000.0,6500.0,10.787,50.0,8820.0,8242.84,4410.0,4121.42,6036.075,562500000.0,1.8140407,NACA 0025
3000.0,1000.0,7500.0,12.135,50.0,9922.5,10397.44,4961.25,5198.72,7186.146,562500000.0,1.9895753,NACA 0025
3000.0,1000.0,8500.0,13.483,50.0,11025.0,12805.53,5512.5,6402.765,8448.85,562500000.0,2.1569772,NACA 0025
3000.0,2000.0,7500.0,8.09,50.0,13230.0,4840.01,6615.0,2420.005,7043.7666,1125000000.0,4.4821796,NACA 0025
3000.0,2000.0,8500.0,9.438,50.0,15435.0,6492.9,7717.5,3246.45,8372.529,1125000000.0,4.859308,NACA 0025
3000.0,2000.0,10000.0,10.787,50.0,17640.0,8400.09,8820.0,4200.045,9768.97,1125000000.0,5.3967338,NACA 0025
3100.0,1000.0,5500.0,9.438,50.0,7974.75,6766.33,3987.375,3383.165,5229.241,600625000.0,1.6307404,NACA 0025
3100.0,1000.0,6500.0,10.787,50.0,9114.0,8796.1,4557.0,4398.05,6333.174,600625000.0,1.8164048,NACA 0025
3100.0,1000.0,8000.0,12.135,50.0,10253.25,11096.5,5126.625,5548.25,7554.162,600625000.0,2.0769074,NACA 0025
3100.0,1000.0,9000.0,13.483,50.0,11392.5,13667.54,5696.25,6833.77,8896.498,600625000.0,2.240957,NACA 0025
3100.0,2000.0,7500.0,8.09,50.0,13671.0,5158.0,6835.5,2579.0,7305.8403,1201250000.0,4.4880214,NACA 0025
3100.0,2000.0,9000.0,9.438,50.0,15949.5,6922.56,7974.75,3461.28,8693.509,1201250000.0,5.048501,NACA 0025
3200.0,1000.0,5500.0,9.438,50.0,8232.0,7204.71,4116.0,3602.355,5469.773,640000000.0,1.6327981,NACA 0025
3200.0,1000.0,7000.0,10.787,50.0,9408.0,9367.33,4704.0,4683.665,6638.097,640000000.0,1.9078047,NACA 0025
3200.0,1000.0,8000.0,12.135,50.0,10584.0,11818.31,5292.0,5909.155,7932.426,640000000.0,2.0795283,NACA 0025
3200.0,1000.0,9500.0,13.483,50.0,11760.0,14557.63,5880.0,7278.815,9357.112,640000000.0,2.32347,NACA 0025
3200.0,2000.0,8000.0,8.09,50.0,14112.0,5486.1,7056.0,2743.05,7570.433,1280000000.0,4.6848288,NACA 0025
3200.0,2000.0,9500.0,9.438,50.0,16464.0,7365.98,8232.0,3682.99,9018.328,1280000000.0,5.234389,NACA 0025
3300.0,1000.0,6000.0,9.438,50.0,8489.25,7656.84,4244.625,3828.42,5716.086,680625000.0,1.7292347,NACA 0025
3300.0,1000.0,7000.0,10.787,50.0,9702.0,9956.53,4851.0,4978.265,6950.9224,680625000.0,1.910138,NACA 0025
3300.0,1000.0,10000.0,13.483,50.0,12127.5,15475.79,6063.75,7737.895,9830.772,680625000.0,2.4046187,NACA 0025
3300.0,2000.0,8000.0,8.09,50.0,14553.0,5824.31,7276.5,2912.155,7837.608,1361250000.0,4.690558,NACA 0025
3300.0,2000.0,9500.0,9.438,50.0,16978.5,7823.15,8489.25,3911.575,9347.073,1361250000.0,5.2407904,NACA 0025
3300.0,3000.0,9500.0,6.742,50.0,18191.25,4288.61,9095.625,2144.305,9344.969,2041875000.0,8.428105,NACA 0025
3300.0,4000.0,10000.0,5.393,50.0,19404.0,3052.43,9702.0,1526.215,9821.311,2722500000.0,12.20405,NACA 0025
3400.0,1000.0,6000.0,9.438,50.0,8746.5,8122.73,4373.25,4061.365,5968.2495,722500000.0,1.7312863,NACA 0025
3400.0,1000.0,7500.0,10.787,50.0,9996.0,10563.7,4998.0,5281.85,7271.722,722500000.0,1.9994911,NACA 0025
3400.0,2000.0,7000.0,6.742,50.0,12495.0,4377.53,6247.5,2188.765,6619.815,1445000000.0,4.3083262,NACA 0025
3400.0,3000.0,10000.0,6.742,50.0,18742.5,4537.89,9371.25,2268.945,9642.015,2167500000.0,8.722144,NACA 0025
3500.0,2000.0,7000.0,6.742,50.0,12862.5,4629.11,6431.25,2314.555,6835.067,1531250000.0,4.3132896,NACA 0025
3500.0,3000.0,10000.0,6.742,50.0,19293.75,4794.18,9646.875,2397.09,9940.233,2296875000.0,8.732192,NACA 0025
3600.0,1000.0,6500.0,9.438,50.0,9261.0,9095.78,4630.5,4547.89,6490.3647,810000000.0,1.8272253,NACA 0025
3600.0,5000.0,10000.0,4.045,50.0,19845.0,2447.45,9922.5,1223.725,9997.675,4050000000.0,15.905901,NACA 0025
3700.0,1000.0,10000.0,12.135,50.0,12237.75,15768.43,6118.875,7884.215,9980.054,855625000.0,2.415571,NACA 0025
3700.0,2000.0,9000.0,8.09,50.0,16317.0,7278.2,8158.5,3639.1,8933.318,1711250000.0,5.084105,NACA 0025
3800.0,2000.0,7500.0,6.742,50.0,13965.0,5425.96,6982.5,2712.98,7491.032,1805000000.0,4.5244627,NACA 0025
3900.0,1000.0,7500.0,9.438,50.0,10032.75,10658.53,5016.375,5329.265,7318.817,950625000.0,2.0104172,NACA 0025
3900.0,1000.0,9000.0,10.787,50.0,11466.0,13869.06,5733.0,6934.53,8997.499,950625000.0,2.261485,NACA 0025
3900.0,2000.0,9500.0,8.09,50.0,17199.0,8065.79,8599.5,4032.895,9498.191,1901250000.0,5.2756805,NACA 0025
4000.0,2000.0,8000.0,6.742,50.0,14700.0,5992.29,7350.0,2996.145,7937.2153,2000000000.0,4.7265363,NACA 0025
3700.0,3000.0,10000.0,4.175,50.0,19373.04,4803.24,9686.52,2401.62,9979.802,2156175000.0,9.314306,NACA 2421
3000.0,4000.0,10000.0,3.176,50.0,19778.85,2908.25,9889.425,1454.125,9995.76,1080000000.0,15.805555,NACA 2512
3800.0,8000.0,10000.0,0.0,50.0,19942.02,1506.11,9971.01,753.055,9999.406,3465600000.0,35.94317,NACA 2512
3200.0,4000.0,10000.0,3.091,50.0,19756.8,2973.75,9878.4,1486.875,9989.674,1536000000.0,14.63119,NACA 2515
3300.0,4000.0,10000.0,3.083,50.0,19727.4,3014.32,9863.7,1507.16,9978.182,1960200000.0,13.72476,NACA 2518
3600.0,3000.0,10000.0,4.358,50.0,19348.88,4774.91,9674.44,2387.455,9964.674,2041200000.0,9.304175,NACA 2521
3600.0,4000.0,10000.0,2.905,50.0,19712.7,3106.92,9856.35,1553.46,9978.02,2721600000.0,13.033876,NACA 2521
3000.0,8000.0,10000.0,-1.165,50.0,19947.9,1353.68,9973.95,676.84,9996.889,1080000000.0,45.619534,NACA 4306
3500.0,5000.0,10000.0,0.0,50.0,19872.56,2243.21,9936.28,1121.605,9999.383,2296875000.0,19.071236,NACA 4315
3400.0,4000.0,10000.0,1.358,50.0,19617.15,3086.26,9808.575,1543.13,9929.219,2427600000.0,13.004318,NACA 4321
3900.0,3000.0,10000.0,1.554,50.0,19377.54,4755.39,9688.77,2377.695,9976.257,1711125000.0,10.526802,NACA 4415
3000.0,10000.0,10000.0,-2.212,50.0,19955.25,1327.51,9977.625,663.755,9999.679,1350000000.0,59.25216,NACA 4506
3300.0,2000.0,10000.0,4.544,50.0,17995.19,8663.53,8997.595,4331.765,9986.035,490050000.0,7.8052726,NACA 4509
3800.0,3000.0,10000.0,0.0,50.0,19393.89,4778.13,9696.945,2389.065,9986.91,1299600000.0,11.389162,NACA 6312
3200.0,4000.0,10000.0,0.0,50.0,19568.64,3085.82,9784.32,1542.91,9905.226,2150400000.0,12.973042,NACA 6321
3200.0,5000.0,10000.0,-1.606,50.0,19859.7,2286.65,9929.85,1143.325,9995.455,1920000000.0,19.003473,NACA 6415
3100.0,8000.0,10000.0,-3.051,50.0,19921.69,1701.02,9960.845,850.51,9997.09,3459600000.0,30.842897,NACA 6418
3400.0,2000.0,10000.0,3.389,50.0,17982.39,8745.67,8991.195,4372.835,9998.163,1040400000.0,6.0994525,NACA 6518
3100.0,2000.0,10000.0,4.755,50.0,17946.99,8715.6,8973.495,4357.8,9975.672,1009050000.0,5.75129,NACA 6521
3100.0,6000.0,10000.0,-1.585,50.0,19891.31,2046.49,9945.655,1023.245,9998.154,3027150000.0,20.836622,NACA 6521
