surface_area,density,mass,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,Component,Component_param_THICKNESS,Component_param_CHORD_1,Component_param_SPAN,Component_param_TAPER_OFFSET,Component_param_CHORD_2,Component_param_LOAD
307885.7135980237,0.0001239851645482893,134857.04378428,44952611372.33552,0.0,-3009921208.7193017,0.0,45319481254.921455,0.0,-3009921208.7193017,0.0,367633275.9332756,11238350426.265516,0.0,0.0,0.0,11336502400.510225,0.0,0.0,0.0,98915367.59204836,naca_wing,6.0,100.0,1000.0,0.0,100.0,128106000000.0
636535.3423882476,0.4146920332335333,108197.778453086,36070572078.76952,0.0,-4831105287.47802,0.0,37244780510.55804,0.0,-4831105287.47802,0.0,1184006966.2917638,9021127465.498053,0.0,0.0,0.0,9332487190.690685,0.0,0.0,0.0,321158259.6958876,naca_wing,12.0,200.0,1000.0,0.0,200.0,128106000000.0
992013.6271846405,0.04555099044415872,95118.1917108197,31727856467.665794,0.0,-6372296453.717731,0.0,34039532079.787838,0.0,-6372296453.717731,0.0,2355266718.838207,7948308539.960864,0.0,0.0,0.0,8552375486.959617,0.0,0.0,0.0,647658053.7149146,naca_wing,18.0,300.0,1000.0,0.0,300.0,128106000000.0
1230986.562738447,0.021577592328468814,152087.3770330884,50700336296.22889,0.0,-13583647411.345001,0.0,57326647713.984344,0.0,-13583647411.345001,0.0,6635874739.151469,12678496743.743784,0.0,0.0,0.0,14451927626.962818,0.0,0.0,0.0,1782994204.6150494,naca_wing,5.0,400.0,1000.0,0.0,400.0,128106000000.0
1597096.946075949,0.033260659959336525,115753.24524660068,38611893753.56431,0.0,-12921475173.19075,0.0,46468812187.588066,0.0,-12921475173.19075,0.0,7911968909.771376,9673582441.914133,0.0,0.0,0.0,11760830391.255283,0.0,0.0,0.0,2142298425.088773,naca_wing,11.0,500.0,1000.0,0.0,500.0,128106000000.0
1998949.808607933,0.008341166067525694,99791.70238076827,33345472931.612827,0.0,-13370804542.218422,0.0,43056418051.03117,0.0,-13370804542.218422,0.0,9874114294.547089,8397547336.420741,0.0,0.0,0.0,10942429152.336916,0.0,0.0,0.0,2708050991.044912,naca_wing,17.0,600.0,1000.0,0.0,600.0,128106000000.0
2150095.3451931197,0.00632503200677202,168418.59215019314,56150248022.33108,0.0,-26495047935.420555,0.0,78877593588.9292,0.0,-26495047935.420555,0.0,22748054116.359028,14045599984.78273,0.0,0.0,0.0,20100497310.649582,0.0,0.0,0.0,6075605875.627761,naca_wing,4.0,700.0,1000.0,0.0,700.0,128106000000.0
2560615.5084187007,0.014189888781901935,122021.9268046512,40735336252.81832,0.0,-21793966969.622395,0.0,61951212800.61407,0.0,-21793966969.622395,0.0,21338654315.18893,10229854551.655533,0.0,0.0,0.0,15875513230.874332,0.0,0.0,0.0,5768436446.611981,naca_wing,10.0,800.0,1000.0,0.0,800.0,128106000000.0
3016310.643859281,0.003722072449747903,103633.66215081635,34713470791.24579,0.0,-20825609271.440666,0.0,57419190910.730385,0.0,-20825609271.440666,0.0,23043569393.240257,8805058633.631952,0.0,0.0,0.0,14770813429.049389,0.0,0.0,0.0,6303604069.173094,naca_wing,16.0,900.0,1000.0,0.0,900.0,128106000000.0
3060698.792243992,0.0033575112570288224,189324.0725823726,63121751157.53262,0.0,-42548229215.09112,0.0,115271752247.09636,0.0,-42548229215.09112,0.0,52176724575.29382,15790743291.681078,0.0,0.0,0.0,29691989851.074066,0.0,0.0,0.0,13927970045.12308,naca_wing,3.0,1000.0,1000.0,0.0,1000.0,128106000000.0
