surface_area,density,mass,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,Component,Component_param_THICKNESS,Component_param_CHORD_1,Component_param_SPAN,Component_param_TAPER_OFFSET,Component_param_CHORD_2,Component_param_LOAD
684511226.3332353,1.3391341463387153e-10,0.2573030470036016,54249287.802558616,0.0,-816672.8484111767,0.0,2405842.1507024094,0.0,-816672.8484111767,0.0,55212516.416786455,53708308.14623354,0.0,0.0,0.0,631998.1277896733,0.0,0.0,0.0,53979652.05019879,naca_wing,1050.0,4900.0,2900.0,1.0,4900.0,350.9749
9279491.149316939,1.3391341463387153e-10,0.01973131050018915,12180.71199245927,0.0,-5330.75112954363,0.0,14464.152775437242,0.0,-5330.75112954363,0.0,10728.275041513352,6211.9905661520515,0.0,0.0,0.0,3734.460686320598,0.0,0.0,0.0,5967.304378703927,naca_wing,150.0,1100.0,1100.0,1.0,1100.0,14.24
494880447.31071717,2.424694666020317e-10,0.21061465933792747,22944003.898046385,0.0,-668387.5036360202,0.0,1969080.1523393067,0.0,-668387.5036360202,0.0,23732237.106359556,22501186.576788392,0.0,0.0,0.0,517400.1837312742,0.0,0.0,0.0,22723374.459009517,naca_wing,750.0,4900.0,2900.0,1.0,4900.0,213.61
621518546.9089098,2.424694666020317e-10,0.1086289601712212,32158292.848262586,0.0,-225891.3361906206,0.0,841890.013675636,0.0,-225891.3361906206,0.0,32738748.981305853,32060255.211708058,0.0,0.0,0.0,223369.6568180407,0.0,0.0,0.0,32218266.261002783,naca_wing,1250.0,4900.0,1900.0,1.0,4900.0,218.97
506393648.6856522,2.424694666020317e-10,0.11478287807001061,19172065.577023737,0.0,-274554.20334388374,0.0,982708.3256473358,0.0,-274554.20334388374,0.0,19817312.033133287,19045517.453951553,0.0,0.0,0.0,260497.39269849999,0.0,0.0,0.0,19221649.223256636,naca_wing,900.0,5100.0,2100.0,1.0,5100.0,165.375
1589825777.487067,2.424694666020317e-10,1.6156616411909728,399446172.66758275,0.0,-14907839.82653021,0.0,46793206.82371597,0.0,-14907839.82653021,0.0,375570284.6636461,372945282.5979478,0.0,0.0,0.0,11906044.153066382,0.0,0.0,0.0,367184012.06263155,naca_wing,1050.0,5100.0,8100.0,1.0,5100.0,934.518
174500286.05857778,2.424694666020317e-10,0.03447146155948767,1331005.5943400245,0.0,-41494.94138946827,0.0,239550.45911938007,0.0,-41494.94138946827,0.0,1542749.055696772,1320577.9772182794,0.0,0.0,0.0,64000.73012752986,0.0,0.0,0.0,1377626.9438266668,naca_wing,450.0,4900.0,1100.0,1.0,4900.0,56.655
105238527.56416373,2.424694666020317e-10,0.023398072581755032,592324.3350669368,0.0,-15985.719787198808,0.0,80018.88168897819,0.0,-15985.719787198808,0.0,659708.2684031334,587586.2253691314,0.0,0.0,0.0,21347.188048782595,0.0,0.0,0.0,605774.6844607431,naca_wing,525.0,3400.0,900.0,1.0,3400.0,49.84
2138738641.7227054,2.424694666020317e-10,2.1237009926244714,695521903.5207756,0.0,-23010651.46599032,0.0,83284824.91267161,0.0,-23010651.46599032,0.0,640044008.6176074,643485919.9489944,0.0,0.0,0.0,21073381.12000548,0.0,0.0,0.0,629868548.3967224,naca_wing,1250.0,4900.0,9900.0,1.0,4900.0,1094.845
16643694.939545572,2.424694666020317e-10,0.022652157544597696,23904.716541736583,0.0,-8901.626584031,0.0,24938.397541121383,0.0,-8901.626584031,0.0,30570.374866363363,17052.43888449578,0.0,0.0,0.0,6522.234150529485,0.0,0.0,0.0,19006.48913301227,naca_wing,180.0,1600.0,1100.0,1.0,1600.0,19.065
