surface_area,density,mass,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,Component,Component_param_THICKNESS,Component_param_CHORD_1,Component_param_SPAN,Component_param_TAPER_OFFSET,Component_param_CHORD_2,Component_param_LOAD
302719418.14856637,5.12409722434413e-07,16.720422752799845,628347887.9149493,0.0,-130663938.78796612,0.0,613160468.3378463,0.0,-130663938.78796612,0.0,126813697.44617547,210337319.09495312,0.0,0.0,0.0,154306279.3486737,0.0,0.0,0.0,85970077.27699894,naca_wing,210.0,3500.0,10000.0,1.0,3500.0,9994.914
143957383.1997966,5.12409722434413e-07,1.8791219475682648,37345656.9504397,0.0,-2685849.8527990454,0.0,7751549.938885797,0.0,-2685849.8527990454,0.0,40086211.55467443,35466535.00287143,0.0,0.0,0.0,2033512.9910878416,0.0,0.0,0.0,36247296.55444474,naca_wing,480.0,3200.0,2000.0,1.0,3200.0,9980.94
170757303.30128273,5.12409722434413e-07,1.696648867567188,49901063.599101365,0.0,-2272866.649146196,0.0,6422955.094940589,0.0,-2272866.649146196,0.0,51799624.70953286,48204414.731534176,0.0,0.0,0.0,1681526.0707058387,0.0,0.0,0.0,48754844.5528653,naca_wing,630.0,3000.0,2000.0,1.0,3000.0,9944.278
128632088.39752641,5.12409722434413e-07,0.7404562701551547,27154820.556661393,0.0,-529170.0812005094,0.0,2313984.1231556972,0.0,-529170.0812005094,0.0,28975166.841777932,26969706.489122603,0.0,0.0,0.0,616175.8635394807,0.0,0.0,0.0,27462472.649700504,naca_wing,672.0,3200.0,1000.0,1.0,3200.0,9999.158
241803516.9967271,5.12409722434413e-07,1.6181803529357366,86332640.79559132,0.0,-2529042.0845981636,0.0,7558913.445425649,0.0,-2529042.0845981636,0.0,89576408.99511215,84714460.4426556,0.0,0.0,0.0,1988111.9559986782,0.0,0.0,0.0,85623787.85862091,naca_wing,735.0,3500.0,2000.0,1.0,3500.0,9969.425
130125227.10149792,5.12409722434413e-07,0.4536785111012515,18204624.43697182,0.0,-303878.893443121,0.0,1263801.0632352985,0.0,-303878.893443121,0.0,19165973.33233629,18091204.815586023,0.0,0.0,0.0,336215.61783849547,0.0,0.0,0.0,18351807.508325286,naca_wing,750.0,3000.0,1000.0,1.0,3000.0,4994.4243
130125227.10149792,5.12409722434413e-07,0.512682931870037,20572277.50832717,0.0,-343400.7082364806,0.0,1428168.2260576333,0.0,-343400.7082364806,0.0,21658657.308483675,20444106.782580182,0.0,0.0,0.0,379943.0752748741,0.0,0.0,0.0,20738602.883447904,naca_wing,750.0,3000.0,1000.0,1.0,3000.0,6036.075
130125227.10149792,5.12409722434413e-07,0.5737677734005538,23023411.01287797,0.0,-384316.01190687896,0.0,1598330.7657962583,0.0,-384316.01190687896,0.0,24239230.148361005,22879969.07760866,0.0,0.0,0.0,425212.3071939626,0.0,0.0,0.0,23209553.62502802,naca_wing,750.0,3000.0,1000.0,1.0,3000.0,7186.146
130125227.10149792,5.12409722434413e-07,0.6369601987762036,25559114.915698104,0.0,-426642.9985885421,0.0,1774364.3499841145,0.0,-426642.9985885421,0.0,26908839.37586319,25399874.87497487,0.0,0.0,0.0,472043.44382596726,0.0,0.0,0.0,25765758.51042828,naca_wing,750.0,3000.0,1000.0,1.0,3000.0,8448.85
201515068.76708364,5.12409722434413e-07,1.2760138301855717,52478245.00125402,0.0,-1709376.4036762896,0.0,4830573.443403625,0.0,-1709376.4036762896,0.0,53906116.84295877,51202231.245596796,0.0,0.0,0.0,1264641.0990591925,0.0,0.0,0.0,51616198.25427157,naca_wing,750.0,3000.0,2000.0,1.0,3000.0,7043.7666
