        27x8_4_2400_51_110                                 (27x8_4_2400_51_110.dat)

         PROP RPM =       1200

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2965      0.4737       0.944      49.591       7.223  
         4.5        0.15      0.0920      0.3028      0.4797       0.956      50.228       7.378  
         8.9        0.29      0.1847      0.3111      0.4913       0.979      51.441       7.581  
        13.4        0.44      0.2757      0.3214      0.5099       1.016      53.388       7.830  
        17.9        0.58      0.3644      0.3333      0.5334       1.063      55.857       8.120  
        22.4        0.73      0.4477      0.3447      0.5614       1.119      58.787       8.399  
        26.8        0.87      0.5273      0.3530      0.5857       1.168      61.327       8.601  
        31.3        1.02      0.5979      0.3558      0.6072       1.211      63.584       8.669  
        35.8        1.17      0.6625      0.3527      0.6210       1.238      65.018       8.592  
        40.3        1.31      0.7134      0.3410      0.6272       1.250      65.673       8.307  
        44.7        1.46      0.7584      0.3229      0.6209       1.238      65.009       7.868  
        49.2        1.60      0.7954      0.2988      0.6026       1.201      63.097       7.282  
        53.7        1.75      0.8280      0.2713      0.5733       1.143      60.026       6.612  
        58.2        1.90      0.8525      0.2402      0.5342       1.065      55.928       5.854  
        62.6        2.04      0.8707      0.2077      0.4869       0.971      50.989       5.060  
        67.1        2.19      0.8836      0.1743      0.4314       0.860      45.174       4.247  
        71.6        2.33      0.8891      0.1399      0.3671       0.732      38.448       3.410  
        76.1        2.48      0.8824      0.1046      0.2939       0.586      30.774       2.549  
        80.5        2.62      0.8488      0.0684      0.2114       0.421      22.136       1.666  
        85.0        2.77      0.7221      0.0312      0.1196       0.238      12.515       0.759  



         PROP RPM =       1440

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.2966      0.4723       1.627      71.213      10.406  
         4.5        0.12      0.0769      0.3018      0.4769       1.643      71.921      10.589  
         8.9        0.24      0.1544      0.3083      0.4853       1.672      73.178      10.818  
        13.4        0.36      0.2314      0.3162      0.4981       1.717      75.116      11.097  
        17.9        0.49      0.3064      0.3255      0.5163       1.778      77.851      11.420  
        22.4        0.61      0.3798      0.3355      0.5368       1.849      80.940      11.773  
        26.8        0.73      0.4494      0.3452      0.5600       1.930      84.445      12.113  
        31.3        0.85      0.5179      0.3528      0.5795       1.997      87.375      12.380  
        35.8        0.97      0.5803      0.3571      0.5981       2.061      90.189      12.529  
        40.3        1.09      0.6317      0.3554      0.6154       2.120      92.756      12.472  
        44.7        1.22      0.6802      0.3499      0.6249       2.152      94.260      12.275  
        49.2        1.34      0.7250      0.3398      0.6265       2.158      94.437      11.922  
