        62x16_5_1200_51_780                                 (62x16_5_1200_51_780.dat)

         PROP RPM =       600

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3338      0.4499       7.158     751.959      56.539  
         4.5        0.13      0.0941      0.3398      0.4588       7.299     766.740      57.551  
         8.9        0.25      0.1869      0.3473      0.4722       7.512     789.133      58.833  
        13.4        0.38      0.2782      0.3566      0.4884       7.771     816.304      60.406  
        17.9        0.51      0.3659      0.3650      0.5068       8.064     847.016      61.822  
        22.4        0.64      0.4518      0.3716      0.5224       8.310     872.949      62.947  
        26.8        0.76      0.5263      0.3735      0.5407       8.604     903.661      63.261  
        31.3        0.89      0.5964      0.3711      0.5532       8.801     924.903      62.857  
        35.8        1.02      0.6574      0.3631      0.5612       8.930     938.179      61.508  
        40.3        1.14      0.7123      0.3497      0.5612       8.930     938.179      59.237  
        44.7        1.27      0.7557      0.3297      0.5540       8.815     925.788      55.843  
        49.2        1.40      0.7944      0.3052      0.5368       8.541     897.466      51.706  
        53.7        1.52      0.8267      0.2770      0.5107       8.124     853.389      46.918  
        58.2        1.65      0.8535      0.2460      0.4757       7.570     795.151      41.657  
        62.6        1.78      0.8740      0.2133      0.4338       6.904     725.142      36.127  
        67.1        1.90      0.8902      0.1798      0.3848       6.122     643.007      30.439  
        71.6        2.03      0.9007      0.1454      0.3280       5.219     548.215      24.617  
        76.1        2.16      0.9026      0.1102      0.2635       4.193     440.502      18.661  
        80.5        2.29      0.8863      0.0741      0.1910       3.040     319.335      12.547  
        85.0        2.41      0.8105      0.0371      0.1105       1.758     184.627       6.286  



         PROP RPM =       720

        V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf) 
         0.0        0.00      0.0000      0.3339      0.4489      12.343    1080.676      81.426  
         4.5        0.11      0.0786      0.3388      0.4560      12.536    1097.493      82.640  
         8.9        0.21      0.1566      0.3448      0.4660      12.813    1121.390      84.101  
        13.4        0.32      0.2329      0.3518      0.4797      13.190    1155.022      85.810  
        17.9        0.42      0.3079      0.3597      0.4945      13.598    1190.425      87.720  
        22.4        0.53      0.3804      0.3666      0.5098      14.014    1226.713      89.407  
        26.8        0.64      0.4530      0.3722      0.5217      14.349    1255.921      90.778  
        31.3        0.74      0.5164      0.3742      0.5367      14.751    1292.209      91.250  
        35.8        0.85      0.5781      0.3739      0.5476      15.060    1317.876      91.183  
        40.3        0.95      0.6293      0.3686      0.5579      15.341    1342.658      89.901  
        44.7        1.06      0.6780      0.3601      0.5622      15.462    1353.279      87.833  
        49.2        1.16      0.7204      0.3474      0.5614      15.435    1351.509      84.731  
        53.7        1.27      0.7570      0.3306      0.5546      15.247    1334.692      80.639  
        58.2        1.38      0.7902      0.3107      0.5410      14.872    1301.945      75.783  
        62.6        1.48      0.8175      0.2875      0.5211      14.322    1254.151      70.140  
        67.1        1.59      0.8429      0.2628      0.4950      13.611    1191.310      64.093  
        71.6        1.69      0.8621      0.2360      0.4634      12.742    1115.194      57.551  
        76.1        1.80      0.8785      0.2085      0.4270      11.741    1027.572      50.852  
